,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q1 2020,Q4 2019
18,Inventory Turnover,5.08,7.21,6.80,5.40,5.04,3.86,3.63,2.84,3.65,4.00,3.78,4.16,-,-,-,-,-,-,-,-
19,Quick Ratio,1.63,1.63,1.93,2.26,2.41,2.57,3.09,3.17,2.87,1.79,2.29,2.12,1.75,-,1.07,-,1.05,-,-,0.90
20,Current Ratio,2.17,2.17,2.45,2.81,3.03,3.42,3.95,4.18,3.76,3.25,2.95,2.63,2.17,-,1.43,-,1.32,-,-,1.16
21,Return on Equity (ROE),2.24%,4.17%,0.05%,-2.27%,2.81%,4.14%,2.87%,4.79%,18.72%,18.74%,18.05%,-,-,28.19%,29.74%,-,-,3.24%,-,
22,Return on Assets (ROA),3.35%,1.20%,-1.51%,-3.34%,3.51%,0.67%,2.32%,0.27%,8.27%,7.36%,8.42%,-,-,-,-,-,-,-,-,
23,Return on Capital (ROIC),4.23%,1.50%,-1.87%,-4.11%,4.27%,0.80%,2.84%,0.34%,10.42%,9.19%,10.54%,-,-,14.00%,15.38%,-,-,2.33%,-,
24,Return on Capital Employed (ROCE),-,-0.06%,-0.06%,-,-,3.16%,5.50%,8.83%,12.04%,16.34%,17.98%,18.47%,17.87%,-,24.94%,-,17.28%,-,-,4.12%
25,Earnings Yield,0.25%,0.22%,0.25%,0.28%,0.35%,0.73%,1.41%,1.86%,2.82%,3.07%,2.46%,2.25%,1.49%,-,-,-,-,-,-,-
26,FCF Yield,-3.16%,-2.78%,-1.40%,-1.46%,-0.95%,-0.76%,0.23%,1.90%,2.87%,1.60%,0.74%,0.45%,-0.52%,-,-,-,-,-,-,-
27,Dividend Yield,0.17%,-,-,-,0.14%,-,-,-,0.31%,-,-,-,0.17%,-,-,-,-,-,-,-
28,Payout Ratio,206.01%,243.74%,85.05%,-,-,213.78%,0.76%,1.15%,0.27%,33.71%,-,4.51%,4.46%,1.69%,4.42%,4.57%,-,-,-,-
29,Buyback Yield / Dilution,-5.32%,-31.28%,29.13%,-9.03%,-4.88%,-12.64%,1.58%,1.73%,-11.02%,-12.09%,-4.21%,-13.27%,-7.08%,1.30%,-,0.33%,-,-,-,-
30,Total Shareholder Return,-5.15%,-31.28%,29.13%,-9.03%,-4.74%,-12.64%,1.58%,1.73%,-10.71%,-12.09%,-4.21%,-13.27%,-6.91%,1.30%,-,0.33%,-,-,-,-
