,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+19 Quarters
44,Net Cash Per Share,2.74,2.12,2.12,-,-,0.95,0.60,0.88,0.11,-0.02,-0.16,0.09,-0.31,-0.28,-0.12,0.02,-0.51,-0.52,-0.35,-0.23,Upgrade
45,Filing Date Shares Outstanding,260.67,260.67,260.67,-,260.47,260.67,260.67,260.67,260.67,260.67,260.67,260.67,260.67,260.67,260.67,260.67,260.7,260.7,260.84,260.84,Upgrade
46,Total Common Shares Outstanding,260.67,260.67,260.67,-,260.47,260.67,260.67,260.67,260.67,260.67,260.67,260.67,260.67,260.67,260.67,260.67,260.7,260.7,260.84,260.84,Upgrade
47,Working Capital,777.16,738.33,739.28,-,-,660.43,662.33,651.1,618.95,612.56,564.84,575.07,592.17,610.7,702.7,660.03,645.68,622.67,628.16,628.84,Upgrade
48,Book Value Per Share,4.00,3.88,3.91,-,-,3.63,3.62,3.59,3.47,3.40,3.40,3.38,3.31,3.29,3.29,3.27,3.16,3.08,3.02,3.04,Upgrade
49,Tangible Book Value,886.09,830.62,861.47,-,-,787.75,786.29,777.46,747.87,737.99,738.62,730.79,712.84,726.42,721.62,718.12,687.21,667.79,652.93,656.58,Upgrade
50,Tangible Book Value Per Share,3.40,3.19,3.30,-,-,3.02,3.02,2.98,2.87,2.83,2.83,2.80,2.73,2.79,2.77,2.75,2.64,2.56,2.50,2.52,Upgrade
51,Buildings,-,97.41,-,-,-,98.17,-,98.17,-,98.17,-,16.79,-,100.69,-,100.79,-,100.56,-,100.56,Upgrade
52,Machinery,-,105.56,-,-,-,111.54,-,109.65,-,107.34,-,200.31,-,112.74,-,105.87,-,108.12,-,108.04,Upgrade
53,Construction In Progress,-,-,-,-,-,-,-,-,-,-,-,-,-,0.03,-,-,-,-,-,-,Upgrade
