,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2021,Q1 2021
23,Current Income Taxes Payable,6.9,4.38,6.72,-,-,5.72,-,-,-,-,-,3.48,3.48
24,Current Unearned Revenue,5.71,5.04,5.88,-,-,4.23,-,-,-,-,-,4.85,4.85
25,Other Current Liabilities,3.49,2.59,6.02,-,-,1.49,-,-,-,-,-,36.42,36.42
26,Total Current Liabilities,139.2,187.2,138.51,-,-,129.28,-,-,-,-,-,219.54,219.54
27,Long-Term Debt,34.9,34.16,35.62,-,-,5.72,-,-,-,-,-,88.18,88.18
28,Long-Term Leases,2.03,1.95,1.92,-,-,1.57,-,-,-,-,-,2.09,2.09
29,Long-Term Unearned Revenue,23.71,22.57,23.29,-,-,22.17,-,-,-,-,-,2.75,2.75
30,Long-Term Deferred Tax Liabilities,3.12,3.24,3.25,-,-,3.41,-,-,-,-,-,2.9,2.9
31,Other Long-Term Liabilities,0.85,0.85,0.86,-,-,0.88,-,-,-,-,-,0.47,0.47
32,Total Liabilities,203.81,249.98,203.44,-,-,163.03,-,-,-,-,-,315.93,315.93
33,Common Stock,76,76,76,-,-,76,-,-,-,-,-,57,57
34,Additional Paid-In Capital,871.74,872.17,871.67,-,-,870.16,-,-,-,-,-,270.44,270.44
35,Retained Earnings,357.99,342.55,341.84,-,-,294.27,-,-,-,-,-,84.5,84.5
36,Treasury Stock,-50,-41.48,-18.03,-,-,-,-,-,-,-,-,-,-
37,Comprehensive Income & Other,2.15,-2.83,-0.48,-,-,-2.99,-,-,-,-,-,-3.14,-3.14
38,Total Common Equity,1258,1246,1271,-,-,1237,-,-,-,-,-,408.8,408.8
39,Minority Interest,-0.3,2.79,1.91,-,-,2.8,-,-,-,-,-,-,-
40,Shareholders' Equity,1258,1249,1273,-,-,1240,-,-,-,-,-,408.8,408.8
41,Total Liabilities & Equity,1461,1499,1476,-,-,1403,-,-,-,-,-,724.73,724.73
42,Total Debt,37.36,60,60.99,-,-,36.36,-,-,-,-,-,156.11,156.11
43,Net Cash (Debt),500.52,554.22,577.95,-,-,662.28,-,-,-,-,-,-3.56,-3.56
44,Net Cash Growth,-,-16.32%,-,-,-,-,-,-,-,-,-,-,-
45,Net Cash Per Share,7.07,7.52,7.50,-,-,10.43,-,-,-,-,-,-0.06,-0.06
46,Filing Date Shares Outstanding,73.94,74.3,75.28,-,76.85,76,56.76,56.87,56.87,57.14,57.14,57,57
47,Total Common Shares Outstanding,73.94,74.3,75.28,-,76.85,76,56.76,56.87,56.87,57.14,57.14,57,57
48,Working Capital,780.83,779.96,809.21,-,-,809.46,-,-,-,-,-,185.79,185.79
49,Book Value Per Share,17.01,16.78,16.88,-,-,16.28,-,-,-,-,-,7.17,7.17
50,Tangible Book Value,1193,1182,1206,-,-,1174,-,-,-,-,-,343.3,343.3
51,Tangible Book Value Per Share,16.13,15.91,16.02,-,-,15.45,-,-,-,-,-,6.02,6.02
52,Buildings,-,281.35,-,-,-,251.5,-,-,-,-,-,81.4,81.4
53,Machinery,-,219.77,-,-,-,152.21,-,-,-,-,-,74.3,74.3
54,Construction In Progress,-,31.07,-,-,-,34.99,-,-,-,-,-,106.68,106.68
