,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
13,Currency Exchange Gain (Loss),-0.86,0.86,-,1.13,4.43,-4.43,-,57.7,-47.46,47.46,-
14,Other Non Operating Income (Expenses),-6.65,-0.04,0.24,-48.28,13.66,5.73,20.31,-93.59,93.92,5.28,-6.58
15,EBT Excluding Unusual Items,-18.36,-26.11,-20.66,-253.55,41.78,-108.38,62.3,-16.05,179.7,149.07,93.38
16,Gain (Loss) on Sale of Investments,0.19,1.55,0.37,-2.53,0.64,-1.38,3.11,4.39,-2.17,-2.33,0.16
17,Gain (Loss) on Sale of Assets,-0.06,-0.57,0.29,27.02,-5.88,-1.53,-1.49,-0.53,0.4,0.02,0.36
18,Asset Writedown,4.61,-1.46,1.46,50.33,-64.29,8.8,-8.8,7.64,-7.85,3.73,-3.73
19,Other Unusual Items,0.61,-0.5,7.69,-34.18,-,-,-,5.58,0.02,-0.02,-
20,Pretax Income,-13.01,-27.09,-10.85,-212.9,-27.75,-102.49,55.12,1.02,170.1,150.47,90.17
21,Income Tax Expense,-3.5,-4.19,-0.87,-15.64,-11.61,-1.29,7.43,-0.7,15.65,12.41,5.24
22,Net Income,-9.51,-22.9,-9.98,-197.26,-16.14,-101.2,47.69,1.72,154.45,138.06,84.93
23,Net Income to Common,-9.51,-22.9,-9.98,-197.26,-16.14,-101.2,47.69,1.72,154.45,138.06,84.93
24,Net Income Growth,-,-,-,-,-,-,-43.84%,-,-,-,-
25,Shares Outstanding (Basic),197,239,200,208,225,211,217,484,90,17,163
26,Shares Outstanding (Diluted),197,239,200,208,225,211,217,484,90,17,163
27,Shares Change (YoY),-12.19%,13.02%,-7.89%,-57.03%,148.67%,1128.80%,33.30%,-,-,-,-
28,EPS (Basic),-0.05,-0.10,-0.05,-0.95,-0.07,-0.48,0.22,0.00,1.71,8.03,0.52
29,EPS (Diluted),-0.05,-0.10,-0.05,-0.95,-0.07,-0.48,0.22,0.00,1.71,8.03,0.52
30,EPS Growth,-,-,-,-,-,-,-57.87%,-,-,-,-
31,Free Cash Flow,-6.58,-127.44,-92.3,-34.22,-174.96,-117.26,89.41,142.32,190.31,-10.02,100.12
32,Free Cash Flow Per Share,-0.03,-0.53,-0.46,-0.16,-0.78,-0.56,0.41,0.29,2.10,-0.58,0.62
33,Dividend Per Share,-,-,-,-,-,-,-,0.694,-,-,-
34,Gross Margin,4.33%,2.52%,6.59%,-,208.01%,-66.23%,21.68%,15.17%,29.29%,19.31%,20.32%
35,Operating Margin,-11.88%,-23.60%,-23.05%,-755.87%,101.10%,-169.78%,14.31%,4.44%,17.11%,10.84%,11.57%
36,Profit Margin,-4.32%,-14.33%,-6.51%,-544.56%,-68.88%,-135.43%,26.90%,0.41%,20.62%,15.37%,9.45%
37,Free Cash Flow Margin,-2.99%,-79.72%,-60.17%,-94.47%,-746.95%,-156.93%,50.44%,33.78%,25.41%,-1.12%,11.14%
38,EBITDA,-5.55,-19.13,-14.78,-253.22,41.88,-111.17,43.57,36.9,142.89,114.98,118.73
39,EBITDA Margin,-2.52%,-11.97%,-9.63%,-,178.79%,-148.77%,24.58%,8.76%,19.08%,12.80%,13.21%
40,D&A For EBITDA,20.58,18.59,20.58,20.58,18.2,15.7,18.2,18.2,14.72,17.63,14.72
41,EBIT,-26.13,-37.72,-35.36,-273.8,23.68,-126.86,25.37,18.7,128.17,97.35,104.01
42,EBIT Margin,-11.88%,-23.60%,-23.05%,-,101.10%,-169.78%,14.31%,4.44%,17.11%,10.84%,11.57%
43,Effective Tax Rate,-,-,-,-,-,-,13.48%,-,9.20%,8.25%,5.81%
44,Revenue as Reported,220.05,159.85,153.4,36.22,23.42,74.72,177.28,421.29,748.95,898.11,898.99
