,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
18,Asset Writedown,-,0.58,-,-,-,-1.05,-,0.65,0.65,-4.57,-4.57,-27.1,-27.1,-4.43,-4.43
19,Other Unusual Items,-,-,-,-,-,2.83,-,1.45,1.45,2.92,2.92,5.42,5.42,4.03,4.03
20,Pretax Income,41.22,2.12,-1.49,-,0.36,-0.3,7.62,9.74,9.74,-25.85,-25.85,-48.9,-48.9,-25.9,-25.9
21,Income Tax Expense,3.56,2.22,3.05,-,1.76,1.87,2.06,2.51,2.51,2.01,2.01,0.73,0.73,-0.15,-0.15
22,Earnings From Continuing Operations,37.66,-0.1,-4.55,-,-1.4,-2.17,5.56,7.23,7.23,-27.86,-27.86,-49.63,-49.63,-25.75,-25.75
23,Minority Interest in Earnings,0.07,-0.02,0.09,-,0.01,0.09,0.05,0.01,0.01,-,-,-,-,-,-
24,Net Income,37.72,-0.13,-4.46,-,-1.39,-2.08,5.62,7.24,7.24,-27.86,-27.86,-49.63,-49.63,-25.75,-25.75
25,Net Income to Common,37.72,-0.13,-4.46,-,-1.39,-2.08,5.62,7.24,7.24,-27.86,-27.86,-49.63,-49.63,-25.75,-25.75
26,Shares Outstanding (Basic),629,565,446,-,-,553,562,557,557,557,557,557,557,557,557
27,Shares Outstanding (Diluted),629,565,446,-,-,553,562,557,557,557,557,557,557,557,557
28,Shares Change (YoY),-,2.13%,-20.64%,-,-,-0.75%,0.75%,-,-,-,-,-,-,-,-
29,EPS (Basic),0.06,-0.00,-0.01,-,-,-0.00,0.01,0.01,0.01,-0.05,-0.05,-0.09,-0.09,-0.05,-0.05
30,EPS (Diluted),0.06,-0.00,-0.01,-,-,-0.00,0.01,0.01,0.01,-0.05,-0.05,-0.09,-0.09,-0.05,-0.05
31,Free Cash Flow,40.7,7.42,24.02,-,19.91,18.56,27.73,3.35,3.35,0.58,0.58,-4.33,-4.33,-27.17,-27.17
32,Free Cash Flow Per Share,0.06,0.01,0.05,-,-,0.03,0.05,0.01,0.01,0.00,0.00,-0.01,-0.01,-0.05,-0.05
33,Gross Margin,31.19%,27.27%,30.60%,-,29.55%,27.83%,32.64%,30.46%,30.46%,24.49%,24.49%,14.65%,14.65%,12.89%,12.89%
34,Operating Margin,7.78%,5.30%,7.14%,-,4.83%,3.90%,6.74%,3.40%,3.40%,-1.08%,-1.08%,-23.23%,-23.23%,-27.49%,-27.49%
35,Profit Margin,18.99%,-0.07%,-2.36%,-,-0.80%,-1.30%,3.42%,4.60%,4.60%,-22.67%,-22.67%,-55.90%,-55.90%,-38.20%,-38.20%
36,Free Cash Flow Margin,20.49%,4.07%,12.74%,-,11.49%,11.61%,16.91%,2.13%,2.13%,0.47%,0.47%,-4.88%,-4.88%,-40.30%,-40.30%
37,EBITDA,35.83,10.61,33.94,-,26.13,7.64,32.75,15.17,15.17,7.54,7.54,-11.59,-11.59,-9.97,-9.97
38,EBITDA Margin,18.04%,5.81%,18.00%,-,15.08%,4.77%,19.97%,9.64%,9.64%,6.14%,6.14%,-13.05%,-13.05%,-14.79%,-14.79%
39,D&A For EBITDA,20.38,0.95,20.48,-,17.77,1.4,21.7,9.82,9.82,8.87,8.87,9.03,9.03,8.56,8.56
40,EBIT,15.45,9.66,13.46,-,8.37,6.23,11.06,5.35,5.35,-1.32,-1.32,-20.62,-20.62,-18.53,-18.53
41,EBIT Margin,7.78%,5.30%,7.14%,-,4.83%,3.90%,6.74%,3.40%,3.40%,-1.08%,-1.08%,-23.23%,-23.23%,-27.49%,-27.49%
42,Effective Tax Rate,8.65%,104.91%,-,-,491.62%,-,26.98%,25.75%,25.75%,-,-,-,-,-,-
