,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
26,Other Current Liabilities,37.84,2.49,30.27,-,-,2.65,-,7.35,7.35,28.86,28.86,3.75,3.75,-,-
27,Total Current Liabilities,127.05,120.22,123.65,-,-,118.71,-,117.23,117.23,131.32,131.32,596.14,596.14,-,-
28,Long-Term Debt,-,-,-,-,-,0.44,-,0.52,0.52,0.55,0.55,0.69,0.69,-,-
29,Long-Term Leases,155.8,154.42,157.03,-,-,184.26,-,201.69,201.69,178.71,178.71,206.54,206.54,-,-
30,Long-Term Unearned Revenue,3.04,2.53,3.08,-,-,0.43,-,0.43,0.43,-,-,0.47,0.47,-,-
31,Long-Term Deferred Tax Liabilities,7.08,1.27,1.37,-,-,48.59,-,3.61,3.61,1.41,1.41,1.13,1.13,-,-
32,Other Long-Term Liabilities,12.57,8.83,8.31,-,-,9.2,-,10.6,10.6,7.33,7.33,8.94,8.94,-,-
33,Total Liabilities,305.53,287.28,293.45,-,-,361.63,-,334.08,334.08,319.32,319.32,813.91,813.91,-,-
34,Common Stock,0,0,0,-,-,0,-,0,0,-,-,50.92,50.92,-,-
35,Additional Paid-In Capital,550.59,550.59,494.48,-,-,494.48,-,494.48,494.48,494.48,494.48,-,-,-,-
36,Retained Earnings,-,-264.33,-,-,-,-281.86,-,-285.4,-285.4,-299.88,-299.88,-246.8,-246.8,-,-
37,Comprehensive Income & Other,-191.59,48.6,-222.75,-,-,42.29,-,30.73,30.73,39.26,39.26,8.7,8.7,-,-
38,Total Common Equity,359.01,334.87,271.74,-,-,254.91,239.81,239.81,239.81,233.86,233.86,-187.18,-187.18,-,-66.97
39,Minority Interest,1.9,1.97,1.95,-,-,2.28,-,2.23,2.23,-,-,-,-,-,-
40,Shareholders' Equity,360.91,336.84,273.69,-,-,257.2,242.04,242.04,242.04,233.86,233.86,-187.18,-187.18,-,-66.97
41,Total Liabilities & Equity,666.43,624.12,567.13,-,-,618.83,-,576.11,576.11,553.18,553.18,626.72,626.72,-,-
42,Total Debt,196.99,192.81,195.57,-,-,221.68,242.3,242.3,242.3,213.43,213.43,745.57,745.57,-,607.75
43,Net Cash (Debt),47,24.98,-39.08,-,-,-102.74,-148.41,-148.41,-148.41,-90.15,-90.15,-619.45,-619.45,-,-552.62
44,Net Cash Per Share,0.07,0.04,-0.09,-,-,-0.19,-0.26,-0.27,-0.27,-0.16,-0.16,-1.11,-1.11,-,-0.99
45,Filing Date Shares Outstanding,628.73,650.3,445.7,-,-,553.2,561.6,619.33,619.33,619.33,619.33,557.4,557.4,557.4,557.4
46,Total Common Shares Outstanding,628.73,650.3,445.7,-,-,553.2,561.6,619.33,619.33,619.33,619.33,557.4,557.4,557.4,557.4
47,Working Capital,183.51,159.6,97.44,-,-,56.82,-,36.17,36.17,40.78,40.78,-389.41,-389.41,-,-
48,Book Value Per Share,0.57,0.51,0.61,-,-,0.46,0.39,0.39,0.39,0.38,0.38,-0.34,-0.34,-,-0.12
49,Tangible Book Value,358.72,334.57,271.39,-,-,254.58,236.75,236.75,236.75,233.46,233.46,-187.56,-187.56,-,-67.37
50,Tangible Book Value Per Share,0.57,0.51,0.61,-,-,0.46,0.38,0.38,0.38,0.38,0.38,-0.34,-0.34,-,-0.12
51,Land,-,-,-,-,-,-,-,13.31,13.31,-,-,15.33,15.33,-,-
52,Machinery,-,-,-,-,-,-,-,48.51,48.51,-,-,39.44,39.44,-,-
53,Construction In Progress,-,-,-,-,-,-,-,21.69,21.69,-,-,23.84,23.84,-,-
54,Leasehold Improvements,-,-,-,-,-,-,-,276.18,276.18,-,-,237.71,237.71,-,-
