,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
21,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-
22,Current Income Taxes Payable,0.45,-3.05,2.35,5.63,5.14,0.83,1.74,0.04,8.38,9.67,5.64,4.87,-,5.26,-,8.03
23,Current Unearned Revenue,4.83,13.89,10.8,11.87,23.82,4.88,11.5,6.18,6.5,8.69,10.98,7.82,-,3.39,-,1.92
24,Other Current Liabilities,4.94,2.37,5.32,4.43,4.13,30.85,4.24,4.74,5.07,3.61,3.43,1.37,-,23.05,-,14.3
25,Total Current Liabilities,157.74,152.9,153.32,171.53,137.31,147.3,114.02,99.54,81.43,76.68,77.68,147.78,-,102.31,-,69.84
26,Long-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-
27,Long-Term Unearned Revenue,2.71,2.91,3.17,3.43,3.69,3.95,4.21,4.47,4.74,4.91,5.26,5.52,-,4.99,-,5.46
28,Long-Term Deferred Tax Liabilities,1.93,1.82,1.36,1.44,1.54,1.62,1.71,1.8,2.7,1.35,-,-,-,-,-,-
29,Total Liabilities,162.38,157.62,157.85,176.4,142.54,152.88,119.95,105.81,88.86,82.93,82.93,153.3,-,117.3,-,75.3
30,Common Stock,154.71,154.71,154.71,154.71,154.71,96.7,96.7,96.7,96.7,96.7,96.7,72.52,-,72.52,-,72.52
31,Additional Paid-In Capital,1694,1694,1694,1693,1693,1751,1751,1751,1750,1750,1750,152.57,-,152.2,-,151.82
32,Retained Earnings,439.17,454.27,447.74,429.09,399.3,367.47,386.77,367.12,352.69,325.73,330.38,304.15,-,254.65,-,233.72
33,Treasury Stock,-57.07,-55.28,-51.93,-,-,-,-,-,-,-,-,-,-,-,-,-
34,Total Common Equity,2231,2247,2244,2277,2247,2215,2234,2214,2200,2173,2177,529.24,-,479.37,458.06,458.06
35,Minority Interest,2.32,1.83,1.88,1.8,1.77,1.74,1.65,1.68,0.63,0.65,0.67,0.68,-,0.78,-,0.85
36,Shareholders' Equity,2233,2249,2246,2279,2249,2217,2236,2216,2200,2173,2178,529.93,-,480.15,458.91,458.91
37,Total Liabilities & Equity,2395,2407,2404,2455,2391,2370,2356,2322,2289,2256,2261,683.23,-,597.45,-,534.21
38,Total Debt,-,0.6,2.67,-,-,-,-,-,-,-,-,69.06,-,40.04,10.01,10.01
39,Net Cash (Debt),1184,1251,1301,1364,1413,1415,1413,1381,1450,1503,1542,-50.56,-,22.76,37.01,37.01
40,Net Cash Growth,-16.20%,-11.60%,-7.93%,-1.26%,-2.54%,-5.87%,-8.35%,-,-,6503.36%,4065.94%,-,-,-,-,-
41,Net Cash Per Share,7.82,8.24,8.48,8.82,9.14,9.14,9.13,8.93,9.37,9.72,10.87,-0.44,-,0.20,0.32,0.32
42,Filing Date Shares Outstanding,151.47,151.58,151.77,154.71,154.71,154.71,154.68,154.71,154.71,154.71,154.71,116.04,116.04,116.04,116.06,116.04
43,Total Common Shares Outstanding,151.47,151.58,151.77,154.71,154.71,154.71,154.68,154.71,154.71,154.71,154.71,116.04,116.04,116.04,116.06,116.04
44,Working Capital,1305,1365,1415,1471,1545,1539,1570,1580,1669,1663,1692,78.15,-,99.44,-,103.68
45,Book Value Per Share,14.73,14.83,14.79,14.72,14.52,14.32,14.44,14.31,14.22,14.04,14.07,4.56,-,4.13,3.95,3.95
46,Tangible Book Value,2198,2214,2210,2243,2213,2181,2200,2180,2160,2133,2138,489.41,-,439.07,417.01,417.01
47,Tangible Book Value Per Share,14.51,14.61,14.56,14.50,14.30,14.10,14.22,14.09,13.96,13.79,13.82,4.22,-,3.78,3.59,3.59
48,Buildings,-,264.44,-,256.48,-,225.32,-,227.07,-,184.8,-,184.8,-,134.68,-,129.63
49,Machinery,-,432.99,-,430.36,-,345.46,-,328.86,-,320.71,-,313.05,-,311.22,-,248.56
50,Construction In Progress,-,199.29,-,179.17,-,181.57,-,153.53,-,128.87,-,70.7,-,27.21,-,66.63
