,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
27,Shares Outstanding (Basic),151,152,153,155,155,155,155,155,155,155,142,116,116,116,116,115
28,Shares Outstanding (Diluted),151,152,153,155,155,155,155,155,155,155,142,116,116,116,116,115
29,Shares Change (YoY),-2.07%,-1.99%,-0.80%,0.01%,-0.06%,0.06%,9.04%,33.34%,33.39%,33.30%,22.23%,0.46%,-,-,-,-
30,EPS (Basic),0.10,0.04,0.12,0.19,0.21,0.06,0.13,0.09,0.17,0.25,0.18,0.26,0.17,0.26,0.18,0.48
31,EPS (Diluted),0.10,0.04,0.12,0.19,0.21,0.06,0.13,0.09,0.17,0.25,0.18,0.26,0.17,0.26,0.18,0.48
32,EPS Growth,-51.18%,-31.36%,-4.33%,106.36%,18.16%,-75.04%,-31.31%,-63.83%,3.27%,-2.81%,2.49%,-45.90%,-,-,-,-
33,Free Cash Flow,-43.95,-65.42,-17.93,-61.56,13.33,-8.32,23.95,-48.96,-65.16,-8.09,-35.82,-26.53,-45.47,25.15,-8.71,-
34,Free Cash Flow Per Share,-0.29,-0.43,-0.12,-0.40,0.09,-0.05,0.15,-0.32,-0.42,-0.05,-0.25,-0.23,-0.39,0.22,-0.08,-
35,Dividend Per Share,-,-,-,0.200,-,-,-,0.188,-,-,-,0.281,-,-,-,-
36,Dividend Growth,-,-,-,6.67%,-,-,-,-33.35%,-,-,-,-,-,-,-,-
37,Gross Margin,58.27%,29.32%,40.80%,44.02%,50.73%,35.37%,36.46%,26.56%,53.22%,47.61%,51.60%,47.79%,50.55%,45.21%,49.51%,-82.36%
38,Operating Margin,17.47%,-23.62%,11.98%,16.79%,14.70%,5.63%,14.11%,-7.07%,16.03%,30.46%,28.07%,22.03%,23.82%,34.52%,28.17%,22.59%
39,Profit Margin,19.08%,10.35%,18.48%,19.34%,33.98%,15.08%,19.22%,13.64%,30.49%,35.78%,24.15%,23.78%,20.66%,27.97%,23.81%,51.91%
40,Free Cash Flow Margin,-55.11%,-103.64%,-17.78%,-39.97%,14.23%,-12.92%,23.44%,-46.27%,-73.69%,-7.45%,-32.97%,-21.08%,-48.01%,23.45%,-9.91%,-
41,EBITDA,24.01,-4.01,22.16,35.94,22.6,13.28,23.25,1.35,21.8,41.65,38.11,35.36,29.15,43.97,31.35,30.55
42,EBITDA Margin,30.11%,-6.36%,21.97%,23.33%,24.13%,20.62%,22.75%,1.28%,24.65%,38.35%,35.09%,28.09%,30.77%,41.01%,35.66%,28.80%
43,D&A For EBITDA,10.08,10.9,10.08,10.08,8.83,9.65,8.83,8.83,7.62,8.57,7.62,7.62,6.59,6.96,6.59,6.59
44,EBIT,13.94,-14.91,12.08,25.86,13.77,3.63,14.42,-7.48,14.18,33.08,30.49,27.73,22.56,37.02,24.76,23.97
45,EBIT Margin,17.47%,-23.62%,11.98%,16.79%,14.70%,5.63%,14.11%,-7.07%,16.03%,30.46%,28.07%,22.03%,23.82%,34.52%,28.17%,22.59%
46,Effective Tax Rate,5.27%,-,15.02%,14.54%,12.34%,1.17%,15.05%,-,4.69%,20.95%,15.02%,12.94%,7.27%,15.30%,14.78%,14.12%
47,Revenue as Reported,79.76,63.12,100.89,154.04,93.67,64.39,102.2,105.82,88.42,108.61,108.62,125.87,94.71,107.23,87.92,-
