,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
18,Current Portion of Long-Term Debt,30.67,20.16,24.88,14.15,24.51,12.13,-,10.1,-,-,-,-,-,-,-
19,Current Portion of Leases,-,10.75,-,10.38,-,10.09,18.64,6.47,8.87,8.88,8.4,11.04,-,4.07,-
20,Current Income Taxes Payable,1.37,-,6.19,4.41,1.17,-,2.54,-,4.48,2.02,-,-,-,-,-
21,Current Unearned Revenue,-,-,-,0.13,-,-,-,-,-,-,0.06,-,-,-,-
22,Other Current Liabilities,10.54,1.79,13.14,1.93,6.76,1.42,9.68,1.52,9.08,4.41,4.88,1.71,-,1.14,-
23,Total Current Liabilities,128.03,108.42,137.98,136.65,66.19,67.53,69.47,115.11,100.46,110.58,85.19,94.19,-,35.57,-
24,Long-Term Debt,198.45,161.95,142.96,114.96,119.97,102.97,107.98,70,-,-,-,-,-,-,-
25,Long-Term Leases,74.87,76.45,79.04,81.7,83.98,86.57,92.5,94.89,96.86,99.13,101.01,99.87,-,105.97,-
26,Long-Term Unearned Revenue,1.75,1.4,1.4,1.25,3.25,3.1,3.1,3.1,16.1,16.1,16.1,16.1,-,16.1,-
27,Total Liabilities,403.1,348.22,361.37,334.56,273.39,260.17,273.04,283.1,213.41,225.82,202.29,210.17,-,157.64,-
28,Common Stock,655.21,655.21,655.21,655.21,655.21,655.21,655.21,655.21,655.21,525.21,525.21,525.21,-,525.21,-
29,Additional Paid-In Capital,1555,1549,1541,1532,1521,1512,1503,1495,1492,653.93,645.33,636.77,-,610.45,-
30,Retained Earnings,-1655,-1565,-1466,-1364,-1187,-1068,-999.01,-942.85,-896.32,-830.29,-773.58,-722.55,-,-583.08,-
31,Comprehensive Income & Other,12.53,15.21,11.58,10.91,18.04,19.34,2.82,7.19,4.82,1.35,-1.17,-1.06,-,0.05,-
32,Shareholders' Equity,567.65,654.63,741.81,834,1007,1119,1162,1214,1256,350.19,395.79,438.37,-,552.62,620.23
33,Total Liabilities & Equity,970.75,1003,1103,1169,1281,1379,1435,1497,1469,576.01,598.09,648.54,-,710.26,-
34,Total Debt,303.99,269.31,246.88,221.19,228.47,211.77,219.11,230.21,163.31,178.09,159.64,160.99,-,117.07,6.53
35,Net Cash (Debt),436.3,507.57,632.9,732.11,835.74,74.59,989.3,1040,1104,212.42,251.91,310.88,-,423.88,630.43
36,Net Cash Growth,-47.79%,580.51%,-36.03%,-29.60%,-24.28%,-64.89%,292.72%,234.52%,-,-49.89%,-60.04%,-,-,-,-
37,Net Cash Per Share,0.63,0.77,0.99,1.13,1.26,0.11,1.59,1.63,1.68,0.41,0.49,0.58,-,0.81,1.20
38,Filing Date Shares Outstanding,655.21,655.21,655.21,655.21,655.21,655.21,655.21,655.21,655.21,525.21,525.21,525.21,518.33,525.21,525.21
39,Total Common Shares Outstanding,655.21,655.21,655.21,655.21,655.21,655.21,655.21,655.21,655.21,525.21,525.21,525.21,518.33,525.21,525.21
40,Working Capital,741.16,787.96,854.9,917.61,1097,1190,1240,1255,1240,331.37,379.08,415.39,-,551.01,-
41,Book Value Per Share,0.87,1.00,1.13,1.27,1.54,1.71,1.77,1.85,1.92,0.67,0.75,0.83,-,1.05,1.18
42,Tangible Book Value,565.89,652.82,739.87,832.07,1006,1117,1160,1212,1254,348.93,394.97,437.53,-,552.51,620.09
43,Tangible Book Value Per Share,0.86,1.00,1.13,1.27,1.53,1.70,1.77,1.85,1.91,0.66,0.75,0.83,-,1.05,1.18
44,Machinery,-,14.58,-,14.18,-,13.07,-,11.75,-,-,6.28,6.01,-,5.75,-
45,Construction In Progress,-,-,-,-,-,-,-,-,-,-,5.58,15.65,-,0.68,-
