,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
22,Current Ratio,3.49,3.49,3.58,3.52,-,-,3.86,3.72,3.85,4.89,4.88,4.72,3.82,4.21,4.18,4.10,3.40,3.16,2.95,2.71,2.77,Upgrade
23,Return on Equity (ROE),4.46%,2.90%,-,-,-,-0.00%,3.18%,-0.43%,4.38%,5.86%,38.24%,22.93%,-3.39%,1.30%,1.81%,2.26%,2.12%,1.76%,1.64%,0.51%,Upgrade,
24,Return on Assets (ROA),1.58%,1.65%,-,-,-,-0.86%,1.72%,0.12%,1.07%,2.53%,2.31%,-3.99%,1.24%,0.64%,0.44%,1.24%,3.88%,2.52%,0.69%,-0.96%,Upgrade,
25,Return on Capital (ROIC),1.75%,1.83%,-,-,-,-0.93%,1.89%,0.13%,1.16%,2.77%,2.61%,-4.48%,1.35%,0.70%,0.49%,1.37%,4.21%,2.75%,0.77%,-1.11%,Upgrade,
26,Return on Capital Employed (ROCE),-,2.08%,1.38%,0.19%,-,-,-,2.42%,2.63%,0.94%,0.98%,0.11%,-,1.68%,2.64%,3.36%,3.47%,3.19%,-2.19%,-0.28%,-,Upgrade
27,Earnings Yield,0.33%,1.56%,1.55%,0.90%,-,0.41%,0.63%,1.00%,6.29%,10.56%,7.13%,8.37%,2.62%,0.44%,1.09%,1.17%,0.95%,0.51%,-0.66%,0.40%,1.01%,Upgrade
28,FCF Yield,0.06%,-2.21%,-4.65%,-5.06%,-,-2.61%,-1.41%,-0.42%,-4.31%,-1.96%,-1.97%,-3.01%,-0.74%,0.02%,-0.62%,2.92%,3.18%,3.04%,3.50%,-0.04%,-1.93%,Upgrade
29,Dividend Yield,0.10%,-,0.16%,-,-,-,-,-,0.74%,-,-,-,-,-,-,-,0.39%,-,-,-,-,Upgrade
30,Payout Ratio,47.14%,24.77%,38.46%,7.32%,-,45.52%,-,14.15%,-,2.72%,9.04%,0.83%,4.49%,-,222.49%,31.39%,33.41%,42.33%,114.62%,-,-,Upgrade
31,Buyback Yield / Dilution,10.29%,-4.74%,-8.58%,5.56%,-,-7.73%,3.72%,-9.70%,8.24%,-9.78%,-0.47%,0.21%,6.36%,-1.32%,-10.52%,-11.01%,-43.35%,1.57%,1.23%,0.36%,13.67%,Upgrade
32,Total Shareholder Return,10.38%,-4.74%,-8.42%,5.56%,-,-7.73%,3.72%,-9.70%,8.98%,-9.78%,-0.47%,0.21%,6.36%,-1.32%,-10.52%,-11.01%,-42.96%,1.57%,1.23%,0.36%,13.67%,Upgrade
