,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
9,Other Current Assets,49.02,46.22,59.76,-,-,42.97,29.08,23.95,18.91,30,31.03,24.75,31.96,41.34,48.88,31.72,16.11,20.69,36.19,35.56,Upgrade
10,Total Current Assets,3549,3429,3448,-,-,3620,3673,3542,3420,3358,3259,3411,3429,3456,3540,3826,2890,2985,3116,3047,Upgrade
11,"Property, Plant & Equipment",404.16,404.16,409.2,-,-,408.21,282.71,283.2,286.52,286.13,291.99,298.96,296.84,303.53,306.07,279.39,282.96,285.48,289.25,294.23,Upgrade
12,Long-Term Investments,683.54,738.06,742.08,-,-,713.41,697.8,730.04,709.91,722.38,738.25,447.7,289.16,324.71,299.16,283.77,232.37,242.74,194.32,199.14,Upgrade
13,Goodwill,115.79,115.79,112.99,-,-,93.96,93.96,93.96,93.96,93.96,93.96,93.96,93.96,93.96,93.96,93.96,93.96,93.96,93.96,93.96,Upgrade
14,Other Intangible Assets,947.41,971.22,1003,-,-,849.51,864.26,499.19,510.1,528.38,549.12,440.45,449.77,468.22,388.93,409.49,446.13,438.05,379.84,390.81,Upgrade
15,Long-Term Deferred Tax Assets,202.03,200.34,195.23,-,-,149.82,139.52,141.39,128.49,132.4,128,140.98,126.36,124.45,119.85,110.64,88.42,86.27,86.55,85.79,Upgrade
16,Long-Term Deferred Charges,183.08,142.08,88.23,-,-,118.74,88.99,407.94,354.35,306.1,253.91,336.97,262.47,209.53,259.19,213.32,88.77,68.08,95.86,76.2,Upgrade
17,Other Long-Term Assets,64.02,12.01,12.81,-,-,-,142.55,118.39,0.95,-,1.11,-,1.44,-,2.06,-,2.48,-,3.48,3.85,Upgrade
18,Total Assets,6149,6013,6012,-,-,5954,5982,5816,5505,5428,5315,5170,4949,4981,5009,5218,4125,4201,4260,4193,Upgrade
19,Accounts Payable,42.46,36.39,39.6,-,-,23.52,17.36,26.11,18.98,23.89,23.44,47.77,31.4,41.2,40.4,44.48,45.63,52.97,82.24,64.4,Upgrade
20,Accrued Expenses,193.47,215.62,148.99,-,-,163.17,160.32,285.05,155.72,155.36,158.96,303.85,134.64,129.35,116.55,233.41,100.87,115.33,102.54,219.08,Upgrade
21,Short-Term Debt,483.5,472.65,497.14,-,-,594,630,437.67,360,360,280,260,431.94,443,494.28,574.22,615.81,705.92,784.04,604.5,Upgrade
22,Current Portion of Leases,3.78,2.75,6.23,-,-,6.82,6.34,7.71,9.25,8.91,10.51,10.9,-,-,-,-,-,-,-,-,Upgrade
23,Current Income Taxes Payable,37.56,2.12,33.51,-,-,1.33,22.54,0.7,20.73,2.75,23.48,5.09,26.55,2.54,15.37,2.61,32.71,2.76,25.21,25.8,Upgrade
24,Current Unearned Revenue,164.17,151.14,176.94,-,-,112.15,116.57,138.48,106.39,105.17,151.58,169.74,130.97,103.22,104.65,151.27,17.35,14.42,-,-,Upgrade
25,Other Current Liabilities,91.85,77.28,77.13,-,-,37.45,33.08,23.37,27.66,32.39,42.28,96.31,59.5,107.65,92.57,120.71,103.23,119.37,157.23,185.84,Upgrade
26,Total Current Liabilities,1017,957.95,979.55,-,-,938.44,986.2,919.07,698.74,688.46,690.26,893.65,815,826.96,863.84,1127,915.6,1011,1151,1100,Upgrade
27,Long-Term Debt,-,-,-,-,-,-,838.43,827.92,822.99,812.58,802.27,792.08,785.75,775.72,764.91,756.17,-,-,-,-,Upgrade
28,Long-Term Leases,2.02,4.89,2.94,-,-,2.89,1.54,2.65,3.62,6.13,7.42,10.01,15.08,17.49,15.47,-,-,-,-,-,Upgrade
29,Long-Term Unearned Revenue,2.87,3.25,3.63,-,-,4.76,5.14,5.52,5.9,6.27,6.65,7.03,7.96,8.34,8.72,9.09,8.49,8.87,9.26,9.64,Upgrade
30,Long-Term Deferred Tax Liabilities,111.75,112.3,107.25,-,-,103.17,100.84,102.45,99.47,99.59,103.81,57.77,31.03,31.97,22.44,21.77,20.58,20.58,20.58,20.58,Upgrade
31,Other Long-Term Liabilities,-,-,-,-,-,-,-,-,0.63,0.63,0.63,0.63,-,-,-,-,-,-,-,-,Upgrade
32,Total Liabilities,1133,1078,1093,-,-,1049,1932,1858,1631,1614,1611,1761,1655,1660,1675,1914,944.67,1040,1181,1130,Upgrade
33,Common Stock,984.85,984.85,984.85,-,-,979.58,874.76,867.93,861.8,888.73,884.06,884.06,884.06,884.03,884.02,884.02,884.02,884.02,884.02,884.02,Upgrade
34,Additional Paid-In Capital,1880,1858,1836,-,-,1827,845.43,793.24,723.33,833.55,791.75,843.31,929.69,923.79,918.55,914.15,846.87,842.94,775.16,771.22,Upgrade
35,Retained Earnings,2221,2178,2155,-,-,2161,2219,2187,2192,2148,2098,1750,1555,1584,1597,1579,1678,1663,1649,1637,Upgrade
36,Treasury Stock,-103.88,-103.88,-81.53,-,-,-79.6,-69.79,-69.79,-68.29,-223.37,-224.79,-224.79,-224.79,-224.79,-224.79,-224.79,-224.79,-224.79,-224.79,-224.79,Upgrade
37,Comprehensive Income & Other,11.65,-1.35,2.21,-,-,16.45,181.68,180.95,166.19,166.99,163.9,166.44,156.68,160.71,167.11,159.24,-3.71,-1.04,-1.96,-0.71,Upgrade
38,Total Common Equity,4993,4915,4897,-,-,4904,4051,3960,3875,3814,3712,3419,3300,3328,3342,3312,3180,3164,3082,3067,Upgrade
39,Minority Interest,21.86,18.86,21.67,-,-,0.06,-0.88,-1.04,-1.77,0.07,-8.29,-9.46,-5.64,-7.32,-7.96,-7.69,-0.51,-2.97,-3.26,-3.76,Upgrade
40,Shareholders' Equity,5015,4934,4918,-,-,4904,4050,3959,3873,3814,3704,3409,3295,3321,3334,3304,3180,3161,3078,3063,Upgrade
41,Total Liabilities & Equity,6149,6013,6012,-,-,5954,5982,5816,5505,5428,5315,5170,4949,4981,5009,5218,4125,4201,4260,4193,Upgrade
42,Total Debt,489.3,480.28,506.31,-,-,603.71,1476,1276,1196,1188,1100,1073,1233,1236,1275,1330,615.81,705.92,784.04,604.5,Upgrade
43,Net Cash (Debt),986.96,916.36,960.6,-,-,978.99,236.11,312.77,238.73,195.3,191.49,551.41,338.73,380.13,490.33,739.67,329.33,402.69,306.08,491.82,Upgrade
44,Net Cash Growth,-,-6.40%,306.85%,-,-,401.27%,23.30%,-43.28%,-29.52%,-48.62%,-60.95%,-25.45%,2.86%,-5.60%,60.19%,50.39%,47.82%,46.56%,-9.72%,-29.29%,Upgrade
45,Net Cash Per Share,0.90,0.90,0.95,-,-,1.04,0.22,0.32,0.25,0.20,0.20,0.52,0.38,0.39,0.50,0.66,0.38,0.46,0.35,0.63,Upgrade
46,Filing Date Shares Outstanding,984.41,990.21,979.32,-,980.8,971.35,867.5,860.68,854.8,881.73,877.06,877.06,877.06,884.03,884.02,884.02,884.02,884.02,884.02,884.02,Upgrade
47,Total Common Shares Outstanding,984.41,990.21,979.32,-,980.8,971.35,867.5,860.68,854.8,881.73,877.06,877.06,877.06,884.03,884.02,884.02,884.02,884.02,884.02,884.02,Upgrade
48,Working Capital,2532,2471,2468,-,-,2681,2686,2623,2722,2670,2569,2517,2614,2629,2676,2699,1974,1974,1965,1948,Upgrade
49,Book Value Per Share,5.07,4.96,5.00,-,-,5.05,4.67,4.60,4.53,4.33,4.23,3.90,3.76,3.76,3.78,3.75,3.60,3.58,3.49,3.47,Upgrade
50,Tangible Book Value,3930,3828,3780,-,-,3961,3093,3367,3271,3192,3069,2884,2757,2766,2859,2808,2640,2632,2608,2582,Upgrade
51,Tangible Book Value Per Share,3.99,3.87,3.86,-,-,4.08,3.57,3.91,3.83,3.62,3.50,3.29,3.14,3.13,3.23,3.18,2.99,2.98,2.95,2.92,Upgrade
52,Buildings,-,444.19,-,-,-,318.53,-,318.08,-,312.46,-,312.11,-,312.35,-,299.07,-,299.07,-,299.07,Upgrade
53,Machinery,-,94.18,-,-,-,100.53,-,93.91,-,99.87,-,100.24,-,101.88,-,101.3,-,101.67,-,101.02,Upgrade
54,Construction In Progress,-,-,-,-,-,126.31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
