,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
17,Gain (Loss) on Sale of Assets,-0,-,-0.07,-,-0.06,-,0.17,0.03,-,2.1,5.93,0.17,0.08,0.13,0.2,-0.02,0.29,-,-,-1.13,Upgrade
18,Asset Writedown,3.07,-5.04,5.04,-,7.44,-8.47,8.47,-15.33,15.33,0.53,-0.53,13.4,-13.4,0.91,-0.91,6.12,-6.12,-,-,-,Upgrade
19,Legal Settlements,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-1.48,-,-,-,-0.74,Upgrade
20,Other Unusual Items,-0.71,0.71,-,-,-0.01,0.01,-,40.94,-17.77,0.39,-,33.36,-0.12,0.12,-,37.56,-1,1,-,36.97,Upgrade
21,Pretax Income,53.81,31.79,49.74,-,7.59,-6.27,32.47,-14.85,44.64,47.09,401.18,207.05,-27.97,18.24,7.71,10.31,20.14,15.51,14.38,-20.4,Upgrade
22,Income Tax Expense,-1.7,-3.91,0.13,-,-3.91,-6.22,0.68,-10.61,2.57,-7.94,61.18,14.92,0.04,7.41,-7.28,-7.97,3.32,1.79,1.75,-24.31,Upgrade
23,Earnings From Continuing Operations,55.51,35.69,49.61,-,11.5,-0.05,31.79,-4.24,42.07,55.04,340,192.13,-28.01,10.84,14.99,18.28,16.82,13.72,12.63,3.91,Upgrade
24,Minority Interest in Earnings,-3.14,-2.72,0.83,-,-1.99,-0.91,-0.17,-0.23,1.84,-4.56,7.84,2.91,-1.68,3.11,2.77,6.51,-1.46,-0.29,-0.5,-1.64,Upgrade
25,Net Income,52.37,32.97,50.45,-,9.51,-0.96,31.62,-4.46,43.91,50.48,347.84,195.05,-29.69,13.95,17.76,24.8,15.36,13.42,12.13,2.28,Upgrade
26,Net Income to Common,52.37,32.97,50.45,-,9.51,-0.96,31.62,-4.46,43.91,50.48,347.84,195.05,-29.69,13.95,17.76,24.8,15.36,13.42,12.13,2.28,Upgrade
27,Net Income Growth,450.67%,-,59.53%,-,-78.34%,-,-90.91%,-,-,261.91%,1858.57%,686.59%,-,3.92%,46.40%,988.78%,-,-86.89%,-81.57%,-98.37%,Upgrade
28,Shares Outstanding (Basic),984,990,980,-,981,938,871,968,873,877,877,948,884,877,875,1127,872,877,879,786,Upgrade
29,Shares Outstanding (Diluted),1094,1018,1009,-,1045,938,1068,968,970,974,974,1055,884,969,976,1127,872,877,879,786,Upgrade
30,Shares Change (YoY),4.74%,8.58%,-5.56%,-,7.73%,-3.72%,9.70%,-8.24%,9.78%,0.47%,-0.21%,-6.36%,1.32%,10.52%,11.01%,43.35%,-1.57%,-1.23%,-0.36%,-13.67%,Upgrade
31,EPS (Basic),0.05,0.03,0.05,-,0.01,-0.00,0.04,-0.00,0.05,0.06,0.40,0.21,-0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.00,Upgrade
32,EPS (Diluted),0.05,0.03,0.05,-,0.01,-0.00,0.03,-0.00,0.05,0.05,0.36,0.18,-0.03,0.01,0.02,0.02,0.02,0.02,0.01,0.00,Upgrade
33,EPS Growth,425.79%,-,68.92%,-,-79.90%,-,-91.71%,-,-,260.24%,1862.64%,740.00%,-,-5.97%,31.88%,659.75%,-,-86.73%,-81.50%,-98.11%,Upgrade
34,Free Cash Flow,47.62,-64.42,-175.97,-,-39.12,-115.58,-105.89,31.86,32.48,-9.19,-354.93,213.42,-5.11,-42.94,-221,270.09,-46.9,175.93,-177.91,306.7,Upgrade
35,Free Cash Flow Per Share,0.04,-0.06,-0.17,-,-0.04,-0.12,-0.10,0.03,0.03,-0.01,-0.36,0.20,-0.01,-0.04,-0.23,0.24,-0.05,0.20,-0.20,0.39,Upgrade
36,Dividend Per Share,-,0.010,-,-,-,-,-,0.060,-,-,-,-,-,-,-,0.030,-,-,-,-,Upgrade
37,Gross Margin,32.13%,35.73%,30.37%,-,28.68%,31.57%,29.32%,29.70%,27.45%,33.36%,29.28%,21.10%,25.66%,28.81%,24.16%,41.34%,32.82%,35.23%,23.15%,39.84%,Upgrade
38,Operating Margin,4.61%,5.02%,3.94%,-,0.15%,-2.74%,5.64%,0.34%,3.03%,7.28%,6.80%,-10.54%,3.49%,1.87%,1.38%,3.66%,9.60%,7.10%,1.97%,-3.32%,Upgrade
39,Profit Margin,6.30%,4.18%,6.89%,-,1.22%,-0.13%,4.39%,-0.57%,5.70%,6.75%,48.83%,25.44%,-4.21%,2.04%,2.72%,3.93%,2.28%,2.24%,2.06%,0.47%,Upgrade
40,Free Cash Flow Margin,5.72%,-8.17%,-24.03%,-,-5.02%,-15.39%,-14.70%,4.10%,4.22%,-1.23%,-49.83%,27.84%,-0.73%,-6.27%,-33.81%,42.77%,-6.97%,29.33%,-30.19%,62.94%,Upgrade
41,EBITDA,41.29,43.57,31.82,-,24.65,10.48,64.12,26.13,27.89,77.26,69.7,-59.53,44.86,33.88,29.28,43.35,78.9,62.55,25.94,-1.84,Upgrade
42,EBITDA Margin,4.96%,5.53%,4.35%,-,3.16%,1.40%,8.90%,3.36%,3.62%,10.33%,9.79%,-7.76%,6.36%,4.95%,4.48%,6.87%,11.73%,10.43%,4.40%,-0.38%,Upgrade
43,D&A For EBITDA,2.98,3.95,2.98,-,23.47,31.03,23.47,23.47,4.55,22.84,21.29,21.29,20.25,21.04,20.25,20.25,14.36,19.98,14.36,14.36,Upgrade
44,EBIT,38.31,39.62,28.84,-,1.18,-20.55,40.66,2.66,23.33,54.43,48.42,-80.82,24.6,12.84,9.03,23.1,64.54,42.56,11.58,-16.2,Upgrade
45,EBIT Margin,4.61%,5.02%,3.94%,-,0.15%,-2.74%,5.64%,0.34%,3.03%,7.28%,6.80%,-10.54%,3.49%,1.87%,1.38%,3.66%,9.60%,7.10%,1.97%,-3.32%,Upgrade
46,Effective Tax Rate,-,-,0.27%,-,-,-,2.09%,-,5.75%,-,15.25%,7.21%,-,40.60%,-,-,16.49%,11.56%,12.19%,-,Upgrade
47,Revenue as Reported,831.86,788.54,732.25,-,779.85,751.03,720.48,776.67,770.2,747.67,712.35,766.68,705.28,685.14,653.57,631.44,672.53,599.79,589.33,487.26,Upgrade
