,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
35,Additional Paid-In Capital,-,1522,1522,1522,1522,1522,1522,1522,1522,473.42,-,-,473.42,-,473.42,473.42
36,Retained Earnings,-,62.01,69.84,95.42,104.58,73.29,74.77,86.18,96.59,70.59,-,-,51.34,-,-6.88,-6.88
37,Treasury Stock,-,-66.17,-40.37,-30,-,-,-,-,-,-,-,-,-,-,-,-
38,Comprehensive Income & Other,-,2.51,2.2,2.06,1.61,1.08,1.05,0.57,-,-,-,-,-0.08,-,-,-
39,Total Common Equity,1596,1596,1629,1665,1704,1672,1673,1684,1694,600.66,-,581.33,581.33,523.2,523.2,523.2
40,Minority Interest,-,-11.43,-14.6,-11.16,-9.84,-8.32,-7.44,-6.8,-6.13,-5.2,-,-,-3.8,-,-4.08,-4.08
41,Shareholders' Equity,1585,1585,1615,1654,1694,1663,1666,1677,1688,595.46,-,577.53,577.53,519.11,519.11,519.11
42,Total Liabilities & Equity,-,1886,1859,1895,1935,1870,1874,1913,1993,936.64,-,-,1110,-,923.21,923.21
43,Total Debt,11.65,11.65,2.49,3.1,1.48,2.97,3.37,3.27,3.65,64.15,-,70.35,70.35,39.11,39.11,39.11
44,Net Cash (Debt),1054,1054,1093,1163,1260,1265,1292,1347,1395,113.64,-,423.71,423.71,254.61,254.61,254.61
45,Net Cash Growth,-16.37%,-16.65%,-15.40%,-13.66%,-9.67%,1012.81%,-,217.96%,229.30%,-55.37%,-,66.41%,-,-,-,-
46,Net Cash Per Share,14.21,14.70,14.63,15.04,16.66,275.77,12.68,18.13,30.72,1.47,-,7.10,6.70,5.74,4.45,4.45
47,Filing Date Shares Outstanding,74.17,74.15,74.82,75.28,75.28,75.66,75.66,75.66,75.66,56.66,44.49,59.64,56.66,44.35,56.66,56.66
48,Total Common Shares Outstanding,74.15,74.15,74.82,75.28,75.66,75.66,75.66,75.66,75.66,56.66,44.49,59.64,56.66,44.35,56.66,56.66
49,Working Capital,-,1285,1344,1382,1437,1442,1459,1478,1493,479.1,-,-,514.83,-,485.21,485.21
50,Book Value Per Share,21.53,21.53,21.78,22.12,22.52,22.10,22.11,22.26,22.39,10.60,-,10.26,10.26,9.23,9.23,9.23
51,Tangible Book Value,1581,1581,1615,1654,1693,1661,1662,1673,1683,589.64,-,570.23,570.23,511.94,511.94,511.94
52,Tangible Book Value Per Share,21.33,21.33,21.58,21.98,22.37,21.95,21.97,22.12,22.24,10.41,-,10.06,10.06,9.04,9.04,9.04
53,Buildings,-,-,185.63,-,186.57,-,176.42,-,-,-,-,-,-,-,-,-
54,Machinery,-,-,17,-,15.87,-,12.52,-,11.7,11.65,-,-,10.93,-,10.28,10.28
55,Construction In Progress,-,-,52.4,-,38.6,-,-,-,169.93,131.73,-,-,69.88,-,25.14,25.14
