,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
9,Operating Expenses,170.46,19.49,27.09,18.85,58.09,10.54,12.56,17.6,9.27,27.21,14.8,17.67,10.9,11.82,14.83,14.83
10,Operating Income,-26.31,-10.62,-19.49,-15.67,-4.58,-5.35,5.86,-15.16,25.44,35.52,-11.32,-6.65,70.07,-9.2,1.1,1.1
11,Interest Expense,-16.38,-0.07,-0.13,-0.04,-0.24,-,-0.06,-0.01,-0.11,-0.14,-0.18,-0.1,-0.31,-,-0.16,-0.16
12,Interest & Investment Income,0.23,3.96,7.12,5.3,11.59,5.06,8.58,1.83,1.46,1.11,1.32,2.9,1.54,1.52,0.64,0.64
13,Other Non Operating Income (Expenses),0.27,0.16,-0.66,-0.02,0.31,-0.07,-0.14,-0.01,-0.65,1.17,-1.63,0.29,0.32,-0.02,-0.34,-0.34
14,EBT Excluding Unusual Items,-42.2,-6.56,-13.15,-10.42,7.08,-0.36,14.24,-13.36,26.13,37.66,-11.82,-3.57,71.61,-7.7,1.24,1.24
15,Gain (Loss) on Sale of Investments,0.28,0,-0.29,0,-0.08,0,-0.31,0.01,-0.36,0.03,0.38,0.03,0.06,0.08,0.08,0.08
16,Gain (Loss) on Sale of Assets,0.03,-0.03,-0,-0,0.05,0.02,-0,-,0.07,0.19,-0.31,-,-0.01,-,-0.01,-0.01
17,Asset Writedown,0.17,-0.16,0,-0.01,3.41,-3.26,0,-0,4.18,-4.39,-,-,-,0,-0,-0
18,Other Unusual Items,-,-1.59,1.59,0,21.12,0.41,-0.41,-,2.01,-0.26,0.26,-,2.8,0.06,-0.99,-0.99
19,Pretax Income,-41.72,-8.34,-11.84,-10.42,31.58,-3.2,13.52,-13.36,32.03,33.22,-11.5,-3.54,74.47,-7.56,0.32,0.32
20,Income Tax Expense,-17.84,0.06,-0.2,0.02,1.88,-0.83,2.87,-2.27,6.96,4.5,-3.63,-0.61,10.88,-2.11,-0.58,-0.58
21,Earnings From Continuing Operations,-23.88,-8.41,-11.65,-10.44,29.7,-2.36,10.65,-11.08,25.07,28.73,-7.86,-2.93,63.59,-5.44,0.9,0.9
22,Minority Interest in Earnings,-2.9,0.58,1.16,1.16,1.51,0.88,0.64,0.68,0.93,0.49,0.36,0.54,-0.43,0.51,0.25,0.25
23,Net Income,-26.78,-7.83,-10.48,-9.28,31.21,-1.48,11.29,-10.41,26,29.22,-7.51,-2.39,63.15,-4.94,1.14,1.14
24,Net Income to Common,-26.78,-7.83,-10.48,-9.28,31.21,-1.48,11.29,-10.41,26,29.22,-7.51,-2.39,63.15,-4.94,1.14,1.14
25,Net Income Growth,-,-,-,-,20.04%,-,-,-,-58.83%,-,-,-,-,-,-,-
26,Shares Outstanding (Basic),74,72,75,77,76,5,102,74,45,77,44,60,63,44,57,57
27,Shares Outstanding (Diluted),74,72,75,77,76,5,102,74,45,77,44,60,63,44,57,57
28,Shares Change (YoY),-1.97%,1463.67%,-26.66%,4.08%,66.57%,-94.05%,128.96%,24.64%,-28.13%,73.83%,-22.28%,4.18%,-,-,-,-
29,EPS (Basic),-0.36,-0.11,-0.14,-0.12,0.41,-0.32,0.11,-0.14,0.57,0.38,-0.17,-0.04,1.00,-0.11,0.02,0.02
30,EPS (Diluted),-0.36,-0.11,-0.14,-0.12,0.41,-0.32,0.11,-0.14,0.57,0.38,-0.17,-0.04,1.00,-0.11,0.02,0.02
31,EPS Growth,-,-,-,-,-27.93%,-,-,-,-42.72%,-,-,-,-,-,-,-
32,Free Cash Flow,-,11.94,-51.05,-66.39,-3.21,-29.63,-32.81,-42.52,205.79,-34.18,-33.44,-239.21,215.67,-45.29,-37.96,-37.96
33,Free Cash Flow Per Share,-,0.17,-0.68,-0.86,-0.04,-6.46,-0.32,-0.57,4.53,-0.44,-0.75,-4.01,3.41,-1.02,-0.66,-0.66
34,Dividend Per Share,-,-,-,-,0.200,-,-,-,0.300,-,-,-,-,-,-,-
35,Dividend Growth,-,-,-,-,-33.33%,-,-,-,-,-,-,-,-,-,-,-
36,Gross Margin,150.78%,27.60%,27.54%,37.64%,37.82%,22.38%,39.01%,17.90%,34.82%,46.49%,23.40%,36.33%,37.23%,55.44%,15.94%,15.94%
37,Operating Margin,-27.52%,-33.02%,-70.57%,-185.61%,-3.24%,-23.08%,12.42%,-111.49%,25.52%,26.33%,-76.23%,-21.92%,32.22%,-193.97%,1.10%,1.10%
38,Profit Margin,-28.01%,-24.36%,-37.97%,-109.96%,22.06%,-6.40%,23.90%,-76.51%,26.08%,21.66%,-50.53%,-7.86%,29.04%,-104.14%,1.15%,1.15%
39,Free Cash Flow Margin,-,37.13%,-184.87%,-786.37%,-2.27%,-127.78%,-69.47%,-312.63%,206.44%,-25.33%,-225.10%,-788.36%,99.16%,-955.38%,-38.00%,-38.00%
40,EBITDA,-24.79,-9.09,-17.27,-14.15,-3.06,-4.6,6.58,-14.42,25.83,36.39,-10.4,-6.19,71.08,-8.92,1.56,1.56
41,EBITDA Margin,-25.93%,-28.28%,-62.53%,-167.57%,-2.16%,-19.85%,13.94%,-105.98%,25.91%,26.97%,-70.02%,-20.40%,32.68%,-188.13%,1.56%,1.56%
42,D&A For EBITDA,1.52,1.52,2.22,1.52,1.52,0.75,0.72,0.75,0.39,0.87,0.92,0.46,1.01,0.28,0.46,0.46
43,EBIT,-26.31,-10.62,-19.49,-15.67,-4.58,-5.35,5.86,-15.16,25.44,35.52,-11.32,-6.65,70.07,-9.2,1.1,1.1
44,EBIT Margin,-27.52%,-33.02%,-70.57%,-185.61%,-3.24%,-23.08%,12.42%,-111.49%,25.52%,26.33%,-76.23%,-21.92%,32.22%,-193.97%,1.10%,1.10%
45,Effective Tax Rate,-,-,-,-,5.96%,-,21.25%,-,21.73%,13.54%,-,-,14.61%,-,-,-
46,Revenue as Reported,-,32.15,27.61,8.44,141.48,23.18,47.22,13.6,99.69,134.92,14.86,30.34,422.03,-,-,-
