,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
9,P/OCF Ratio,-,-,14.24,13.30,-,34.85,-39.43,-,-,-,-89.23,-,-130.96,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,5.25,5.45,3.93,3.49,2.63,3.51,4.18,3.76,4.62,4.18,4.43,5.01,4.98,7.66,6.51,5.72,5.66,-,-,-,-
11,EV/EBITDA Ratio,15.28,15.72,14.25,13.33,10.41,14.82,17.71,16.55,21.16,17.29,17.37,19.79,19.36,31.24,21.89,18.80,18.80,-,-,-,-
12,EV/EBIT Ratio,18.94,19.66,18.76,16.77,12.35,17.17,19.81,18.54,24.07,19.18,19.20,21.96,21.38,34.49,23.36,20.04,19.95,-,-,-,-
13,EV/FCF Ratio,-,-,15.95,-,-,36.61,-26.91,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.38,0.38,0.38,0.39,0.40,0.42,0.35,0.03,0.04,0.04,0.04,0.00,0.00,0.00,-,-,-,-,-,-,-
15,Debt / EBITDA Ratio,2.77,1.91,2.98,2.95,3.89,3.80,2.62,0.20,0.51,0.32,0.32,0.00,0.00,0.00,-,-,-,-,-,-,-
16,Debt / FCF Ratio,-,-,3.70,-,-,8.70,-4.72,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,Asset Turnover,-,0.22,0.25,0.17,0.30,0.32,0.45,0.20,0.40,0.36,0.35,0.30,0.35,0.34,0.33,0.43,-,-,-,-,
18,Inventory Turnover,-,-,0.61,0.77,0.54,1.22,0.98,1.50,0.72,1.56,1.22,1.34,1.15,1.55,1.67,1.78,1.98,-,-,-,-
19,Quick Ratio,-,-,2.25,2.37,1.79,2.12,2.13,1.41,1.34,1.47,1.62,1.87,2.20,2.32,2.23,2.69,3.42,1.74,-,1.17,-
20,Current Ratio,-,-,3.09,3.24,3.18,3.03,2.96,2.13,2.04,2.09,2.18,2.54,2.88,2.97,3.22,3.62,4.29,2.32,-,1.92,-
21,Return on Equity (ROE),13.84%,9.36%,8.67%,7.38%,8.65%,10.71%,14.72%,6.35%,10.27%,10.66%,10.99%,12.39%,11.81%,11.21%,8.40%,13.25%,-,-,22.84%,-,
22,Return on Assets (ROA),-,3.52%,3.38%,2.55%,2.78%,4.83%,6.56%,2.40%,4.16%,4.82%,4.48%,6.01%,4.29%,4.16%,4.39%,7.46%,-,-,-,-,
23,Return on Capital (ROIC),7.85%,4.66%,4.45%,3.36%,3.69%,6.70%,9.73%,3.57%,6.09%,6.88%,6.22%,8.20%,5.80%,5.48%,5.58%,9.83%,-,-,15.84%,-,
24,Return on Capital Employed (ROCE),-,-,6.36%,6.88%,7.73%,7.43%,7.69%,10.16%,8.76%,10.44%,10.35%,9.84%,9.56%,9.40%,14.21%,14.51%,14.51%,27.24%,-,11.37%,-
25,Earnings Yield,3.95%,3.83%,4.19%,4.97%,5.91%,4.53%,4.14%,4.35%,3.56%,4.28%,4.49%,4.17%,4.07%,2.65%,3.63%,3.83%,4.42%,-,-,-,-
26,FCF Yield,-,5.22%,5.27%,2.57%,2.27%,-3.27%,-5.11%,-3.83%,-3.79%,-2.98%,-3.41%,-1.91%,-1.44%,-0.19%,0.73%,2.40%,-,-,-,-,
27,Dividend Yield,1.16%,-,-,-,-,1.47%,-,-,-,1.34%,-,-,-,0.64%,-,-,-,-,-,-,-
28,Payout Ratio,0.00%,-,3.40%,140.12%,0.95%,1.10%,107.25%,0.71%,1.07%,1.07%,2.84%,39.11%,-,-,-,205.27%,-,-,-,145.28%,-
29,Buyback Yield / Dilution,-1.12%,58.18%,61.91%,44.88%,0.20%,2.34%,-297.85%,-2.75%,-4.32%,6.76%,-14.32%,-38.55%,1.84%,-48.99%,-16.94%,1.31%,-34.35%,-,-,-,-
30,Total Shareholder Return,0.04%,58.18%,61.91%,44.88%,0.20%,3.81%,-297.85%,-2.75%,-4.32%,8.10%,-14.32%,-38.55%,1.84%,-48.34%,-16.94%,1.31%,-34.35%,-,-,-,-
