,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
27,Net Income Growth,63.08%,-9.62%,-35.90%,30.17%,-2.60%,17.04%,50.34%,-42.94%,-3.04%,5.52%,41.91%,30.05%,-55.91%,52.52%,-11.20%,31.08%,-,-,-,-
28,Shares Outstanding (Basic),61,215,78,147,146,572,143,147,146,144,144,141,160,126,104,144,107,107,106,107
29,Shares Outstanding (Diluted),61,218,82,147,146,572,148,147,149,144,144,141,160,126,104,144,107,107,106,107
30,Shares Change (YoY),-58.18%,-61.91%,-44.88%,-0.20%,-2.34%,297.85%,2.75%,4.32%,-6.76%,14.32%,38.55%,-1.84%,48.99%,16.94%,-1.31%,34.35%,-,-,-,-
31,EPS (Basic),0.90,0.17,0.43,0.19,0.23,0.07,0.37,0.15,0.23,0.24,0.24,0.27,0.22,0.26,0.23,0.20,0.75,0.20,0.26,0.21
32,EPS (Diluted),0.90,0.17,0.41,0.19,0.23,0.07,0.35,0.15,0.23,0.24,0.24,0.27,0.22,0.26,0.23,0.20,0.75,0.20,0.26,0.21
33,EPS Growth,289.98%,137.28%,16.29%,30.43%,-0.26%,-70.58%,46.31%,-45.30%,3.99%,-7.69%,2.43%,32.48%,-70.41%,30.42%,-10.02%,-2.44%,-,-,-,-
34,Free Cash Flow,-,62.65,-14.09,-19.06,134.45,42.28,-90.64,-12.19,-57,-8.03,-57.36,-3.08,-26.1,-28.84,-3.29,-7.95,31.22,9.75,53.03,34
35,Free Cash Flow Per Share,-,0.29,-0.17,-0.13,0.92,0.07,-0.61,-0.08,-0.38,-0.06,-0.40,-0.02,-0.16,-0.23,-0.03,-0.06,0.29,0.09,0.50,0.32
36,Dividend Per Share,-,-,-,-,0.321,-,-,-,0.296,-,-,-,0.200,-,-,-,-,-,-,-
37,Dividend Growth,-,-,-,-,8.62%,-,-,-,47.95%,-,-,-,-,-,-,-,-,-,-,-
38,Gross Margin,237.55%,47.19%,40.91%,41.12%,31.34%,42.15%,36.31%,39.62%,35.84%,43.09%,38.32%,42.83%,39.75%,40.36%,42.25%,43.18%,44.97%,46.51%,41.12%,46.76%
39,Operating Margin,36.88%,25.77%,21.83%,24.73%,14.63%,24.33%,23.11%,18.82%,16.65%,21.44%,20.40%,32.35%,19.74%,19.87%,21.58%,27.94%,35.60%,22.22%,21.84%,31.48%
40,Profit Margin,29.31%,23.33%,19.05%,24.06%,15.44%,20.23%,21.11%,20.18%,16.92%,20.35%,22.51%,30.53%,25.14%,25.40%,20.30%,23.53%,35.04%,19.53%,19.69%,27.63%
41,Free Cash Flow Margin,-,40.10%,-8.03%,-16.16%,62.14%,21.21%,-36.69%,-11.28%,-28.12%,-4.74%,-37.22%,-2.46%,-18.55%,-22.43%,-2.73%,-6.37%,13.63%,8.90%,37.92%,41.92%
42,EBITDA,79.11,50.83,50.73,39.73,42.22,53.01,62.53,24.84,38.25,39.6,35.85,43.78,31.08,28.24,29.18,37.58,84.23,26.76,33.18,27.93
43,EBITDA Margin,42.56%,32.53%,28.90%,33.69%,19.51%,26.59%,25.31%,22.99%,18.87%,23.39%,23.26%,34.99%,22.09%,21.97%,24.23%,30.11%,36.78%,24.41%,23.73%,34.44%
44,D&A For EBITDA,10.57,10.57,12.41,10.57,10.57,4.51,5.44,4.51,4.51,3.3,4.42,3.3,3.3,2.7,3.19,2.7,2.7,2.4,2.64,2.4
45,EBIT,68.55,40.26,38.31,29.17,31.65,48.5,57.09,20.33,33.75,36.3,31.43,40.48,27.78,25.55,25.99,34.88,81.53,24.36,30.54,25.53
46,EBIT Margin,36.88%,25.77%,21.83%,24.73%,14.63%,24.33%,23.11%,18.82%,16.65%,21.44%,20.40%,32.35%,19.74%,19.87%,21.58%,27.94%,35.60%,22.22%,21.84%,31.48%
47,Effective Tax Rate,16.07%,10.07%,11.68%,11.20%,20.08%,10.77%,12.24%,11.45%,10.36%,11.73%,11.28%,15.26%,18.88%,-,11.78%,15.00%,14.66%,10.75%,13.33%,14.37%
48,Revenue as Reported,-,156.24,175.52,117.94,216.35,199.33,247.06,108.03,202.7,169.3,154.11,125.13,140.72,128.55,120.43,124.83,229.03,109.6,139.84,81.1
