,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
38,Total Liabilities & Equity,-,2907,2811,2857,2855,2831,2192,2160,2082,1976,1791,1715,1654,1582,1485,1474,865.15,-,833.33,-
39,Total Debt,605.99,605.99,599.97,617.62,642.63,555.22,50.19,50.19,50.23,50,0.06,0.34,0.34,-,-,-,-,-,-,-
40,Net Cash (Debt),530.41,530.41,530.95,249.05,471.45,556.63,427.63,548.02,531.7,584.24,564.2,633.72,639.33,651.84,666.69,721.61,168.18,-,124.99,76.21
41,Net Cash Growth,12.51%,-4.71%,24.16%,-54.55%,-11.33%,-4.73%,-24.21%,-13.52%,-16.84%,-10.37%,-15.37%,-12.18%,280.14%,-,433.39%,846.85%,-,-,-,-
42,Net Cash Per Share,8.72,2.44,6.49,1.69,3.24,0.97,2.88,3.72,3.57,4.07,3.90,4.49,4.00,5.19,6.39,5.01,1.57,-,1.18,0.71
43,Filing Date Shares Outstanding,60.85,215.19,77.67,146.22,145.52,146.22,144.9,144.93,142.56,143.65,142.56,142.56,142.56,142.56,142.56,142.56,106.92,107.45,106.92,107.11
44,Total Common Shares Outstanding,60.85,215.19,77.67,146.22,145.52,146.22,144.9,144.93,142.56,143.65,142.56,142.56,142.56,142.56,142.56,142.56,106.92,107.45,106.92,107.11
45,Working Capital,-,1497,1493,1533,1490,1476,838.59,800.89,788.89,780.97,798.96,867.54,866.4,887.9,879.85,964.98,357.85,-,314.36,-
46,Book Value Per Share,7.31,7.31,19.74,10.59,10.47,10.71,9.99,9.57,9.52,9.15,8.93,8.79,8.52,8.29,8.06,8.28,5.56,-,4.60,4.40
47,Tangible Book Value,1522,1522,1483,1511,1485,1527,1408,1347,1317,1274,1233,1212,1174,1141,1108,1139,552.74,-,450.59,429.82
48,Tangible Book Value Per Share,7.07,7.07,19.09,10.33,10.21,10.44,9.72,9.30,9.24,8.87,8.65,8.50,8.23,8.00,7.77,7.99,5.17,-,4.21,4.01
49,Buildings,-,-,284.99,-,265.21,-,212.57,-,152.13,-,120.69,-,116.07,-,92.2,-,91.93,-,90.32,-
50,Machinery,-,-,389.31,-,382.1,-,261.36,-,140.75,-,128.3,-,118.08,-,86.04,-,80.06,-,57.95,-
51,Construction In Progress,-,-,2.63,-,2.61,-,117.68,-,260.04,-,143.43,-,110.73,-,72.68,-,60.21,-,35.55,-
