,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
9,Operating Expenses,443.41,26.5,36.12,29.71,65.87,50.36,41.99,32.77,93.84,54.61,41.42,40.86,71.6,23.73,25.62,14.45,10.6,10.63,5.52,5.52
10,Operating Income,26.24,16.24,5.89,8.69,-7.51,-0.39,1.23,8.3,-25,9.51,22,28.52,1.78,16.04,37.3,0.13,23.48,23.45,8.58,8.58
11,Interest Expense,-27.75,-1.58,-1.3,-1.36,-0.74,-0.66,-0.4,-0.09,-0.07,-0.04,-0.04,-0.04,-0.05,-0.06,-0.19,-0.31,-0.29,-0.29,-0.28,-0.28
12,Interest & Investment Income,4.24,8.26,11.67,7.82,12.05,10.32,10.55,6.2,9.08,9.05,7.65,4.34,2.82,1.71,0.9,0.8,0.36,0.36,0.21,0.21
13,Currency Exchange Gain (Loss),-,-0.11,0.11,-,1.9,-2,2,-,0.89,0.5,-0.5,-,0.15,-0.37,0.37,-,0.03,0.03,-0.01,-0.01
14,Other Non Operating Income (Expenses),0.6,0.07,-0.29,0.11,-0.85,1.74,-0.15,0.38,0.22,-0,-0.5,-0.72,-1.83,0.26,0.87,0.48,-0.01,0.05,-0.04,-0.04
15,EBT Excluding Unusual Items,3.32,22.88,16.07,15.27,4.85,9.02,13.23,14.8,-14.87,19.01,28.62,32.09,2.87,17.59,39.25,1.1,23.56,23.6,8.46,8.46
16,Gain (Loss) on Sale of Investments,-1.57,0.17,0.96,0.43,1.18,0.37,0.6,1.03,8.43,-0,-0.01,0.01,0.05,-,-,-,-0.04,-0.04,0.04,0.04
17,Gain (Loss) on Sale of Assets,0.01,-0,-0.01,-,-,-,-,-,-0,-0,-,-,0.01,-,-,-,-,-,-,-
18,Asset Writedown,4.92,-4.92,0.84,-0.84,6.28,-6.49,0,-0,-0,-0,-,-,-,-,-,-,-,-,-,-
19,Other Unusual Items,-0.61,-5.37,5.99,-,12.47,-0.65,0.65,-,9.35,-0.11,0.11,-,3.9,-0.04,0.04,-,1.37,1.34,0.21,0.21
20,Pretax Income,6.07,12.76,23.85,14.85,24.78,2.24,14.48,15.83,2.9,18.9,28.71,32.1,6.83,17.55,39.29,1.1,24.9,24.9,8.71,8.71
21,Income Tax Expense,-7.28,0.84,4.03,-0.29,6.36,-3.73,-4.49,0.74,-16.92,-1.33,3.2,6.64,-11.67,0.43,-1.93,-0.75,-0.34,-0.34,-,-
22,Net Income,13.35,11.92,19.82,15.14,18.42,5.97,18.96,15.09,19.82,20.23,25.52,25.46,18.49,17.12,41.22,1.85,25.24,25.24,8.71,8.71
23,Net Income to Common,13.35,11.92,19.82,15.14,18.42,5.97,18.96,15.09,19.82,20.23,25.52,25.46,18.49,17.12,41.22,1.85,25.24,25.24,8.71,8.71
24,Net Income Growth,-27.51%,99.57%,4.54%,0.36%,-7.07%,-70.48%,-25.68%,-40.73%,7.15%,18.18%,-38.10%,1274.56%,-26.73%,-32.18%,373.35%,-78.73%,-,-,-,-
25,Shares Outstanding (Basic),111,109,114,112,112,109,116,111,114,109,114,102,84,85,81,87,84,84,84,84
26,Shares Outstanding (Diluted),111,109,114,112,112,109,116,111,114,109,114,102,84,85,81,87,84,84,84,84
27,Shares Change (YoY),-0.71%,0.07%,-1.57%,0.36%,-1.95%,0.37%,1.21%,9.20%,36.79%,27.58%,41.33%,17.66%,-0.70%,1.36%,-3.73%,2.90%,-,-,-,-
28,EPS (Basic),0.12,0.11,0.17,0.14,0.16,0.05,0.16,0.14,0.17,0.19,0.22,0.25,0.22,0.20,0.51,0.02,0.30,0.30,0.10,0.10
29,EPS (Diluted),0.12,0.11,0.17,0.14,0.16,0.05,0.16,0.14,0.17,0.19,0.22,0.25,0.22,0.20,0.51,0.02,0.30,0.30,0.10,0.10
30,EPS Growth,-26.99%,99.43%,6.21%,0%,-5.23%,-70.59%,-26.57%,-45.72%,-21.66%,-7.36%,-56.20%,1068.22%,-26.22%,-33.09%,391.67%,-79.33%,-,-,-,-
31,Free Cash Flow,-,-89.16,-17.26,-88.26,78.64,-26.17,18.3,46.98,133.93,-120.67,-204.08,-7.32,93.42,-27.19,132.38,119.89,-7.38,-7.38,0.45,0.45
32,Free Cash Flow Per Share,-,-0.82,-0.15,-0.79,0.70,-0.24,0.16,0.42,1.17,-1.11,-1.78,-0.07,1.12,-0.32,1.63,1.39,-0.09,-0.09,0.01,0.01
33,Dividend Per Share,-,-,0.150,-,0.186,-,-,-,0.250,-,-,-,0.214,-,-,-,-,-,-,-
34,Dividend Growth,-,-,-,-,-25.72%,-,-,-,16.66%,-,-,-,-,-,-,-,-,-,-,-
35,Gross Margin,284.35%,29.98%,25.93%,31.22%,28.22%,31.54%,28.15%,28.86%,26.89%,31.97%,25.91%,30.12%,24.63%,22.90%,50.33%,33.06%,54.16%,54.16%,33.72%,33.72%
36,Operating Margin,15.88%,11.39%,3.63%,7.07%,-3.63%,-0.25%,0.80%,5.84%,-9.77%,4.74%,8.99%,12.38%,0.60%,9.24%,29.83%,0.29%,37.31%,37.26%,20.52%,20.52%
37,Profit Margin,8.08%,8.36%,12.24%,12.31%,8.90%,3.77%,12.35%,10.60%,7.74%,10.09%,10.43%,11.05%,6.21%,9.86%,32.97%,4.20%,40.11%,40.11%,20.82%,20.82%
38,Free Cash Flow Margin,-,-62.52%,-10.65%,-71.74%,38.02%,-16.52%,11.92%,33.02%,52.31%,-60.16%,-83.38%,-3.18%,31.37%,-15.66%,105.88%,271.80%,-11.73%,-11.73%,1.08%,1.08%
39,EBITDA,45.08,35.08,16.7,27.53,11.33,11.71,17.24,20.41,-12.9,14.29,31.68,33.3,6.55,16.97,39.97,1.06,24.8,24.77,9.12,9.12
40,EBITDA Margin,27.29%,24.60%,10.31%,22.38%,5.48%,7.39%,11.23%,14.34%,-5.04%,7.12%,12.94%,14.45%,2.20%,9.77%,31.97%,2.39%,39.40%,39.36%,21.79%,21.79%
41,D&A For EBITDA,18.84,18.84,10.81,18.84,18.84,12.1,16.01,12.1,12.1,4.78,9.68,4.78,4.78,0.93,2.67,0.93,1.32,1.32,0.53,0.53
42,EBIT,26.24,16.24,5.89,8.69,-7.51,-0.39,1.23,8.3,-25,9.51,22,28.52,1.78,16.04,37.3,0.13,23.48,23.45,8.58,8.58
43,EBIT Margin,15.88%,11.39%,3.63%,7.07%,-3.63%,-0.25%,0.80%,5.84%,-9.77%,4.74%,8.99%,12.38%,0.60%,9.24%,29.83%,0.29%,37.31%,37.26%,20.52%,20.52%
44,Effective Tax Rate,-,6.59%,16.89%,-,25.68%,-,-,4.66%,-,-,11.14%,20.70%,-,2.43%,-,-,-,-,-,-
45,Revenue as Reported,-,142.6,162.01,123.02,206.81,158.45,153.54,142.3,256,200.6,244.75,230.38,297.86,173.67,125.03,44.11,62.93,62.93,41.83,41.83
