,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
11,Interest Expense,-28.34,-1.1,-1.82,-1.99,-2.13,-1.5,-,-0.14,-0.22,-,-,-0.06,-0.05,-,-,-,-,-,-,-
12,Interest & Investment Income,4.91,9.49,8.73,10.12,12.45,12.36,12.71,10,4.26,4.74,4.12,5.58,7.52,3.57,2.1,1.64,1.55,1.53,1.64,1.33
13,Currency Exchange Gain (Loss),-,1.16,-1.16,-,13.57,-19.31,19.31,-,16.91,-5.46,5.46,-,-18.74,8.96,-8.96,-,-10.01,-4.31,4.31,-
14,Other Non Operating Income (Expenses),9.13,-8.7,-0.98,-0.17,-18.76,17.61,1.78,-2.6,-23.73,21.53,6.58,-5.64,9.89,-10.29,3.63,-4.15,-0.4,0.49,-2.85,2.3
15,EBT Excluding Unusual Items,144.02,127.48,127.02,105.53,80.71,110.12,102.08,78.35,47.05,74.52,67.03,85.1,50.18,65.31,62.43,65.11,60.54,41.23,40.79,41.84
16,Impairment of Goodwill,-,0.09,-0.09,-,-0.24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Investments,3.39,-0.91,-0.29,-2.2,-0.31,-1.55,-2.11,-1.47,5.8,-5.62,-3.19,0.42,1.25,-,-,-,-,-,-,-
18,Gain (Loss) on Sale of Assets,-0.25,0.24,0.01,-0,-0.16,-0.04,-0,0.16,-1.22,0.14,-0.01,0.05,-0.06,-0.02,-0.34,-,0.09,-0.58,0,-0
19,Asset Writedown,1.19,-1.19,0.12,-0.12,0.47,-0.47,-,-,-2.98,2.98,-0.53,0.53,0.3,-0.3,0.21,-0.21,1.67,-1.66,0.09,-0.1
20,Other Unusual Items,-13.41,3.51,9.92,-0.02,14.41,-,-,-,12.18,-,-,-,18.28,-,-,-,11.39,-0.37,0.37,-
21,Pretax Income,134.94,129.22,136.69,103.19,94.88,108.05,99.96,77.04,60.83,72.01,63.29,86.1,69.96,64.99,62.3,64.9,73.7,38.6,41.26,41.73
22,Income Tax Expense,35.91,15.7,18.91,13.36,9.65,12.81,12.16,9.44,1.74,6.41,11.36,12.11,6.15,8.72,10.3,9.01,8.69,4.6,5.17,5.72
23,Earnings From Continuing Operations,99.03,113.52,117.78,89.83,85.23,95.24,87.81,67.6,59.1,65.6,51.93,73.98,63.81,56.27,51.99,55.89,65.01,34.01,36.09,36.01
24,Minority Interest in Earnings,11.11,-3.68,-4.13,-3.31,0.65,-3.65,-4.14,-3.48,-2.48,-2.26,-1.85,-0.99,-0.28,-0.9,-0.19,0,0.06,-,-,-
25,Net Income,110.15,109.84,113.65,86.52,85.88,91.59,83.67,64.12,56.61,63.34,50.09,72.99,63.53,55.37,51.81,55.89,65.07,34.01,36.09,36.01
26,Net Income to Common,110.15,109.84,113.65,86.52,85.88,91.59,83.67,64.12,56.61,63.34,50.09,72.99,63.53,55.37,51.81,55.89,65.07,34.01,36.09,36.01
27,Net Income Growth,28.25%,19.92%,35.83%,34.95%,51.70%,44.60%,67.05%,-12.16%,-10.89%,14.39%,-3.33%,30.60%,-2.36%,62.83%,43.55%,55.19%,-,-,-,-
28,Shares Outstanding (Basic),181,177,178,179,179,182,173,177,162,165,164,164,164,151,123,123,123,124,122,124
29,Shares Outstanding (Diluted),181,177,178,179,179,182,173,177,162,165,164,164,164,151,123,123,123,124,122,124
30,Shares Change (YoY),1.02%,-2.80%,3.20%,1.21%,10.22%,10.63%,5.25%,7.69%,-0.92%,9.10%,33.33%,33.33%,32.78%,21.45%,0.96%,-0.23%,-,-,-,-
31,EPS (Basic),0.61,0.62,0.64,0.48,0.48,0.50,0.48,0.36,0.35,0.38,0.31,0.44,0.39,0.37,0.42,0.45,0.53,0.27,0.30,0.29
32,EPS (Diluted),0.61,0.62,0.64,0.48,0.48,0.50,0.48,0.36,0.35,0.38,0.31,0.44,0.39,0.37,0.42,0.45,0.53,0.27,0.30,0.29
33,EPS Growth,26.96%,23.37%,31.63%,33.33%,37.63%,30.70%,58.72%,-18.43%,-10.06%,4.85%,-27.49%,-2.05%,-26.47%,34.07%,42.18%,55.56%,-,-,-,-
34,Free Cash Flow,-,13.29,-39.94,-32.49,-121.49,-0.05,-70.2,-54.44,116.33,-45.52,6.25,-48.53,-6.47,-45.76,61.36,-20.72,63.41,44.02,29.48,-48.12
35,Free Cash Flow Per Share,-,0.07,-0.22,-0.18,-0.68,-0.00,-0.41,-0.31,0.72,-0.28,0.04,-0.30,-0.04,-0.30,0.50,-0.17,0.51,0.35,0.24,-0.39
36,Dividend Per Share,-,-,0.200,-,0.336,-,-,-,0.417,-,-,-,0.042,-,-,-,-,-,-,-
37,Dividend Growth,-,-,-,-,-19.44%,-,-,-,899.04%,-,-,-,-,-,-,-,-,-,-,-
38,Gross Margin,227.20%,48.82%,44.75%,45.63%,39.88%,50.90%,44.99%,47.56%,46.38%,46.47%,47.06%,45.39%,38.09%,47.03%,41.59%,40.78%,39.51%,43.99%,42.13%,42.61%
39,Operating Margin,29.73%,28.21%,27.32%,26.48%,20.11%,31.29%,24.67%,25.13%,25.25%,22.84%,27.32%,30.89%,21.47%,25.49%,27.94%,30.66%,24.96%,29.69%,23.18%,29.70%
40,Profit Margin,20.68%,24.47%,25.40%,23.48%,22.85%,28.38%,30.24%,22.66%,28.68%,26.94%,26.90%,26.46%,26.45%,22.38%,22.05%,25.34%,23.40%,23.20%,22.20%,27.99%
41,Free Cash Flow Margin,-,2.96%,-8.93%,-8.82%,-32.33%,-0.02%,-25.37%,-19.24%,58.94%,-19.36%,3.36%,-17.59%,-2.69%,-18.50%,26.11%,-9.39%,22.81%,30.03%,18.13%,-37.40%
42,EBITDA,166.98,135.3,131.51,106.23,84.25,105.69,75.7,75.83,54.57,58.47,55.61,89.97,56.33,66.84,69.06,71.4,73.18,45.93,41.25,40.63
43,EBITDA Margin,31.36%,30.14%,29.39%,28.83%,22.42%,32.75%,27.36%,26.80%,27.65%,24.87%,29.86%,32.62%,23.45%,27.02%,29.39%,32.37%,26.32%,31.33%,25.37%,31.58%
44,D&A For EBITDA,8.67,8.67,9.26,8.67,8.67,4.74,7.43,4.74,4.74,4.76,4.74,4.76,4.76,3.78,3.4,3.78,3.78,2.41,3.56,2.41
45,EBIT,158.31,126.64,122.24,97.57,75.58,100.95,68.27,71.09,49.83,53.71,50.86,85.21,51.57,63.06,65.66,67.62,69.4,43.52,37.69,38.22
46,EBIT Margin,29.73%,28.21%,27.32%,26.48%,20.11%,31.29%,24.67%,25.13%,25.25%,22.84%,27.32%,30.89%,21.47%,25.49%,27.94%,30.66%,24.96%,29.69%,23.18%,29.70%
47,Effective Tax Rate,26.61%,12.15%,13.84%,12.95%,10.17%,11.86%,12.16%,12.25%,2.85%,8.90%,17.95%,14.07%,8.79%,13.42%,16.54%,13.88%,11.80%,11.91%,12.53%,13.70%
48,Revenue as Reported,-,448.93,447.47,368.49,375.82,322.68,276.71,282.95,197.38,235.15,186.2,275.81,240.16,247.39,235,220.56,278.03,146.59,162.58,128.66
