,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
28,Total Liabilities,396.14,353.22,353.48,294.67,244.77,208.29,209.98,214.2,-,217.59,-,269.19,269.19,-,-,338.5
29,Common Stock,80,80,80,80,80,80,80,80,-,80,-,60,60,-,-,60
30,Additional Paid-In Capital,548.39,548.39,548.39,548.39,548.39,548.39,548.39,548.39,-,548.39,-,164.9,164.9,-,-,164.9
31,Retained Earnings,210.42,194.69,178.11,170.24,188.34,194.67,208.32,212.88,-,219.09,-,195.17,195.17,-,-,126.03
32,Shareholders' Equity,838.81,823.08,806.5,798.63,816.73,823.06,836.72,841.27,-,847.48,420.07,420.07,420.07,-,350.93,350.93
33,Total Liabilities & Equity,1235,1176,1160,1093,1061,1031,1047,1055,-,1065,-,689.26,689.26,-,-,689.42
34,Total Debt,116.84,67.96,56.83,44.67,42.35,22.38,32.5,32.8,-,33.36,62.18,62.18,62.18,-,31.52,31.52
35,Net Cash (Debt),224.93,284.95,302.3,325.22,346.66,365.4,394.15,412.09,-,430.86,-12.78,-12.78,-12.78,-,12.94,12.94
36,Net Cash Growth,-35.11%,-22.02%,-23.31%,-21.08%,-,-15.19%,-,-,-,-,-,-,-,-,-,-
37,Net Cash Per Share,2.70,3.61,3.84,4.15,4.41,4.16,5.37,8.83,-,6.57,-0.21,-0.21,-0.21,-,0.21,0.22
38,Filing Date Shares Outstanding,80,80,80,80,80,80,80,80,114.12,80,60.29,60,59.89,60.35,60.35,60
39,Total Common Shares Outstanding,80,80,80,80,80,80,80,80,114.12,80,60.29,60,59.89,60.35,60.35,60
40,Working Capital,482.33,476.2,484.76,484.26,537.54,542.83,562.62,565.04,-,571.78,-,147.5,147.5,-,-,102.41
41,Book Value Per Share,10.49,10.29,10.08,9.98,10.21,10.29,10.46,10.52,-,10.59,7.00,7.00,7.01,-,5.85,5.85
42,Tangible Book Value,834.78,819.01,802.44,794.53,812.59,818.87,832.47,836.98,-,843.08,415.59,415.59,415.59,-,346.56,346.56
43,Tangible Book Value Per Share,10.43,10.24,10.03,9.93,10.16,10.24,10.41,10.46,-,10.54,6.93,6.93,6.94,-,5.78,5.78
44,Buildings,-,19.18,-,19.18,-,19.18,-,19.18,-,19.18,-,19.18,19.18,-,-,19.18
45,Machinery,-,442.04,-,388.05,-,374.61,-,376.21,-,363.63,-,344.74,344.74,-,-,301.74
46,Construction In Progress,-,22.72,-,25.34,-,3.02,-,4.54,-,6.07,-,11.12,11.12,-,-,14.36
