,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
19,Inventory Turnover,1.06,1.10,0.88,0.89,1.26,1.13,0.98,0.72,1.39,1.07,0.78,0.68,1.31,0.93,0.84,1.03,-,-,-,-
20,Quick Ratio,1.34,1.34,1.41,1.68,2.02,2.24,3.16,2.33,2.70,2.98,3.94,1.89,1.87,2.16,2.33,3.92,3.79,-,1.66,-
21,Current Ratio,2.33,2.33,2.61,2.89,3.19,3.40,4.67,3.48,3.77,4.09,5.38,3.02,2.78,3.20,3.32,5.38,5.21,-,2.81,-
22,Return on Equity (ROE),0.45%,-0.65%,2.79%,3.42%,4.84%,4.85%,-1.21%,9.24%,8.79%,-0.74%,3.83%,4.61%,9.56%,6.93%,16.60%,-,-,36.90%,-,
23,Return on Assets (ROA),2.48%,-0.18%,1.43%,-0.11%,2.23%,1.89%,-0.22%,2.57%,3.90%,-0.71%,1.48%,-0.81%,4.88%,4.37%,8.86%,-,-,-,-,
24,Return on Capital (ROIC),2.97%,-0.22%,1.70%,-0.13%,2.60%,2.19%,-0.26%,2.99%,4.46%,-0.81%,1.76%,-0.97%,5.74%,5.12%,10.66%,-,-,23.38%,-,
25,Return on Capital Employed (ROCE),1.79%,1.87%,-,2.53%,-,3.08%,3.83%,-,3.38%,1.81%,-,4.64%,-,11.42%,13.45%,14.17%,13.36%,-,13.78%,-
26,Earnings Yield,1.09%,1.26%,2.28%,2.72%,1.52%,1.86%,2.62%,1.77%,2.04%,2.23%,1.93%,2.81%,2.71%,4.56%,3.78%,5.01%,4.04%,-,-,-
27,FCF Yield,-14.46%,-16.67%,-22.58%,-13.54%,-9.87%,-8.08%,-8.24%,-6.15%,-4.01%,-6.09%,-5.39%,-6.53%,-2.06%,-2.07%,-2.57%,-1.71%,-1.63%,-,-,-
28,Dividend Yield,0.00%,-,-,-,-,-,-,-,0.34%,-,-,-,0.85%,-,-,-,2.32%,-,-,-
29,Payout Ratio,32.92%,162.74%,-,11.33%,9.90%,81.11%,23.34%,-,4.77%,-,-,23.12%,36.68%,4.71%,409.44%,0.32%,1.03%,0.44%,0.55%,2.26%
30,Buyback Yield / Dilution,-2.65%,12.26%,-18.90%,13.96%,-19.89%,8.11%,17.80%,-10.88%,1.54%,12.27%,-5.38%,-4.12%,-20.56%,-34.86%,-32.53%,-33.34%,-,-,-,-
31,Total Shareholder Return,-2.65%,12.26%,-18.90%,13.96%,-19.89%,8.11%,17.80%,-10.88%,1.88%,12.27%,-5.38%,-4.12%,-19.72%,-34.86%,-32.53%,-33.34%,2.32%,-,-,-
