,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
10,Total Current Assets,-,1159,1255,1381,1559,1592,1661,1756,1874,530.12,592.07,-,804.07,-,814.98,814.98
11,"Property, Plant & Equipment",-,181.26,183.37,166.84,136.04,67.88,63.45,62.54,54.31,58.78,46.21,-,46.64,-,37,37
12,Long-Term Investments,-,35.33,35.22,27.01,27.01,12,12,-,-,-,-,-,-,-,-,-
13,Other Intangible Assets,-,45.58,19.88,31.27,21.87,0.66,0.15,0.17,0.19,0.2,0.12,-,0.15,-,0.18,0.18
14,Long-Term Deferred Charges,-,0.62,18.91,1.03,1.08,15.17,5.19,2.57,3.01,3.56,4.12,-,2.93,-,3.37,3.37
15,Other Long-Term Assets,-,10,10,18.05,47.83,-,-,4,16.28,-,0.03,-,-,-,-,-
16,Total Assets,-,1432,1522,1625,1793,1688,1741,1825,1947,592.66,642.55,-,853.79,-,855.53,855.53
17,Accounts Payable,-,74.62,68.73,72.91,86.84,39.51,38.49,41.27,46,31.43,33.13,-,37.94,-,26.12,26.12
18,Accrued Expenses,-,13.13,36.85,11.2,89.77,12.08,30.83,10.86,84.98,12.3,8.95,-,76.16,-,17.12,17.12
19,Short-Term Debt,-,58.04,38.02,55.5,55.55,67.5,42.5,30,-,-,-,-,-,-,-,-
20,Current Portion of Leases,-,17.3,18.32,17.95,14.9,10.31,13.99,17.88,20.08,19.45,-,-,12.3,-,14.64,14.64
21,Current Income Taxes Payable,-,18.99,-,16.17,-,15.21,-,15,-,14.69,14.85,-,-,-,-,-
22,Current Unearned Revenue,-,38.63,36.87,34.94,38.45,32.44,29.27,34.21,22.58,52.3,47.42,-,50.53,-,43.46,43.46
23,Other Current Liabilities,-,1.74,8.14,1.21,9.06,2.3,8.03,2.65,11.1,1.99,16.8,-,8.71,-,8.57,8.57
24,Total Current Liabilities,-,222.44,206.92,209.88,294.56,179.35,163.11,151.87,184.74,132.17,121.15,-,185.64,-,109.92,109.92
25,Long-Term Leases,-,19.97,25.52,24.67,24.06,9.85,11.1,13.39,15.55,20.85,20.04,-,18.25,-,7.82,7.82
26,Long-Term Unearned Revenue,-,6.32,7.19,8.54,10.26,17.4,19.37,20.73,22.69,20.72,24.07,-,19.67,-,23.27,23.27
27,Other Long-Term Liabilities,-,25.66,25.65,24.23,24.15,17.54,15.58,14.54,15.66,13.43,13.88,-,13.71,-,13.41,13.41
28,Total Liabilities,-,274.39,265.28,267.31,353.03,224.13,209.16,200.52,238.64,187.17,179.13,-,237.27,-,154.42,154.42
29,Common Stock,-,120.84,120.84,120.84,120.84,120.84,120.84,120.84,120.84,90.63,90.63,-,90.63,-,90.63,90.63
30,Additional Paid-In Capital,-,2309,2307,2305,2298,2302,2291,2280,2278,958.31,955.86,-,943.39,-,930.26,930.26
31,Retained Earnings,-,-1269,-1167,-1064,-975.76,-956.26,-877.04,-772.97,-687.52,-641.72,-581.4,-,-416.17,-,-319.67,-319.67
32,Comprehensive Income & Other,-,-,-,-,-,-,-,-,-,0.62,0.49,-,0.31,-,0.2,0.2
33,Total Common Equity,1161,1161,1261,1361,1443,1467,1535,1628,1711,407.84,465.59,618.16,618.16,-,701.42,701.42
34,Minority Interest,-,-4,-3.88,-3.67,-3.47,-3.23,-2.9,-2.72,-2.54,-2.36,-2.16,-,-1.64,-,-0.31,-0.31
35,Shareholders' Equity,1157,1157,1257,1358,1440,1464,1532,1625,1709,405.49,463.42,616.52,616.52,-,701.11,701.11
36,Total Liabilities & Equity,-,1432,1522,1625,1793,1688,1741,1825,1947,592.66,642.55,-,853.79,-,855.53,855.53
37,Total Debt,95.31,95.31,81.86,98.12,94.5,87.67,67.6,61.27,35.62,40.3,20.04,30.55,30.55,-,22.46,22.46
38,Net Cash (Debt),525.22,525.22,685.48,701.6,985.34,1100,1254,1371,1509,209.11,305.73,514,514,-,600.2,600.2
39,Net Cash Growth,-46.70%,-52.26%,-45.36%,-48.84%,-34.68%,426.08%,310.32%,166.81%,193.50%,-,-49.06%,-14.36%,-,-,-,-
40,Net Cash Per Share,4.35,4.34,5.69,5.78,8.26,9.04,10.36,11.40,13.66,2.32,3.35,5.70,5.64,-,6.64,6.64
41,Filing Date Shares Outstanding,120.72,120.84,120.84,120.84,120.84,120.84,120.84,120.84,120.84,90.63,90.63,90.22,90.63,90.64,90.63,90.63
42,Total Common Shares Outstanding,120.72,120.84,120.84,120.84,120.84,120.84,120.84,120.84,120.84,90.63,90.63,90.22,90.63,90.64,90.63,90.63
43,Working Capital,-,936.38,1048,1171,1264,1413,1497,1604,1689,397.95,470.92,-,618.43,-,705.06,705.06
44,Book Value Per Share,9.61,9.61,10.43,11.27,11.94,12.14,12.70,13.47,14.16,4.50,5.14,6.82,6.82,-,7.74,7.74
45,Tangible Book Value,1116,1116,1241,1330,1421,1466,1535,1627,1711,407.64,465.46,618.01,618.01,-,701.25,701.25
46,Tangible Book Value Per Share,9.23,9.23,10.27,11.01,11.76,12.13,12.70,13.47,14.16,4.50,5.14,6.82,6.82,-,7.74,7.74
47,Machinery,-,-,194.65,-,140.11,-,81.5,-,57.34,-,-,-,45.9,-,41.51,41.51
48,Construction In Progress,-,-,-,-,3.66,-,-,-,-,-,-,-,1.09,-,-,-
