,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q4 2019
28,EPS (Diluted),0.12,0.21,0.18,0.19,0.23,0.23,0.29,0.23,0.26,0.27,0.23,0.13,0.16,0.17,0.18,0.16,0.16,0.06
29,EPS Growth,-47.08%,-8.44%,-37.63%,-17.39%,-12.04%,-14.18%,23.96%,80.39%,68.04%,59.25%,28.59%,-20.86%,-5.07%,159.58%,-,-,-,-
30,Free Cash Flow,-,0.88,30.34,12.25,73.64,7.69,24.59,-20.85,3.38,12.65,2.17,-5.53,28.54,-3.59,6.07,-1.5,27.63,12.54
31,Free Cash Flow Per Share,-,0.01,0.19,0.08,0.47,0.05,0.15,-0.13,0.02,0.08,0.01,-0.04,0.22,-0.03,0.05,-0.01,0.23,0.11
32,Dividend Per Share,-,-,-,-,0.880,-,-,-,0.571,-,-,-,0.315,-,-,-,-,-
33,Dividend Growth,-,-,-,-,54.25%,-,-,-,81.34%,-,-,-,-,-,-,-,-,-
34,Gross Margin,193.95%,62.08%,61.20%,63.10%,59.80%,62.85%,62.45%,59.17%,55.53%,59.84%,56.64%,55.54%,56.13%,56.56%,56.95%,56.16%,56.38%,54.05%
35,Operating Margin,33.89%,22.58%,15.92%,25.01%,15.20%,27.77%,33.40%,27.80%,7.81%,38.45%,31.27%,18.82%,18.16%,32.84%,35.39%,30.78%,25.18%,6.19%
36,Profit Margin,13.85%,25.37%,23.41%,29.25%,27.08%,31.10%,35.82%,35.10%,30.84%,42.61%,37.99%,29.52%,21.58%,27.27%,31.05%,28.79%,24.40%,13.02%
37,Free Cash Flow Margin,-,0.67%,25.30%,11.80%,55.03%,6.72%,18.53%,-20.41%,2.59%,12.25%,2.26%,-8.15%,29.91%,-4.91%,8.68%,-2.30%,34.53%,21.20%
38,EBITDA,50.24,31.28,21.45,27.69,22.07,32.72,45.82,29.33,11.12,40.28,30.81,13.35,17.9,24.49,25.27,20.61,20.65,3.95
39,EBITDA Margin,35.10%,23.90%,17.89%,26.67%,16.49%,28.57%,34.53%,28.70%,8.52%,39.00%,32.08%,19.65%,18.76%,33.52%,36.09%,31.54%,25.80%,6.68%
40,D&A For EBITDA,1.73,1.73,2.35,1.73,1.73,0.93,1.51,0.93,0.93,0.57,0.78,0.57,0.57,0.5,0.49,0.5,0.5,0.29
41,EBIT,48.51,29.56,19.09,25.97,20.34,31.8,44.32,28.4,10.19,39.71,30.03,12.78,17.33,24,24.78,20.11,20.15,3.66
42,EBIT Margin,33.89%,22.58%,15.92%,25.01%,15.20%,27.77%,33.40%,27.80%,7.81%,38.45%,31.27%,18.82%,18.16%,32.84%,35.39%,30.78%,25.18%,6.19%
43,Effective Tax Rate,-,8.71%,9.43%,9.89%,3.78%,9.65%,10.30%,8.16%,3.92%,8.73%,11.71%,7.99%,12.38%,12.60%,9.95%,5.89%,12.15%,5.50%
44,Revenue as Reported,-,130.89,119.91,103.84,133.82,114.53,132.69,102.19,130.5,103.27,96.03,67.91,95.41,73.07,70.02,65.33,220.8,-
