,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q4 2019
14,Total Assets,-,1635,1598,1721,1663,1613,1586,1621,1600,1552,1479,1473,1470,-,270.43,-,214.33,151.33
15,Accounts Payable,-,52.6,36.85,39.81,36.34,36.58,44.66,46.94,44.15,47.59,43.48,29.85,39,-,41.61,-,28.76,24.09
16,Accrued Expenses,-,10.49,12.61,26.94,30.74,9.65,10.82,7.97,25.03,7.1,7.56,4.33,16.71,-,7.29,-,12.78,14.64
17,Current Portion of Leases,-,9.38,9.11,11.26,5.86,7.28,6.55,7.48,6.36,6.18,3.58,3.85,3.67,-,3.49,-,-,-
18,Current Income Taxes Payable,-,4.35,4.26,5.86,4.81,7.99,5.76,6.68,12.17,17.06,9.6,7.17,4.57,-,4.9,-,4,0.96
19,Current Unearned Revenue,-,7.54,8.39,8.09,7.06,7.06,4.67,11.26,4.17,4.58,4.48,3.88,3.69,-,4.06,-,5.17,2.03
20,Other Current Liabilities,-,6.09,14.65,5.5,2.28,1.14,11.59,0.79,1.2,1.12,0.99,0.95,0.45,-,0.52,-,0.59,0.94
21,Total Current Liabilities,-,90.47,85.86,97.47,87.1,69.69,84.05,81.12,93.07,83.62,69.7,50.02,68.1,-,61.87,-,51.28,42.67
22,Long-Term Leases,-,24.25,24.43,26.23,9.13,9.44,11.81,12.42,15.15,16.46,5.99,6.6,5.57,-,4.76,-,-,-
23,Long-Term Unearned Revenue,-,6.05,6.62,4.16,4.56,5.27,5.89,3.45,4.18,5.22,4.41,4.73,4.7,-,3.28,-,2.83,1.42
24,Total Liabilities,-,120.77,116.91,127.85,100.79,84.4,101.76,96.98,112.4,105.3,80.09,61.35,78.37,-,69.91,-,54.11,44.09
25,Common Stock,-,159.2,159.2,159.2,159.2,159.2,158.93,106.67,106.67,106.67,106.67,106.67,106.67,-,80,-,80,80
26,Additional Paid-In Capital,-,1097,1097,1096,1096,1098,1089,1140,1139,1137,1136,1136,1136,-,11.99,-,11.99,11.99
27,Retained Earnings,-,256.83,223.62,335.65,305.28,269.04,233.42,276.55,240.68,200.44,156.44,169.96,149.91,-,109.4,-,68.85,15.14
28,Comprehensive Income & Other,-,1.27,2.09,1.91,1.83,2.41,2.54,1.13,1.54,1.89,0.18,-1.4,-1.26,-,-0.87,-,-0.63,0.11
29,Shareholders' Equity,1514,1514,1481,1593,1562,1528,1484,1524,1487,1446,1399,1411,1391,-,200.52,160.22,160.22,107.24
30,Total Liabilities & Equity,-,1635,1598,1721,1663,1613,1586,1621,1600,1552,1479,1473,1470,-,270.43,-,214.33,151.33
31,Total Debt,33.64,33.64,33.54,37.49,15,16.71,18.36,19.89,21.51,22.63,9.56,10.45,9.25,-,8.25,-,-,-
32,Net Cash (Debt),1147,1147,1144,1285,1293,1209,1191,1245,1257,1240,1228,1270,1272,-,104.71,110.25,110.25,60.14
33,Net Cash Growth,-11.29%,-5.08%,-3.97%,3.21%,2.87%,-2.52%,-3.04%,-1.97%,-1.19%,-,1072.99%,1051.66%,1054.07%,-,-,-,-,-
34,Net Cash Per Share,7.04,7.25,7.33,8.04,8.20,7.78,7.22,7.98,8.16,7.53,7.83,8.08,9.61,-,0.87,0.94,0.92,0.50
35,Filing Date Shares Outstanding,162.97,159.2,159.2,159.2,159.2,159.2,158.93,158.93,158.93,158.93,158.93,158.93,158.93,119.2,119.2,116.75,119.2,119.2
36,Total Common Shares Outstanding,162.97,159.2,159.2,159.2,159.2,159.2,158.93,158.93,158.93,158.93,158.93,158.93,158.93,119.2,119.2,116.75,119.2,119.2
37,Working Capital,-,1444,1421,1538,1514,1481,1440,1481,1450,1419,1380,1396,1378,-,188.14,-,153.63,99.08
38,Book Value Per Share,9.51,9.51,9.31,10.01,9.81,9.60,9.34,9.59,9.36,9.10,8.80,8.88,8.75,-,1.68,1.34,1.34,0.90
39,Tangible Book Value,1513,1513,1480,1593,1562,1528,1484,1524,1487,1446,1399,1411,1391,-,200.34,159.97,159.97,107.01
40,Tangible Book Value Per Share,9.51,9.51,9.30,10.01,9.81,9.60,9.34,9.59,9.36,9.10,8.80,8.88,8.75,-,1.68,1.34,1.34,0.90
41,Machinery,-,-,57.4,-,49.99,-,40.67,-,30.4,-,24.03,-,18.67,-,14.8,-,12.5,10.42
