,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
31,Free Cash Flow,-69.11,7.29,-10.81,-21.44,2.97,-10.35,-40.91,12.13,-14.25,27.55,12.13
32,Free Cash Flow Per Share,-0.63,0.07,-0.09,-0.18,0.03,-0.09,-0.43,0.14,-0.17,0.33,0.14
33,Dividend Per Share,-,-,-,0.125,-,-,-,0.520,-,-,-
34,Dividend Growth,-,-,-,-75.96%,-,-,-,-,-,-,-
35,Gross Margin,30.56%,25.14%,26.01%,24.02%,29.83%,29.24%,29.53%,25.94%,30.68%,30.05%,29.31%
36,Operating Margin,16.19%,10.82%,8.40%,6.44%,14.29%,10.81%,12.27%,11.63%,14.50%,20.48%,20.74%
37,Profit Margin,10.82%,9.84%,6.09%,7.44%,11.49%,11.80%,8.85%,14.23%,10.95%,17.48%,15.54%
38,Free Cash Flow Margin,-41.88%,4.84%,-7.85%,-14.41%,2.30%,-9.64%,-38.81%,9.63%,-11.37%,28.76%,11.85%
39,EBITDA,34.34,25.41,19.2,17.21,25.17,18.76,19.68,21.41,23.18,26.19,26.25
40,EBITDA Margin,20.81%,16.89%,13.93%,11.56%,19.52%,17.48%,18.67%,16.99%,18.51%,27.35%,25.64%
41,D&A For EBITDA,7.62,9.13,7.62,7.62,6.75,7.16,6.75,6.75,5.02,6.57,5.02
42,EBIT,26.72,16.28,11.57,9.58,18.42,11.61,12.93,14.66,18.17,19.62,21.23
43,EBIT Margin,16.19%,10.82%,8.40%,6.44%,14.29%,10.81%,12.27%,11.63%,14.50%,20.48%,20.74%
44,Effective Tax Rate,16.54%,8.30%,21.22%,16.19%,15.43%,8.52%,23.42%,15.60%,12.65%,15.13%,19.13%
45,Revenue as Reported,165.03,150.42,137.8,148.78,128.91,107.35,105.43,126.04,125.26,95.77,102.38
