,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
34,Gross Margin,17.20%,22.39%,15.74%,12.43%,19.00%,21.40%,15.16%,13.10%,11.75%,17.44%,12.83%,14.33%,13.74%,18.83%,18.75%,24.53%,25.74%,23.84%,23.84%,48.79%
35,Operating Margin,5.79%,12.49%,7.35%,4.86%,9.26%,10.05%,5.77%,-0.69%,3.76%,10.95%,7.01%,1.02%,8.35%,13.52%,10.49%,13.90%,21.33%,14.69%,14.69%,16.64%
36,Profit Margin,5.58%,13.06%,8.81%,6.78%,9.54%,10.53%,7.27%,4.98%,5.94%,11.39%,7.95%,6.44%,6.87%,11.64%,9.80%,15.05%,17.11%,13.22%,13.22%,19.12%
37,Free Cash Flow Margin,18.14%,31.18%,28.52%,29.72%,-12.42%,4.65%,-5.38%,3.11%,-53.32%,-6.90%,7.11%,9.31%,-4.53%,-0.07%,-12.85%,-8.64%,3.23%,5.94%,5.94%,-
38,EBITDA,22.49,37.96,27.07,21.66,28.47,30.59,21.51,10.55,15.75,35.67,23.25,10.73,20.47,31.4,24.72,31.45,41.07,30.09,30.09,31.03
39,EBITDA Margin,14.07%,19.91%,14.38%,12.48%,15.70%,17.73%,12.62%,6.53%,9.14%,15.83%,11.65%,7.49%,13.76%,18.47%,15.55%,18.67%,26.46%,19.98%,19.98%,20.88%
40,D&A For EBITDA,13.24,14.14,13.24,13.24,11.67,13.25,11.67,11.67,9.27,10.99,9.27,9.27,8.04,8.4,8.04,8.04,7.97,7.97,7.97,6.3
41,EBIT,9.25,23.82,13.83,8.43,16.79,17.34,9.83,-1.12,6.48,24.67,13.98,1.47,12.42,23,16.68,23.41,33.1,22.12,22.12,24.73
42,EBIT Margin,5.79%,12.49%,7.35%,4.86%,9.26%,10.05%,5.77%,-0.69%,3.76%,10.95%,7.01%,1.02%,8.35%,13.52%,10.49%,13.90%,21.33%,14.69%,14.69%,16.64%
43,Effective Tax Rate,11.07%,10.58%,14.86%,5.77%,11.77%,10.79%,9.60%,-,8.01%,12.95%,11.55%,5.98%,11.24%,12.17%,13.76%,13.08%,13.81%,13.21%,13.21%,9.64%
44,Revenue as Reported,159.82,190.67,188.23,173.51,181.35,172.56,170.48,161.57,172.28,225.35,199.54,143.33,-,170.06,159.01,168.42,155.19,150.62,150.62,559.28
