,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2021,Q1 2021
31,Additional Paid-In Capital,958.58,955.53,952.32,926.95,926.95,926.95,926.95,330.94,-,330.94,-,331.55,331.55
32,Retained Earnings,361.28,339.86,400.06,368.49,348.35,322.49,320.75,289.78,-,236.13,-,95.72,95.72
33,Treasury Stock,-24.47,-24.47,-24.47,-,-,-,-,-,-,-,-,-,-
34,Comprehensive Income & Other,5.38,-0.54,-0.58,0.35,-0.31,0.27,0.05,0.19,-,-,-,-,-
35,Total Common Equity,1415,1384,1441,1408,1387,1362,1360,704.91,-,651.07,573.09,511.28,511.28
36,Minority Interest,-,-,-,-,-,-,-,-,-,-,-,2.47,2.47
37,Shareholders' Equity,1415,1384,1441,1408,1387,1362,1360,704.91,-,651.07,573.09,513.74,513.74
38,Total Liabilities & Equity,1732,1701,1709,1667,1606,1576,1574,905.97,-,919.27,-,782.56,782.56
39,Total Debt,20.98,19.02,19.27,20.22,21.82,22.72,21.01,-,-,6.67,-,-,-
40,Net Cash (Debt),574.66,604.73,718.78,733.42,765.14,747.39,740.58,158.11,-,126.48,117.65,94.49,94.49
41,Net Cash Growth,-24.90%,-19.09%,-2.94%,363.87%,-,490.94%,529.50%,67.33%,-,-,-,-,-
42,Net Cash Per Share,5.09,5.29,6.37,6.44,6.91,6.61,8.85,1.88,-,1.51,1.40,1.12,1.12
43,Filing Date Shares Outstanding,112.94,114.4,112.76,112,112,112,112,84,83.51,84,84.16,84,84
44,Total Common Shares Outstanding,112.94,114.4,112.76,112,112,112,112,84,83.51,84,84.16,84,84
45,Working Capital,665.37,683.93,836.42,827.97,870.59,854.35,863.05,216.48,-,193.32,-,154.86,154.86
46,Book Value Per Share,12.53,12.10,12.78,12.57,12.38,12.16,12.14,8.39,-,7.75,6.81,6.09,6.09
47,Tangible Book Value,1361,1331,1388,1363,1342,1316,1314,658.87,-,604.47,526.17,463.85,463.85
48,Tangible Book Value Per Share,12.05,11.64,12.31,12.17,11.98,11.75,11.73,7.84,-,7.20,6.25,5.52,5.52
49,Buildings,-,370.21,-,367.7,-,334.17,-,306.74,-,-,-,163.81,163.81
50,Machinery,-,229.76,-,220.79,-,204.63,-,199.95,-,-,-,154.32,154.32
51,Construction In Progress,-,18.84,-,5.18,-,32.14,-,42.9,-,-,-,46.61,46.61
