,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2021,Q1 2021
38,Total Liabilities & Equity,4651,4529,4287,4143,4016,2421,-,2284,-,-,-,2007,2007
39,Total Debt,21.72,24.2,25.62,25.34,19.71,42.65,196.16,196.16,-,-,445.57,325.38,325.38
40,Net Cash (Debt),816.5,923.82,910.44,983.75,1703,286.76,1.82,1.82,-,-,-88.4,-109.96,-109.96
41,Net Cash Growth,-52.05%,222.16%,49792.90%,53810.19%,-,-,-,-,-,-,-,-,-
42,Net Cash Per Share,2.07,2.31,2.27,2.49,4.54,0.78,0.01,0.01,-,-,-,-0.31,-0.31
43,Filing Date Shares Outstanding,400.04,400.04,400.04,400.04,400.04,400.04,360.04,360.04,360.7,361.8,-,360.04,360.04
44,Total Common Shares Outstanding,400.04,400.04,400.04,400.04,400.04,360.04,360.04,360.04,360.7,361.8,-,360.04,360.04
45,Working Capital,1682,1671,1725,1737,2452,900.29,-,745.68,-,-,-,362.41,362.41
46,Book Value Per Share,10.21,9.73,9.51,9.16,8.86,5.46,4.88,4.88,-,-,4.09,3.84,3.84
47,Tangible Book Value,3920,3733,3644,3534,3412,1835,1644,1644,-,-,1357,1277,1277
48,Tangible Book Value Per Share,9.80,9.33,9.11,8.83,8.53,5.10,4.57,4.57,-,-,3.77,3.55,3.55
49,Buildings,-,646.2,-,649.45,-,-,-,630.42,-,-,-,556.08,556.08
50,Machinery,-,675.86,-,654.9,-,-,-,596.54,-,-,-,484.33,484.33
51,Construction In Progress,-,189.31,-,33.65,-,-,-,24.7,-,-,-,43.88,43.88
