,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
22,Earnings From Continuing Operations,217.28,-15.8,-44.63,-147.44,-76.26,-39.66,-78.29,-97.32,262.5,2.54,-91.33,-76.17,100.9,73.04,9.11,-1.79,55.78
23,Minority Interest in Earnings,0.47,-0.43,-1.57,1.53,-3.59,-0.21,1.83,2.42,2.46,1.59,-1.02,-2.09,-1.54,-1.76,0.06,0.66,0.04
24,Net Income,217.75,-16.23,-46.2,-145.91,-79.85,-39.87,-76.46,-94.9,264.96,4.13,-92.34,-78.26,99.37,71.28,9.17,-1.13,55.82
25,Net Income to Common,217.75,-16.23,-46.2,-145.91,-79.85,-39.87,-76.46,-94.9,264.96,4.13,-92.34,-78.26,99.37,71.28,9.17,-1.13,55.82
26,Net Income Growth,-,-,-,-,-,-,-,-,166.65%,-94.21%,-,-,78.00%,-,-,-,-
27,Shares Outstanding (Basic),441,360,400,400,408,386,400,400,413,400,387,387,360,359,356,365,1152
28,Shares Outstanding (Diluted),441,360,400,400,408,386,400,400,413,400,387,387,360,359,356,365,1152
29,Shares Change (YoY),8.18%,-6.94%,0.02%,-0.03%,-1.21%,-3.41%,3.41%,3.47%,14.74%,11.33%,8.58%,6.05%,-68.76%,-,-,-,-
30,EPS (Basic),0.49,-0.05,-0.12,-0.36,-0.20,-0.10,-0.19,-0.24,0.64,0.01,-0.24,-0.20,0.28,0.20,0.03,-0.00,0.05
31,EPS (Diluted),0.49,-0.05,-0.12,-0.36,-0.20,-0.10,-0.19,-0.24,0.64,0.01,-0.24,-0.20,0.28,0.20,0.03,-0.00,0.05
32,EPS Growth,-,-,-,-,-,-,-,-,132.39%,-94.80%,-,-,469.87%,-,-,-,-
33,Free Cash Flow,-,-90.18,-106.39,-207,225.72,-233.47,-105.24,-310.39,133.85,-60.01,-145.36,-237.16,258.52,-18.95,-96.34,-51.77,184.52
34,Free Cash Flow Per Share,-,-0.25,-0.27,-0.52,0.55,-0.60,-0.26,-0.78,0.32,-0.15,-0.38,-0.61,0.72,-0.05,-0.27,-0.14,0.16
35,Dividend Per Share,-,-,-,-,-,-,-,-,0.025,-,-,-,0.140,-,-,-,-
36,Dividend Growth,-,-,-,-,-,-,-,-,-82.14%,-,-,-,-,-,-,-,-
37,Gross Margin,119.45%,52.32%,58.85%,49.36%,38.14%,47.65%,51.67%,60.37%,56.19%,52.12%,45.62%,48.79%,48.50%,53.86%,49.35%,57.72%,51.21%
38,Operating Margin,25.77%,-1.81%,-12.84%,-52.21%,-17.78%,-10.66%,-24.94%,-47.35%,24.23%,2.46%,-35.00%,-30.96%,6.75%,21.69%,-20.11%,4.53%,7.41%
39,Profit Margin,8.26%,-3.63%,-12.41%,-50.61%,-12.96%,-9.30%,-23.38%,-40.17%,38.28%,0.95%,-29.97%,-27.48%,14.43%,14.46%,4.04%,-0.44%,13.21%
40,Free Cash Flow Margin,-,-20.15%,-28.57%,-71.80%,36.63%,-54.47%,-32.18%,-131.40%,19.34%,-13.77%,-47.17%,-83.28%,37.55%,-3.84%,-42.47%,-19.97%,43.67%
41,EBITDA,683.35,-3.93,-43.12,-146.33,-105.4,-38.27,-71.59,-104.42,175.11,15.1,-101.89,-83.78,50.85,110.23,-41.35,15.08,33.66
42,EBITDA Margin,25.93%,-0.88%,-11.58%,-50.76%,-17.10%,-8.93%,-21.89%,-44.21%,25.30%,3.46%,-33.06%,-29.42%,7.39%,22.36%,-18.23%,5.82%,7.97%
43,D&A For EBITDA,4.18,4.18,4.71,4.18,4.18,7.42,9.98,7.42,7.42,4.4,5.98,4.4,4.4,3.34,4.28,3.34,2.36
44,EBIT,679.17,-8.11,-47.83,-150.51,-109.58,-45.68,-81.57,-111.84,167.7,10.7,-107.86,-88.17,46.45,106.9,-45.63,11.74,31.29
45,EBIT Margin,25.77%,-1.81%,-12.84%,-52.21%,-17.78%,-10.66%,-24.94%,-47.35%,24.23%,2.46%,-35.00%,-30.96%,6.75%,21.69%,-20.11%,4.53%,7.41%
46,Effective Tax Rate,67.79%,-,-,-,-,-,-,-,2.66%,9.87%,-,-,10.84%,18.79%,-,130.06%,-
47,Revenue as Reported,-,447.67,372.42,288.29,616.23,428.63,327.01,236.21,692.2,435.84,308.15,284.76,688.46,492.95,226.83,259.23,-
