,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
15,EBT Excluding Unusual Items,30.69,17.72,20.04,20.81,17.47,18.01,17.58,12.67,11.83,15.89,17.7,15.13
16,Gain (Loss) on Sale of Investments,-7.51,5.84,1.11,0.56,1.67,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,-,0.04,-0.04,-,0,-,-,-,-0,-,-,-
18,Asset Writedown,0.14,-0.14,0,-,0.38,-0.38,-,-,0.34,-0.39,-,-
19,Other Unusual Items,-,-0.24,0.3,-0.06,0.19,0.22,-0.22,-,1.36,-,-,-
20,Pretax Income,23.32,23.21,21.42,21.31,19.72,17.85,17.36,12.67,13.53,15.49,17.7,15.13
21,Income Tax Expense,3.64,2.7,2.7,3.37,2.79,2.34,2.6,1.3,1.71,-0.74,3.65,2.62
22,Net Income,19.68,20.51,18.71,17.94,16.92,15.52,14.76,11.38,11.82,16.24,14.05,12.51
23,Net Income to Common,19.68,20.51,18.71,17.94,16.92,15.52,14.76,11.38,11.82,16.24,14.05,12.51
24,Net Income Growth,16.27%,32.20%,26.81%,57.69%,43.23%,-4.43%,4.99%,-9.03%,-,-,-,-
25,Shares Outstanding (Basic),81,84,85,84,92,77,63,63,62,63,64,63
26,Shares Outstanding (Diluted),81,84,85,84,92,77,63,63,62,63,64,63
27,Shares Change (YoY),-11.45%,8.74%,34.92%,32.24%,47.04%,23.36%,-1.29%,1.38%,-,-,-,-
28,EPS (Basic),0.24,0.24,0.22,0.21,0.18,0.20,0.23,0.18,0.19,0.26,0.22,0.20
29,EPS (Diluted),0.24,0.24,0.22,0.21,0.18,0.20,0.23,0.18,0.19,0.26,0.22,0.20
30,EPS Growth,31.30%,21.57%,-6.01%,19.24%,-2.60%,-22.53%,6.36%,-10.26%,-,-,-,-
31,Free Cash Flow,-,-12.51,38.36,5.88,10.9,13.39,2.72,20.17,25.39,-27.05,28.6,-3.14
32,Free Cash Flow Per Share,-,-0.15,0.45,0.07,0.12,0.17,0.04,0.32,0.41,-0.43,0.45,-0.05
33,Dividend Per Share,-,-,-,-,0.234,-,-,-,-,-,-,-
34,Gross Margin,-16.22%,40.53%,37.96%,38.62%,34.23%,37.58%,36.71%,33.54%,30.42%,32.77%,30.52%,31.45%
35,Operating Margin,32.33%,20.54%,17.94%,21.64%,14.71%,19.21%,21.13%,17.42%,13.29%,17.51%,18.07%,17.46%
36,Profit Margin,18.29%,20.44%,20.19%,22.40%,18.43%,17.83%,17.44%,15.08%,12.55%,17.66%,14.13%,14.08%
37,Free Cash Flow Margin,-,-12.47%,41.38%,7.34%,11.87%,15.38%,3.22%,26.74%,26.96%,-29.43%,28.75%,-3.53%
38,EBITDA,35.85,21.69,17.93,18.41,14.58,17.78,18.95,14.17,13.31,16.75,18.63,16.17
39,EBITDA Margin,33.33%,21.61%,19.34%,22.98%,15.88%,20.43%,22.39%,18.78%,14.13%,18.23%,18.73%,18.20%
40,D&A For EBITDA,1.07,1.07,1.3,1.07,1.07,1.06,1.06,1.03,0.79,0.66,0.66,0.66
41,EBIT,34.78,20.61,16.63,17.33,13.51,16.72,17.89,13.14,12.51,16.1,17.97,15.51
42,EBIT Margin,32.33%,20.54%,17.94%,21.64%,14.71%,19.21%,21.13%,17.42%,13.29%,17.51%,18.07%,17.46%
43,Effective Tax Rate,15.62%,11.63%,12.63%,15.81%,14.17%,13.09%,15.00%,10.22%,12.66%,-,20.61%,17.35%
44,Revenue as Reported,-,100.34,92.69,80.09,91.83,87.04,84.63,75.44,94.16,91.92,188.28,-
