,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
9,P/OCF Ratio,30.47,30.47,28.75,-,31.42,58.34,45.25,33.74,-,14.36,17.25,21.09,50.65,166.51,-,-,-,-,-,-,-
10,EV/Sales Ratio,2.78,2.72,2.61,2.85,3.64,3.40,3.29,2.84,2.11,2.33,2.40,2.46,2.87,3.02,3.81,5.82,-,-,-,-,-
11,EV/EBITDA Ratio,25.73,26.62,23.62,22.83,27.15,30.49,23.94,21.90,-,16.64,19.35,20.26,26.66,27.41,36.30,50.55,-,-,-,-,-
12,EV/EBIT Ratio,36.58,34.12,29.88,28.41,32.97,38.59,28.40,25.85,-,19.00,22.41,23.55,31.80,32.97,44.85,62.02,-,-,-,-,-
13,EV/FCF Ratio,48.62,47.49,-,-,32.81,97.33,50.94,73.61,-,16.90,-,22.59,78.60,-137.60,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.04,0.01,0.01,0.02,0.02,0.05,0.03,0.00,0.00,0.00,0.01,0.01,-,-,0.06,-,-
15,Debt / EBITDA Ratio,0.09,0.07,0.11,0.10,0.51,0.11,0.13,0.12,6.17,0.24,0.30,0.02,0.04,0.02,0.06,0.08,-,-,0.18,-,-
16,Debt / FCF Ratio,0.16,0.16,-,-,0.48,0.50,0.29,0.52,-,0.41,-,0.02,0.10,-0.23,-,-,-,-,0.47,-,-
17,Asset Turnover,0.73,0.74,0.55,0.62,0.61,0.66,0.61,0.62,0.75,0.84,0.70,0.87,0.91,0.85,0.88,-,-,-,-,-,
18,Inventory Turnover,6.68,6.66,7.37,5.66,7.32,5.85,6.53,5.43,6.43,6.06,6.57,4.64,5.71,4.97,5.44,5.18,-,-,-,-,-
19,Quick Ratio,5.42,5.42,5.24,5.25,5.20,5.62,5.30,4.80,4.27,4.53,4.45,4.29,4.53,4.71,4.43,4.95,1.74,-,1.80,-,1.54
20,Current Ratio,6.02,6.02,5.85,5.81,5.63,6.19,5.83,5.29,4.76,5.00,5.02,5.00,5.22,5.63,5.29,5.76,2.41,-,2.33,-,2.10
21,Return on Equity (ROE),5.94%,9.19%,6.99%,7.42%,8.21%,11.36%,9.71%,8.28%,19.03%,15.89%,8.74%,9.89%,15.73%,9.53%,5.44%,-,-,27.33%,13.69%,-,
22,Return on Assets (ROA),4.45%,2.83%,4.09%,1.72%,5.13%,4.37%,6.06%,-1.77%,10.60%,4.57%,5.89%,2.80%,9.11%,3.88%,3.65%,-,-,-,-,-,
23,Return on Capital (ROIC),5.19%,3.31%,4.80%,2.01%,5.97%,5.16%,7.29%,-2.14%,12.75%,5.55%,7.16%,3.37%,10.96%,4.65%,4.63%,-,-,16.56%,11.12%,-,
24,Return on Capital Employed (ROCE),5.88%,6.16%,6.54%,7.12%,7.75%,6.42%,9.05%,8.94%,-,10.76%,10.17%,9.94%,8.47%,8.16%,7.22%,7.38%,20.02%,-,14.11%,-,4.17%
25,Earnings Yield,2.53%,2.60%,3.00%,3.09%,2.69%,2.92%,3.55%,4.11%,4.91%,4.51%,3.91%,3.44%,2.75%,2.64%,1.92%,1.55%,-,-,-,-,-
26,FCF Yield,1.57%,1.61%,1.72%,1.97%,2.43%,0.81%,1.54%,1.05%,2.12%,4.49%,3.25%,3.44%,1.01%,-0.58%,-0.91%,-0.20%,-,-,-,-,-
27,Dividend Yield,1.21%,-,-,-,1.07%,-,-,-,1.52%,-,-,-,1.25%,-,-,-,-,-,-,-,-
28,Payout Ratio,48.75%,-,156.44%,0.54%,0.83%,-,127.67%,-,0.25%,0.96%,100.46%,-,-,-,151.45%,-,-,1.95%,-,-,155.05%
29,Buyback Yield / Dilution,0.11%,-1.09%,0.76%,1.43%,-0.65%,-1.79%,0.75%,1.15%,1.35%,2.16%,0.70%,-11.15%,-31.65%,-37.71%,-29.74%,-25.38%,-0.91%,-,-,-,-
30,Total Shareholder Return,1.32%,-1.09%,0.76%,1.43%,0.42%,-1.79%,0.75%,1.15%,2.87%,2.16%,0.70%,-11.15%,-30.40%,-37.71%,-29.74%,-25.38%,-0.91%,-,-,-,-
