,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
16,Gain (Loss) on Sale of Investments,-,-,-,11.22,-0.04,-3.36,-,0.6,-,-,-,-0.68,-0.11,0.76,-2.75,1.79,1.35,0.14,-1.02,0.45
17,Gain (Loss) on Sale of Assets,-0,-0.01,-0.01,0.11,-0.09,-0.1,-0.14,0.04,-0.05,-,0.02,-0.02,-,0.01,-0.01,-,-,-,-,-0.05
18,Asset Writedown,-8.03,3.95,-3.96,7.46,-7.45,5.6,-5.68,21.08,-21.16,5.15,-5.16,1.84,-2.06,3.33,-3.52,3.57,-3.7,2.19,-2.21,-0.28
19,Other Unusual Items,-1.47,1.46,0.01,2.74,-0.26,0.26,-,10.03,-0.01,0.01,-,8.31,-,-,-,12.77,0.03,-0.03,-,11.7
20,Pretax Income,20.62,32.72,25.56,26.02,29.97,41.96,36.08,29.54,66.08,53.87,28.72,31.62,48.74,29.97,11.54,24.28,29.27,25.99,13.14,26.3
21,Income Tax Expense,0.59,1.72,1.74,0.9,2.72,4.53,4.4,3.13,7.51,6.18,2.77,2.94,4.54,3.56,1.17,2.5,2.55,2.39,1.91,2.76
22,Earnings From Continuing Operations,20.04,31,23.82,25.13,27.25,37.43,31.68,26.41,58.56,47.69,25.95,28.68,44.2,26.41,10.37,21.79,26.72,23.6,11.23,23.54
23,Minority Interest in Earnings,-1.33,-0.68,0.26,-0.27,0.83,0.17,0.08,0.48,0.17,-,-,-,-,-,-,-,-,-,-,-
24,Net Income,18.71,30.32,24.08,24.86,28.08,37.6,31.76,26.88,58.73,47.69,25.95,28.68,44.2,26.41,10.37,21.79,26.72,23.6,11.23,23.54
25,Net Income to Common,18.71,30.32,24.08,24.86,28.08,37.6,31.76,26.88,58.73,47.69,25.95,28.68,44.2,26.41,10.37,21.79,26.72,23.6,11.23,23.54
26,Net Income Growth,-33.36%,-19.36%,-24.18%,-7.53%,-52.19%,-21.17%,22.39%,-6.26%,32.88%,80.59%,150.17%,31.63%,65.43%,11.90%,-7.67%,-7.43%,-,-,-,-
27,Shares Outstanding (Basic),123,116,120,119,122,117,122,118,120,118,124,120,122,119,111,91,89,92,89,90
28,Shares Outstanding (Diluted),123,116,120,119,122,117,122,118,120,118,124,120,122,119,111,91,89,92,89,90
29,Shares Change (YoY),1.09%,-0.76%,-1.43%,0.65%,1.79%,-0.75%,-1.15%,-1.35%,-2.16%,-0.70%,11.15%,31.65%,37.71%,29.74%,25.38%,0.91%,-,-,-,-
30,EPS (Basic),0.15,0.26,0.20,0.21,0.23,0.32,0.26,0.23,0.49,0.40,0.21,0.24,0.36,0.22,0.09,0.24,0.30,0.26,0.13,0.26
31,EPS (Diluted),0.15,0.26,0.20,0.21,0.23,0.32,0.26,0.23,0.49,0.40,0.21,0.24,0.36,0.22,0.09,0.24,0.30,0.26,0.13,0.26
32,EPS Growth,-34.08%,-18.74%,-23.08%,-8.13%,-53.03%,-20.58%,23.81%,-4.98%,35.81%,81.87%,125.08%,-0.01%,20.13%,-13.75%,-26.36%,-8.27%,-,-,-,-
33,Free Cash Flow,35.28,-2.98,-24.93,53.24,36.32,8.26,12.46,-22.44,68.98,-16.81,38.95,69.04,30.88,-13.71,-45.69,5.89,12.91,16.39,10.77,15.05
34,Free Cash Flow Per Share,0.29,-0.03,-0.21,0.45,0.30,0.07,0.10,-0.19,0.58,-0.14,0.32,0.58,0.25,-0.12,-0.41,0.06,0.15,0.18,0.12,0.17
35,Dividend Per Share,-,-,-,0.400,-,-,-,0.400,-,-,-,0.400,-,-,-,0.333,-,-,-,-
36,Dividend Growth,-,-,-,0%,-,-,-,0%,-,-,-,20.01%,-,-,-,-,-,-,-,-
37,Gross Margin,25.87%,21.77%,28.33%,21.96%,30.80%,26.17%,29.92%,18.91%,35.08%,21.61%,26.41%,22.32%,28.39%,21.79%,20.80%,22.52%,27.39%,22.98%,23.76%,62.21%
38,Operating Margin,9.79%,6.12%,11.97%,4.44%,13.42%,10.59%,15.98%,-4.55%,22.65%,8.70%,13.43%,5.13%,16.07%,7.34%,6.60%,4.45%,15.73%,10.57%,9.66%,6.10%
39,Profit Margin,6.49%,10.27%,10.74%,9.87%,11.71%,14.42%,13.10%,10.82%,20.29%,15.30%,10.21%,9.38%,14.35%,9.34%,4.82%,9.72%,11.82%,10.60%,7.43%,10.29%
40,Free Cash Flow Margin,12.23%,-1.01%,-11.12%,21.13%,15.15%,3.17%,5.14%,-9.03%,23.83%,-5.39%,15.33%,22.59%,10.02%,-4.85%,-21.24%,2.63%,5.71%,7.36%,7.12%,6.58%
41,EBITDA,34.26,23.78,32.86,17.22,37.83,33.84,44.41,-5.64,70.5,32.52,39.05,20.63,54.26,25.62,18.96,14.74,40.12,28.35,19.18,18.54
42,EBITDA Margin,11.88%,8.05%,14.66%,6.83%,15.78%,12.98%,18.31%,-2.27%,24.35%,10.43%,15.37%,6.75%,17.61%,9.06%,8.81%,6.57%,17.75%,12.73%,12.69%,8.10%
43,D&A For EBITDA,6.02,5.71,6.02,6.02,5.65,6.23,5.65,5.65,4.94,5.4,4.94,4.94,4.76,4.87,4.76,4.76,4.58,4.8,4.58,4.58
44,EBIT,28.25,18.06,26.84,11.2,32.17,27.61,38.75,-11.3,65.56,27.13,34.11,15.69,49.5,20.75,14.2,9.98,35.54,23.55,14.6,13.97
45,EBIT Margin,9.79%,6.12%,11.97%,4.44%,13.42%,10.59%,15.98%,-4.55%,22.65%,8.70%,13.43%,5.13%,16.07%,7.34%,6.60%,4.45%,15.73%,10.57%,9.66%,6.10%
46,Effective Tax Rate,2.84%,5.25%,6.80%,3.45%,9.07%,10.79%,12.19%,10.61%,11.37%,11.46%,9.65%,9.29%,9.32%,11.89%,10.10%,10.29%,8.70%,9.19%,14.51%,10.50%
47,Revenue as Reported,288.48,295.35,224.2,251.99,239.73,260.69,242.47,248.42,289.5,311.7,254.04,305.65,308.07,282.66,215.1,224.22,225.97,222.71,151.17,801.25
