,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
12,Long-Term Investments,-,-,-,-,-,10,10,10,10,10,-,-,-,-,-,-,-,-,-,-
13,Other Intangible Assets,51.56,52.56,52.83,53.49,51.83,52.51,52.56,53.36,52.26,52.8,8.01,7.41,7.56,7.37,7.54,7.65,-,7.89,-,8.34
14,Long-Term Deferred Tax Assets,4.33,4.41,4.45,3.86,4.77,5.2,5.09,5.88,5.71,5.14,3.48,3.28,2.08,1.98,2.01,1.61,-,2.26,-,2.58
15,Long-Term Deferred Charges,12.4,10.65,10.47,11.12,11.89,11.2,12,13.3,13.19,8.92,9.08,10.39,10.42,12.37,14.22,16.39,-,20.41,-,24.41
16,Other Long-Term Assets,4.26,3.55,11.71,3.78,5.13,1.29,2.06,2.4,1.69,0.89,7.62,2.51,1.25,0.04,0.31,0.02,-,0.22,-,0.76
17,Total Assets,1593,1578,1608,1675,1577,1561,1601,1597,1595,1498,1468,1426,1375,1341,1334,613.7,-,553.57,-,521.96
18,Accounts Payable,162.85,170.27,170.58,190.27,141.56,159.65,168.45,197.06,178.25,184.54,190.29,175.34,165.9,178.84,166.95,151.95,-,118.75,-,141.17
19,Accrued Expenses,29.84,38.8,32.3,43.19,27.03,33.64,42.2,54.44,34.01,42.77,34,44.12,21.53,24.52,15.4,26.83,-,25.67,-,28.67
20,Short-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,-,-
21,Current Portion of Long-Term Debt,-,-,-,4,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-
22,Current Portion of Leases,8.87,9.91,8.96,8.81,8.66,8.54,9,8.95,12.58,0.96,2.07,3.17,-,-,-,-,-,-,-,-
23,Current Income Taxes Payable,5.06,2.82,6.49,3.06,7.09,6.65,13.88,12.07,21.47,9.63,10.21,5.64,6.06,4.28,5.43,3.86,-,3.31,-,7.34
24,Current Unearned Revenue,4.1,5.29,8.04,8.34,12.3,14.53,16.25,11.43,11.87,11.46,11.84,13.75,14.18,15.81,10.54,10.41,-,9.72,-,9.44
25,Other Current Liabilities,11.6,0.67,8.97,0.77,22.03,4.83,8.31,0.95,12.4,1.1,11.82,1.66,9.83,2,6.96,2.61,-,6.8,-,0.05
26,Total Current Liabilities,222.32,227.75,235.35,258.43,218.66,227.84,258.08,284.9,270.58,254.46,260.23,243.67,217.5,225.45,205.29,195.66,-,184.24,-,186.68
27,Long-Term Debt,-,-,-,34,-,-,-,-,36,36,-,-,-,-,-,-,-,-,-,-
28,Long-Term Leases,0.99,2.37,4.09,6.39,8.66,10.89,13.05,15.3,17.74,0.41,0.56,0.7,5.1,6.33,5.82,-,-,-,-,-
29,Long-Term Unearned Revenue,8.23,8.15,8.57,9.01,7.47,7.8,8.13,8.46,8.78,6.56,6.85,7.14,6.72,7.01,7.31,6.86,-,6.65,-,7.05
30,Long-Term Deferred Tax Liabilities,0.05,0.05,0.06,0.06,0.05,0.05,0.06,0.06,0.02,0.01,0.01,0.04,0.03,0.02,0.01,0,-,-,-,0.08
31,Total Liabilities,231.59,238.31,248.07,307.89,234.85,246.58,279.33,308.73,333.12,297.44,267.64,251.56,229.35,238.82,218.42,202.52,-,190.9,-,193.8
32,Common Stock,120,120,120,120,120,120,120,120,120,120,80,80,80,80,80,60,-,60,-,60
33,Additional Paid-In Capital,785.12,785.12,785.12,785.12,785.12,785.12,785.12,785.12,785.12,785.12,825.12,825.12,825.12,825.12,825.12,151.29,-,151.29,-,151.29
34,Retained Earnings,480.81,462.1,479.21,455.13,430.27,402.19,412.59,380.83,353.93,295.2,295.5,269.55,240.88,196.67,210.26,199.89,-,151.38,-,116.87
35,Treasury Stock,-34.64,-34.64,-30.24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,Comprehensive Income & Other,1.57,-0.08,0.03,0.52,0.03,0.03,0.02,0.02,0.03,0.01,-0.01,-0.01,-0,-0,0,-,-,-,-,-
37,Total Common Equity,1353,1332,1354,1361,1335,1307,1318,1286,1259,1200,1201,1175,1146,1102,1115,411.18,-,362.67,328.16,328.16
38,Minority Interest,8.29,6.96,6.28,6.54,6.28,7.11,4.28,2.35,2.83,-,-,-,-,-,-,-,-,-,-,-
39,Shareholders' Equity,1361,1339,1360,1367,1342,1314,1322,1288,1262,1200,1201,1175,1146,1102,1115,411.18,-,362.67,328.16,328.16
40,Total Liabilities & Equity,1593,1578,1608,1675,1577,1561,1601,1597,1595,1498,1468,1426,1375,1341,1334,613.7,-,553.57,-,521.96
41,Total Debt,9.86,12.27,13.05,53.2,17.32,19.42,22.05,24.26,66.32,41.37,2.63,3.87,5.1,6.33,5.82,-,-,20,-,-
42,Net Cash (Debt),926.96,900.28,947.88,1009,933.55,891.87,941.85,907.34,915.24,860.33,916.22,874.55,808.78,785.51,837.23,184.64,-,161.31,133.94,133.94
43,Net Cash Growth,-0.71%,0.94%,0.64%,11.24%,2.00%,3.67%,2.80%,3.75%,13.16%,9.53%,9.43%,373.64%,-,386.96%,525.07%,37.85%,-,-,-,-
44,Net Cash Per Share,7.53,7.75,7.87,8.50,7.67,7.62,7.71,7.69,7.65,7.30,7.41,7.31,6.62,6.62,7.53,2.03,-,1.76,1.51,1.49
45,Filing Date Shares Outstanding,118.57,118.57,118.75,118.75,120,120,120,120,120,120,120,120,120,120,120,120,120,90,88.67,90
46,Total Common Shares Outstanding,118.57,118.57,118.75,120,120,120,120,120,120,120,120,120,120,120,120,90,90,90,88.67,90
47,Working Capital,1117,1105,1133,1197,1135,1102,1108,1071,1084,1023,1041,1027,1007,966.43,977.21,275.94,-,245.69,-,205.99
48,Book Value Per Share,11.41,11.24,11.40,11.34,11.13,10.89,10.98,10.72,10.49,10.00,10.01,9.79,9.55,9.18,9.29,4.57,-,4.03,3.65,3.65
49,Tangible Book Value,1301,1280,1301,1307,1284,1255,1265,1233,1207,1148,1193,1167,1138,1094,1108,403.53,-,354.78,319.82,319.82
50,Tangible Book Value Per Share,10.97,10.79,10.96,10.89,10.70,10.46,10.54,10.27,10.06,9.56,9.94,9.73,9.49,9.12,9.23,4.48,-,3.94,3.55,3.55
51,Land,-,8.71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
52,Buildings,-,74.61,-,74.61,-,74.61,-,74.61,-,74.61,-,74.37,-,35.71,-,35.71,-,35.71,-,35.71
53,Machinery,-,188.61,-,181.33,-,170.65,-,173.03,-,154.73,-,148.88,-,144.16,-,138.96,-,129.52,-,125.94
54,Construction In Progress,-,32.81,-,9.67,-,9.36,-,3.42,-,21.62,-,5.77,-,33.96,-,28.8,-,6.87,-,2.01
