,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q1 2015
30,Long-Term Unearned Revenue,-,24.51,24.11,26.29,26.6,29.04,19.9,19.65,20.12,15.79,16.41,17.18,17.36,-,-,-,5.42
31,Long-Term Deferred Tax Liabilities,-,0.91,0.86,0.74,0.75,0.82,0.84,0.95,0.87,1.03,0.96,0.77,0.78,-,-,-,1.55
32,Other Long-Term Liabilities,-,7.36,7.2,7.2,8.68,6.44,6.97,8.1,9.24,8.4,8.61,8.82,9.09,-,-,-,1.66
33,Total Liabilities,-,556.99,479.16,434.26,437.59,432.84,386.89,327.16,304.3,319.17,373.36,310.77,390.47,-,-,-,115.71
34,Common Stock,-,103.36,103.36,103.36,103.36,103.36,103.36,103.36,103.36,103.36,103.36,77.52,77.52,-,-,-,58.13
35,Additional Paid-In Capital,-,947.39,947.39,946.97,946.97,946.97,946.97,946.97,946.97,946.97,946.97,258.99,258.21,-,-,-,86.32
36,Retained Earnings,-,204.7,216.17,249.68,256.94,210.68,221.62,264.03,259.24,226.49,216.98,267.22,243.52,-,-,-,56.83
37,Treasury Stock,-,-10.07,-10.07,-10.07,-,-,-,-,-,-,-,-,-,-,-,-,-
38,Comprehensive Income & Other,-,0.08,0.18,0.14,0.13,0.11,0.15,0.15,0.15,0.08,0.07,0.12,0.21,-,-,-,-0.34
39,Shareholders' Equity,1245,1245,1257,1290,1307,1261,1272,1315,1310,1277,1267,603.85,579.46,-,-,487.38,200.95
40,Total Liabilities & Equity,-,1802,1736,1724,1745,1694,1659,1642,1614,1596,1641,914.63,969.93,-,-,-,316.66
41,Total Debt,62.38,62.38,32.61,2.67,1.78,2,2.25,1.6,1.87,2.06,1.93,2.25,2.59,-,-,36.84,49.7
42,Net Cash (Debt),409,409,483.05,581.36,662.92,688.68,758.09,772.5,785.37,788.96,848.87,138.56,172.76,-,-,157,-12.43
43,Net Cash Growth,-38.30%,-40.61%,-36.28%,-24.74%,-15.59%,-12.71%,-10.69%,457.53%,354.61%,-,-,-11.75%,-,-,-,-,-
44,Net Cash Per Share,3.69,3.80,5.16,5.60,6.50,5.61,8.38,8.06,7.40,7.87,8.76,1.81,2.26,-,-,2.00,-0.25
45,Filing Date Shares Outstanding,110.87,103.01,103.01,103.76,103.36,103.36,103.36,103.36,103.36,103.36,103.36,103.36,77.52,80.41,75.12,78.66,58.13
46,Total Common Shares Outstanding,110.87,103.01,103.01,103.76,103.36,103.36,103.36,103.36,103.36,103.36,103.36,77.52,77.52,80.41,75.12,78.66,58.13
47,Working Capital,-,888.66,944.21,1012,1051,1062,1073,1121,1119,1108,1107,452.16,426.98,-,-,-,103.25
48,Book Value Per Share,12.09,12.09,12.20,12.43,12.65,12.20,12.31,12.72,12.67,12.35,12.26,7.79,7.48,-,-,6.29,3.46
49,Tangible Book Value,1204,1204,1219,1275,1292,1246,1257,1299,1294,1261,1251,587.73,563.03,-,-,471.25,187.7
50,Tangible Book Value Per Share,11.69,11.69,11.83,12.29,12.50,12.05,12.16,12.57,12.52,12.20,12.10,7.58,7.26,-,-,6.08,3.23
51,Buildings,-,-,88.94,-,88.94,-,88.94,-,88.94,-,28.33,-,27,-,-,-,9.57
52,Machinery,-,-,191.4,-,176.88,-,148.84,-,138.92,-,133.43,-,124.99,-,-,-,99.9
53,Construction In Progress,-,-,28.46,-,6.32,-,4.11,-,3.31,-,57.89,-,53.04,-,-,-,0.16
