,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
26,Net Income Growth,6.21%,10.95%,46.04%,2.65%,3.48%,-2.29%,-6.40%,7.70%,-45.30%,-5.22%,1.61%,29.25%,81.00%,50.52%,26.15%,100.43%,-,-,-,-
27,Shares Outstanding (Basic),80,82,83,80,80,81,82,81,82,80,82,81,81,82,67,61,61,62,61,61
28,Shares Outstanding (Diluted),80,82,83,80,80,81,82,81,82,80,82,81,81,82,67,61,61,62,61,61
29,Shares Change (YoY),-0.28%,1.34%,0.69%,-1.45%,-2.12%,1.03%,0.84%,-0.65%,0.84%,-1.79%,22.03%,33.45%,33.45%,32.05%,10.41%,0.22%,-,-,-,-
30,EPS (Basic),0.15,0.34,0.35,0.25,0.14,0.31,0.24,0.24,0.13,0.32,0.26,0.22,0.24,0.33,0.31,0.23,0.18,0.29,0.27,0.11
31,EPS (Diluted),0.15,0.34,0.35,0.25,0.14,0.31,0.24,0.24,0.13,0.32,0.26,0.22,0.24,0.33,0.31,0.23,0.18,0.29,0.27,0.11
32,EPS Growth,6.51%,9.48%,45.04%,4.17%,5.72%,-3.29%,-7.18%,8.40%,-45.75%,-3.49%,-16.74%,-3.15%,35.64%,13.99%,14.26%,100.00%,-,-,-,-
33,Free Cash Flow,-,24.01,30.32,20.1,15.22,29.75,13.2,12.83,11.51,23.91,26.71,11.66,26.62,32.06,10.5,-21.15,-18.99,5.31,-0.49,-0.98
34,Free Cash Flow Per Share,-,0.29,0.37,0.25,0.19,0.37,0.16,0.16,0.14,0.30,0.33,0.14,0.33,0.39,0.16,-0.35,-0.31,0.09,-0.01,-0.02
35,Dividend Per Share,-,-,-,-,0.320,-,-,-,0.371,-,-,-,0.443,-,-,-,0.371,-,-,-
36,Dividend Growth,-,-,-,-,-13.84%,-,-,-,-16.14%,-,-,-,19.25%,-,-,-,-,-,-,-
37,Gross Margin,157.71%,83.18%,76.63%,81.22%,68.79%,83.86%,78.01%,81.46%,72.55%,85.81%,79.37%,78.32%,74.35%,88.10%,77.11%,82.66%,75.73%,89.42%,76.22%,81.57%
38,Operating Margin,8.43%,51.96%,33.42%,37.79%,11.51%,44.32%,32.44%,35.33%,3.18%,46.56%,36.78%,40.28%,11.63%,52.18%,41.38%,41.92%,12.20%,39.66%,37.46%,35.17%
39,Profit Margin,14.49%,32.18%,34.59%,28.51%,16.32%,35.21%,28.04%,30.04%,17.55%,40.83%,34.11%,33.70%,32.07%,49.15%,38.01%,33.94%,21.36%,41.45%,37.32%,27.43%
40,Free Cash Flow Margin,-,27.67%,36.35%,28.74%,22.25%,41.62%,18.72%,19.86%,18.73%,37.89%,43.15%,21.78%,43.30%,57.99%,19.22%,-51.44%,-37.22%,12.20%,-1.12%,-3.87%
41,EBITDA,9.45,47.64,30.5,28.98,10.43,34.16,25.42,25.32,4.43,31.16,25.16,23.34,8.94,30.43,24.19,18.81,7.8,18.66,18.1,10.31
42,EBITDA Margin,11.55%,54.90%,36.56%,41.44%,15.25%,47.79%,36.07%,39.17%,7.21%,49.40%,40.65%,43.63%,14.54%,55.04%,44.26%,45.76%,15.30%,42.84%,41.02%,40.62%
43,D&A For EBITDA,2.55,2.55,2.62,2.55,2.55,2.48,2.56,2.48,2.48,1.79,2.4,1.79,1.79,1.58,1.57,1.58,1.58,1.38,1.57,1.38
44,EBIT,6.9,45.09,27.88,26.42,7.88,31.68,22.86,22.84,1.96,29.37,22.76,21.55,7.15,28.85,22.62,17.23,6.22,17.28,16.53,8.92
45,EBIT Margin,8.43%,51.96%,33.42%,37.79%,11.51%,44.32%,32.44%,35.33%,3.18%,46.56%,36.78%,40.28%,11.63%,52.18%,41.38%,41.92%,12.20%,39.66%,37.46%,35.17%
46,Effective Tax Rate,11.80%,16.13%,18.10%,19.19%,26.32%,16.64%,17.39%,18.40%,11.33%,16.20%,17.47%,17.26%,15.68%,14.46%,14.76%,14.84%,2.85%,14.89%,15.24%,10.95%
47,Revenue as Reported,-,86.78,83.42,69.92,68.42,71.47,70.48,64.64,61.47,63.09,61.89,53.5,61.49,55.29,54.66,41.11,51.01,43.56,44.13,25.38
