,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
22,Net Income,23.32,10.9,6.62,26.28,58.34,30.32,22.05,20.46,44.26,23.28,13.05,18.58
23,Net Income to Common,23.32,10.9,6.62,26.28,58.34,30.32,22.05,20.46,44.26,23.28,13.05,18.58
24,Net Income Growth,-60.03%,-64.05%,-69.96%,28.44%,31.81%,30.20%,69.00%,10.15%,-,-,-,-
25,Shares Outstanding (Basic),437,413,414,414,388,414,400,373,371,352,374,372
26,Shares Outstanding (Diluted),437,413,414,414,388,414,400,373,371,352,374,372
27,Shares Change (YoY),12.74%,-0.34%,3.42%,11.05%,4.50%,17.64%,6.92%,0.32%,-,-,-,-
28,EPS (Basic),0.05,0.03,0.02,0.06,0.15,0.07,0.06,0.05,0.12,0.07,0.03,0.05
29,EPS (Diluted),0.05,0.03,0.02,0.06,0.15,0.07,0.06,0.05,0.12,0.07,0.03,0.05
30,EPS Growth,-64.55%,-63.93%,-70.96%,15.66%,26.13%,10.68%,58.06%,9.80%,-,-,-,-
31,Free Cash Flow,-,-105.23,-44.06,-94.94,-19.94,-45.01,-46.93,-55.21,5.1,48.6,-9.02,-54.05
32,Free Cash Flow Per Share,-,-0.25,-0.11,-0.23,-0.05,-0.11,-0.12,-0.15,0.01,0.14,-0.02,-0.15
33,Dividend Per Share,-,-,-,-,0.096,-,-,-,-,-,-,-
34,Gross Margin,222.12%,45.16%,43.89%,53.90%,48.73%,52.00%,51.64%,56.97%,52.35%,55.04%,49.35%,57.82%
35,Operating Margin,23.16%,4.49%,-5.88%,20.49%,20.23%,19.62%,11.97%,20.85%,26.95%,22.81%,11.19%,24.96%
36,Profit Margin,15.86%,9.25%,6.45%,21.13%,24.85%,23.26%,15.73%,20.31%,24.33%,23.64%,13.26%,23.88%
37,Free Cash Flow Margin,-,-89.27%,-42.92%,-76.34%,-8.49%,-34.53%,-33.49%,-54.82%,2.81%,49.35%,-9.17%,-69.48%
38,EBITDA,36.78,8.02,-3.15,28.21,50.22,27.77,19.48,23.19,51.21,24.32,12.89,21.28
39,EBITDA Margin,25.01%,6.81%,-3.07%,22.68%,21.39%,21.30%,13.90%,23.03%,28.16%,24.70%,13.10%,27.35%
40,D&A For EBITDA,2.73,2.73,2.89,2.73,2.73,2.19,2.7,2.19,2.19,1.86,1.88,1.86
41,EBIT,34.06,5.29,-6.04,25.48,47.49,25.58,16.78,21,49.02,22.46,11.01,19.42
42,EBIT Margin,23.16%,4.49%,-5.88%,20.49%,20.23%,19.62%,11.97%,20.85%,26.95%,22.81%,11.19%,24.96%
43,Effective Tax Rate,-,5.12%,-,11.93%,11.02%,3.87%,3.94%,12.77%,11.85%,11.99%,0.94%,14.46%
44,Revenue as Reported,-,117.88,102.65,124.38,234.81,130.35,140.16,100.72,181.89,98.47,98.41,77.79
