,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
23,Other Current Liabilities,-,18.11,54.95,22.01,43.77,13.6,12.94,10.45,14.69,-,8.56,-
24,Total Current Liabilities,-,341.46,327.05,236.39,307.06,268.52,255.69,262.73,285.7,-,185.65,-
25,Long-Term Leases,-,2.38,2.81,3.39,3.78,3.87,4.37,5.44,4.78,-,3.82,-
26,Long-Term Unearned Revenue,-,80.53,79.05,79.57,80.09,80.61,81.13,81.65,82.17,-,82.94,-
27,Long-Term Deferred Tax Liabilities,-,0.26,0.26,0.27,0.29,0.83,0.97,1.1,0.99,-,-,-
28,Other Long-Term Liabilities,-,1.14,1.07,1.56,1.14,0.84,0.74,0.42,0.66,-,0.3,-
29,Total Liabilities,-,425.78,410.24,321.19,392.36,354.67,342.89,351.34,374.3,-,272.72,-
30,Common Stock,-,414.17,414.17,414.17,414.17,414.17,414.17,372.74,372.74,-,372.74,-
31,Additional Paid-In Capital,-,1248,1247,1244,1242,1240,1237,253.37,251.17,-,246.76,-
32,Retained Earnings,-,275.88,264.98,298.6,271.85,213.51,183.19,161.15,140.69,-,73.13,-
33,Treasury Stock,-,-20,-17.33,-,-,-,-,-,-,-,-,-
34,Comprehensive Income & Other,-,3.37,0.99,0.86,1.14,1.35,1.62,0.42,0.66,-,0.17,-
35,Shareholders' Equity,1921,1921,1910,1958,1929,1869,1836,787.68,765.25,-,692.8,657.04
36,Total Liabilities & Equity,-,2347,2320,2279,2321,2223,2179,1139,1140,-,965.53,-
37,Total Debt,4.06,4.06,5.14,5.93,6.74,6.37,7.23,8.94,7.82,-,5.68,5.4
38,Net Cash (Debt),912.01,912.01,1061,1124,1220,1242,1286,316.63,371.59,-,313.4,371.42
39,Net Cash Growth,-25.23%,-26.55%,-17.47%,254.91%,228.23%,-,310.27%,-14.75%,-,-,-,-
40,Net Cash Per Share,2.09,2.21,2.56,2.72,3.15,3.00,3.21,0.85,1.00,-,0.84,1.00
41,Filing Date Shares Outstanding,414.17,413.07,414.17,414.17,414.17,414.17,414.17,372.74,372.74,352.32,372.74,371.5
42,Total Common Shares Outstanding,414.17,413.07,414.17,414.17,414.17,414.17,414.17,372.74,372.74,352.32,372.74,371.5
43,Working Capital,-,1332,1397,1499,1526,1561,1557,523.61,503.03,-,464.62,-
44,Book Value Per Share,4.65,4.65,4.61,4.73,4.66,4.51,4.43,2.11,2.05,-,1.86,1.76
45,Tangible Book Value,1844,1844,1832,1880,1851,1791,1758,708.97,686.02,-,612.5,625.71
46,Tangible Book Value Per Share,4.46,4.46,4.42,4.54,4.47,4.32,4.24,1.90,1.84,-,1.64,1.68
47,Buildings,-,-,166.93,-,166.93,-,167.06,-,166.83,-,104.66,-
48,Machinery,-,-,61.41,-,53.62,-,48.91,-,45.42,-,29.73,-
49,Construction In Progress,-,-,284.28,-,185.14,-,59.96,-,43.12,-,86.24,-
