,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
9,Total Current Assets,-,1024,1078,1107,1172,1198,1217,1317,1321,1361,411.33,368.48,341.28,-,266.74,-
10,"Property, Plant & Equipment",-,275.68,250.71,250.16,207.59,183.21,178.39,155.46,154.73,128.35,129.58,128.77,123.82,-,127.63,-
11,Long-Term Investments,-,12.93,79.49,79.6,79.7,12.55,53.57,0.41,0.56,0.37,0.38,0.51,0.44,-,0.59,-
12,Goodwill,-,51.14,51.14,50.83,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,-,0.91,-
13,Other Intangible Assets,-,57.72,59.85,40.17,31.21,20.76,20.76,19.38,18.5,6.84,6.69,6.96,7.19,-,7.49,-
14,Long-Term Deferred Tax Assets,-,13.57,14.52,15.69,9.99,12.75,9.48,5.93,6.14,4.26,5.54,6.16,6.47,-,5.86,-
15,Long-Term Deferred Charges,-,5.17,4.34,10.21,5.27,5,5.45,6.36,6.59,7.45,8.11,8.97,8.03,-,3.9,-
16,Other Long-Term Assets,-,74.36,0.3,0.5,27.4,67.21,5.11,3.15,3.88,8.39,1.62,1.12,0.59,-,2.42,-
17,Total Assets,-,1515,1539,1555,1534,1500,1491,1508,1512,1518,564.16,521.88,488.74,-,415.55,-
18,Accounts Payable,-,17.68,33.04,24,17.88,8.75,10.42,11.11,12.57,14.03,26.92,12.27,13.09,-,16.15,-
19,Accrued Expenses,-,15.37,18.62,12.57,23.97,11.83,17.11,10.01,26.6,13.81,11.88,18.42,32.64,-,13.4,-
20,Short-Term Debt,-,7,7,6.73,-,-,-,-,-,-,-,-,-,-,-,-
21,Current Portion of Leases,-,6.7,7.79,5.98,6.13,5.45,4.25,4.53,1.44,2.22,1.61,0.88,2.12,-,3.29,-
22,Current Income Taxes Payable,-,6.85,4.11,2.82,3.45,10.33,4.34,13.54,9.26,15.59,11.52,3.14,5.12,-,6.63,-
23,Current Unearned Revenue,-,23.05,25.59,30.34,45.66,15.76,31.35,26.54,47.98,38,53.51,56.23,33.3,-,44.11,-
24,Other Current Liabilities,-,50.74,18.72,40,36.14,25.13,26.67,12.53,25.7,15.04,15.09,15.12,13.85,-,12.61,-
25,Total Current Liabilities,-,127.39,114.86,122.44,133.24,77.26,94.13,78.27,123.55,98.69,120.53,106.06,100.11,-,96.19,-
26,Long-Term Leases,-,2.02,1.38,2.06,2.37,3.97,5.3,4.94,7.99,2.55,3.83,4.52,4.1,-,4.8,-
27,Long-Term Unearned Revenue,-,16,16.05,17.69,17.75,15.22,15.27,15.33,6.03,8.31,8.71,10.38,10.44,-,7.13,-
28,Long-Term Deferred Tax Liabilities,-,5.21,5.61,6.22,5.25,7.78,4.33,2.98,4.39,1.21,1.28,1.31,1.36,-,1.46,-
29,Other Long-Term Liabilities,-,16.77,18.88,-,-,-,-,-,-,-,-,-,-,-,-,-
30,Total Liabilities,-,167.38,156.77,148.42,158.6,104.23,119.04,101.52,141.96,110.76,134.35,122.27,116.01,-,109.58,-
31,Common Stock,-,100,100,100.62,100.62,100.62,100.62,100,100,100,75,75,75,-,75,-
32,Additional Paid-In Capital,-,987.45,987.45,999.45,999.45,1017,1008,986.52,982.7,992.98,95.38,93.98,92.55,-,90.54,-
33,Retained Earnings,-,274.4,290.08,313.09,276.8,271.72,245.83,300.27,267.48,294.02,242.59,217.04,195.95,-,132.84,-
34,Treasury Stock,-,-52.25,-32.22,-42.66,-31.09,-22.71,-12.62,-,-,-,-,-,-,-,-,-
35,Total Common Equity,1310,1310,1345,1370,1346,1367,1342,1387,1350,1387,412.97,386.01,363.5,-,298.39,240.42
36,Minority Interest,-,37.9,36.75,35.6,29.54,28.96,29.44,20.12,19.77,20.28,16.84,13.59,9.24,-,7.58,-
37,Shareholders' Equity,1347,1347,1382,1406,1375,1396,1372,1407,1370,1407,429.81,399.6,372.74,-,305.97,247.47
38,Total Liabilities & Equity,-,1515,1539,1555,1534,1500,1491,1508,1512,1518,564.16,521.88,488.74,-,415.55,-
39,Total Debt,15.72,15.72,16.16,14.77,8.51,9.43,9.55,9.47,9.43,4.77,5.44,5.4,6.22,-,8.08,7.35
40,Net Cash (Debt),905,905,975.13,1010,1089,1100,1124,1228,1206,1235,277.45,249.93,266.4,-,208.05,142.47
41,Net Cash Growth,-16.88%,-17.70%,-13.24%,-17.73%,-9.75%,-10.95%,305.12%,391.22%,352.86%,-,33.36%,75.42%,-,-,-,-
42,Net Cash Per Share,9.25,9.22,9.86,10.19,11.00,10.95,11.17,12.28,12.06,14.82,3.70,3.33,3.55,-,2.80,1.90
43,Filing Date Shares Outstanding,97.87,97.86,97.86,100.62,99.51,100.62,100.62,100,100,100,100,75,75,75.62,75,74.99
44,Total Common Shares Outstanding,97.86,97.86,97.86,100.62,99.51,100.62,100.62,100,100,100,75,75,75,75.62,75,74.99
45,Working Capital,-,896.9,963.61,984.9,1039,1121,1123,1239,1197,1263,290.81,262.42,241.17,-,170.54,-
46,Book Value Per Share,13.38,13.38,13.75,13.62,13.52,13.59,13.34,13.87,13.50,13.87,5.51,5.15,4.85,-,3.98,3.21
47,Tangible Book Value,1201,1201,1234,1279,1314,1345,1321,1367,1331,1379,405.37,378.15,355.4,-,289.99,231.95
48,Tangible Book Value Per Share,12.27,12.27,12.61,12.72,13.20,13.37,13.12,13.67,13.31,13.79,5.40,5.04,4.74,-,3.87,3.09
49,Buildings,-,-,112.1,-,112.1,-,112.1,-,112.1,-,-,112.1,112.1,-,112.1,-
50,Machinery,-,-,50.29,-,44.39,-,39.76,-,37.31,-,-,29.22,21.95,-,18.23,-
51,Construction In Progress,-,-,122.18,-,77.04,-,48.34,-,19.99,-,-,-,-,-,2,-
