,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
35,Dividend Per Share,-,-,0.400,-,0.600,-,-,-,0.800,0.500,-,-,-,-,-,-
36,Dividend Growth,-,-,-,-,-25.00%,-,-,-,-,-,-,-,-,-,-,-
37,Gross Margin,199.24%,70.90%,72.11%,74.05%,73.47%,75.84%,74.26%,63.12%,74.20%,73.48%,55.76%,73.13%,72.02%,71.64%,72.38%,76.79%
38,Operating Margin,10.64%,30.67%,27.75%,35.68%,-19.70%,26.50%,24.10%,27.59%,-8.42%,49.85%,27.88%,31.50%,22.79%,40.58%,38.47%,35.11%
39,Profit Margin,6.62%,22.96%,29.28%,34.78%,10.09%,30.09%,27.77%,29.68%,30.02%,44.65%,23.57%,28.27%,36.78%,29.11%,37.41%,33.48%
40,Free Cash Flow Margin,-,-30.45%,31.04%,-43.36%,53.71%,14.02%,5.89%,15.60%,31.42%,31.26%,26.23%,-22.47%,45.12%,11.74%,66.28%,21.37%
41,EBITDA,12.74,34.28,38.92,40.17,-6.98,25.49,26.07,32.79,-3.93,59.67,32.85,25.92,27.56,32.59,38.18,23.44
42,EBITDA Margin,13.83%,33.55%,31.38%,38.50%,-13.85%,29.62%,27.36%,30.05%,-5.00%,51.81%,30.26%,34.76%,24.82%,42.60%,40.83%,38.68%
43,D&A For EBITDA,2.94,2.94,4.5,2.94,2.94,2.68,3.11,2.68,2.68,2.25,2.58,2.43,2.25,1.54,2.2,2.16
44,EBIT,9.8,31.34,34.43,37.23,-9.92,22.81,22.96,30.11,-6.61,57.42,30.27,23.49,25.3,31.05,35.98,21.28
45,EBIT Margin,10.64%,30.67%,27.75%,35.68%,-19.70%,26.50%,24.10%,27.59%,-8.42%,49.85%,27.88%,31.50%,22.79%,40.58%,38.47%,35.11%
46,Effective Tax Rate,84.20%,11.55%,12.62%,9.21%,-,15.69%,5.57%,11.69%,17.24%,10.13%,10.90%,8.48%,-,13.65%,15.32%,13.78%
47,Revenue as Reported,-,102.19,124.05,104.34,50.37,86.05,95.28,109.12,78.57,115.19,108.56,74.57,111.03,76.5,93.52,60.59
