,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
32,Shareholders' Equity,1253,1247,1272,1268,1258,1246,1251,412.87,-,391.6,323.49,323.49,323.49,279.77,279.77
33,Total Liabilities & Equity,1521,1440,1431,1455,1419,1410,1445,608.03,-,683.11,-,616.94,616.94,501.55,501.55
34,Total Debt,11.7,11.35,14.06,18.65,0.29,5.01,37.28,44.42,-,128.97,130.14,130.14,130.14,72.84,72.84
35,Net Cash (Debt),662.71,674.68,774.01,832.08,837.92,921.83,910.81,41.31,-,-83,-105.71,-105.71,-105.71,-49.12,-49.12
36,Net Cash Growth,-20.91%,-26.81%,-15.02%,1914.27%,-,-,-,-,-,-,-,-,-,-,-
37,Net Cash Per Share,5.36,5.43,6.24,6.73,6.76,9.91,7.34,0.45,-,-0.89,-1.14,-1.14,-1.14,-0.53,-0.53
38,Filing Date Shares Outstanding,124.03,124.03,124.03,124.03,124.03,124.03,124.03,91.7,93.02,93.02,93.03,93.02,93.02,93.02,93.02
39,Total Common Shares Outstanding,124.03,124.03,124.03,124.03,124.03,124.03,124.03,91.7,93.02,93.02,93.03,93.02,93.02,93.02,93.02
40,Working Capital,886.17,929.83,1011,1060,1078,1122,1130,288.55,-,258,-,186.71,186.71,142.2,142.2
41,Book Value Per Share,10.10,10.06,10.26,10.22,10.14,10.05,10.08,4.50,-,4.21,3.48,3.48,3.48,3.01,3.01
42,Tangible Book Value,1200,1195,1219,1215,1206,1239,1244,405.89,-,384.46,316.22,316.22,316.22,272.41,272.41
43,Tangible Book Value Per Share,9.68,9.63,9.83,9.80,9.73,9.99,10.03,4.43,-,4.13,3.40,3.40,3.40,2.93,2.93
44,Buildings,-,127.59,-,64.93,-,56.26,-,56.26,-,56.26,-,56.26,56.26,56.26,56.26
45,Machinery,-,170.47,-,132.99,-,131.86,-,128.28,-,122.31,-,111.85,111.85,109.28,109.28
46,Construction In Progress,-,32.78,-,36.17,-,0.28,-,0.28,-,0.28,-,0.28,0.28,0.28,0.28
