,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
13,Earnings From Equity Investments,-,-,-,-,-,-,-,-,0.03,-0.03,-,-
14,Currency Exchange Gain (Loss),-,-2.54,2.54,-,2.63,-13.97,13.97,-,28.36,-17.21,17.21,-
15,Other Non Operating Income (Expenses),-7.34,7.35,2.38,-1.97,-8.38,8.52,9.9,-4.14,-43.83,46.18,-3.27,-3.39
16,EBT Excluding Unusual Items,11.05,82.45,98.84,107.98,62.91,96.04,69.47,30.96,-27.99,61.16,74.1,128.37
17,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,0.03,0.03,-0.03,-
18,Gain (Loss) on Sale of Assets,-0.28,0.03,0,0.24,0.24,-,0.01,-,-,0.06,-,-
19,Asset Writedown,19.38,-19.38,7.89,-7.89,11.16,-11.16,-,-,17.94,-17.94,0.3,-0.3
20,Other Unusual Items,-1.74,3.51,-2.05,0.28,6.65,-,-,-,5.6,-,-,-
21,Pretax Income,28.41,66.62,104.68,100.61,80.96,84.88,69.48,30.96,-4.42,43.31,74.36,128.07
22,Income Tax Expense,-3.02,-0.02,0.08,0.06,-0.2,5.31,-0.19,-,-4.72,0.03,-0.2,-
23,Net Income,31.43,66.63,104.6,100.55,81.15,79.57,69.67,30.96,0.3,43.28,74.57,128.07
24,Net Income to Common,31.43,66.63,104.6,100.55,81.15,79.57,69.67,30.96,0.3,43.28,74.57,128.07
25,Net Income Growth,-61.27%,-16.27%,50.13%,224.79%,27071.13%,83.87%,-6.56%,-75.83%,-,-,-,-
26,Shares Outstanding (Basic),411,419,436,419,432,427,332,442,363,361,368,356
27,Shares Outstanding (Diluted),411,419,436,437,458,427,332,442,363,361,368,356
28,Shares Change (YoY),-10.37%,-1.90%,31.35%,-1.15%,26.04%,18.29%,-9.82%,24.32%,-,-,-,-
29,EPS (Basic),0.08,0.16,0.24,0.24,0.19,0.19,0.21,0.07,0.00,0.12,0.20,0.36
30,EPS (Diluted),0.08,0.16,0.24,0.23,0.18,0.19,0.21,0.07,0.00,0.12,0.20,0.36
31,EPS Growth,-56.79%,-14.65%,14.30%,228.57%,21479.90%,55.44%,3.61%,-80.56%,-,-,-,-
32,Free Cash Flow,-,149.47,153.84,69.59,-167.05,-84.5,181.82,-27.57,46.23,72.59,85.4,97.95
33,Free Cash Flow Per Share,-,0.36,0.35,0.16,-0.36,-0.20,0.55,-0.06,0.13,0.20,0.23,0.28
34,Dividend Per Share,-,-,0.100,-,0.280,-,-,-,0.200,-,-,-
35,Dividend Growth,-,-,-,-,40.00%,-,-,-,-,-,-,-
36,Gross Margin,268.11%,41.24%,38.89%,42.57%,40.44%,43.66%,40.80%,41.23%,32.26%,48.00%,38.60%,44.47%
37,Operating Margin,9.23%,10.13%,12.17%,15.56%,9.63%,16.42%,9.01%,10.87%,-6.09%,11.58%,16.99%,31.22%
38,Profit Margin,4.70%,10.27%,16.14%,16.71%,14.12%,14.59%,18.59%,10.84%,0.12%,16.05%,21.01%,30.45%
39,Free Cash Flow Margin,-,23.03%,23.73%,11.56%,-29.08%,-15.49%,48.51%,-9.65%,18.09%,26.92%,24.06%,23.29%
40,EBITDA,64.34,68.41,84.45,96.36,58.01,91.71,37.13,33.23,-13.41,32.17,63.28,132.25
41,EBITDA Margin,9.63%,10.54%,13.03%,16.01%,10.10%,16.81%,9.91%,11.63%,-5.25%,11.93%,17.83%,31.44%
42,D&A For EBITDA,2.69,2.69,5.59,2.69,2.69,2.16,3.34,2.16,2.16,0.94,2.97,0.94
43,EBIT,61.65,65.72,78.86,93.67,55.32,89.54,33.78,31.06,-15.58,31.23,60.31,131.31
44,EBIT Margin,9.23%,10.13%,12.17%,15.56%,9.63%,16.42%,9.01%,10.87%,-6.09%,11.58%,16.99%,31.22%
45,Effective Tax Rate,-,-,0.08%,0.06%,-,6.26%,-,-,-,0.07%,-,-
46,Revenue as Reported,-,649,648.25,601.85,574.55,545.4,374.79,285.67,255.6,269.64,354.96,420.58
