,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
21,Current Ratio,1.28,1.28,1.31,1.44,1.42,1.44,1.48,1.65,1.65,1.59,1.60,2.44,2.45,3.43,1.25,-,1.44,-,-,-
22,Return on Equity (ROE),-13.77%,-14.73%,-5.07%,2.29%,-0.34%,2.51%,-1.71%,-6.87%,-9.48%,-9.08%,-0.27%,0.97%,6.97%,18.24%,39.99%,-,-,-,-,
23,Return on Assets (ROA),-3.44%,-6.40%,-2.12%,0.64%,-0.15%,0.27%,-1.03%,-6.73%,-1.62%,-3.73%,-0.97%,-1.82%,3.62%,-,-,-,-,-,-,
24,Return on Capital (ROIC),-4.10%,-7.49%,-2.45%,0.75%,-0.17%,0.31%,-1.18%,-8.55%,-2.16%,-4.56%,-1.17%,-2.20%,4.64%,11.18%,22.05%,-,-,-,-,
25,Return on Capital Employed (ROCE),-,-,-,-,-0.13%,-,-5.83%,-,-,-,-,-,-,7.46%,24.64%,-,26.59%,-,-,-
26,Earnings Yield,-4.73%,-3.76%,-2.10%,0.42%,0.53%,-0.25%,-1.30%,-3.23%,-4.02%,-2.45%,-0.12%,1.33%,1.62%,2.53%,-,-,-,-,-,-
27,FCF Yield,-5.17%,-4.11%,-9.61%,-6.56%,-3.71%,-4.19%,-2.80%,-6.16%,-14.86%,-12.61%,-7.37%,-4.03%,-0.06%,-1.56%,-,-,-,-,-,-
28,Dividend Yield,0.57%,-,-,-,0.32%,-,-,-,-,-,-,-,0.85%,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,-,-,6.18%,22.71%,19.34%,-,-,-,-,38.41%,112.45%,6.22%,6.69%,2.95%,2.56%,2.86%,59.50%,59.50%
30,Buyback Yield / Dilution,2.02%,-10.51%,8.91%,1.62%,-1.65%,9.46%,-12.22%,-0.47%,-1.80%,-20.45%,-31.25%,-33.22%,-32.21%,-11.43%,-,-,-,-,-,-
31,Total Shareholder Return,2.60%,-10.51%,8.91%,1.62%,-1.33%,9.46%,-12.22%,-0.47%,-1.80%,-20.45%,-31.25%,-33.22%,-31.35%,-11.43%,-,-,-,-,-,-
