,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
16,Debt / FCF Ratio,-,-,-,-13.58,-,-3.04,-,-,-,-,-,1.37,-,-2.52,-,-,-,6.10,-,7.59,-
17,Asset Turnover,-,0.64,0.83,0.86,0.81,0.56,0.81,0.74,0.75,0.70,1.10,0.64,1.31,0.92,0.97,0.78,-,-,-,-,
18,Inventory Turnover,-,-,3.67,4.76,4.07,4.36,3.02,4.07,3.11,3.40,2.92,4.15,2.38,5.85,4.07,4.77,4.20,-,-,-,-
19,Quick Ratio,-,-,0.73,0.84,0.80,0.85,0.94,0.94,1.00,1.07,1.04,0.98,1.01,1.18,1.11,1.20,1.23,1.10,-,1.21,-
20,Current Ratio,-,-,1.06,1.14,1.16,1.24,1.32,1.27,1.41,1.54,1.55,1.42,1.49,1.53,1.51,1.54,1.53,1.35,-,1.38,-
21,Return on Equity (ROE),-11.38%,-22.53%,-24.86%,0.79%,-30.41%,-33.11%,-12.68%,2.48%,3.71%,-1.52%,13.84%,1.87%,20.96%,0.10%,10.49%,-0.66%,-,-,13.19%,-,
22,Return on Assets (ROA),-,-2.23%,-4.77%,0.56%,-8.98%,-6.56%,-3.50%,1.51%,-3.09%,2.66%,4.55%,1.99%,4.40%,1.54%,4.28%,0.21%,-,-,-,-,
23,Return on Capital (ROIC),-10.22%,-3.27%,-6.75%,0.76%,-11.76%,-8.58%,-4.75%,2.04%,-4.40%,4.27%,7.33%,2.98%,6.17%,2.14%,6.20%,0.32%,-,-,11.09%,-,
24,Return on Capital Employed (ROCE),-,-,-,-,-15.63%,-,-,-,4.82%,-,11.33%,10.47%,9.57%,8.34%,12.02%,11.54%,13.25%,17.41%,-,6.08%,-
25,Earnings Yield,-2.48%,-2.69%,-3.24%,-5.24%,-3.46%,-3.10%,-2.21%,-0.33%,1.44%,1.84%,3.27%,2.85%,2.09%,1.56%,1.84%,1.81%,3.23%,-,-,-,-
26,FCF Yield,-,-0.05%,-2.29%,-5.59%,-6.07%,-15.11%,-11.89%,-7.02%,-8.05%,9.66%,10.45%,-0.33%,-4.64%,-6.41%,-6.19%,-1.08%,-,-,-,-,
27,Dividend Yield,0.00%,-,-,-,-,-,-,-,-,0.58%,-,-,-,0.48%,-,-,-,-,-,-,-
28,Payout Ratio,0.00%,-,-,-,202.22%,-,-,-,64.00%,67.45%,-,16.75%,126.20%,10.69%,1065.20%,21.02%,-,4.99%,20.23%,21.48%,-
29,Buyback Yield / Dilution,-0.15%,0.06%,-0.59%,-1.25%,1.16%,0.47%,0.82%,1.41%,0.39%,0.64%,1.01%,-84.46%,20.74%,-25.00%,-25.35%,32.86%,-57.69%,-,-,-,-
30,Total Shareholder Return,-0.15%,0.06%,-0.59%,-1.25%,1.16%,0.47%,0.82%,1.41%,0.39%,1.22%,1.01%,-84.46%,20.74%,-24.52%,-25.35%,32.86%,-57.69%,-,-,-,-
