,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q1 2021
13,Currency Exchange Gain (Loss),-0.22,0.22,-,-0.59,-1.31,1.31,-,0.99,-0.23,0.23,-,-0.14
14,Other Non Operating Income (Expenses),-3.78,0.46,-0.68,-0.83,-1.64,-0.15,0.08,-0.08,-0.07,0.29,-0.34,-0.05
15,EBT Excluding Unusual Items,13.17,-15.56,10.64,104.08,40.33,36.86,28.18,51.95,24.36,37.15,21.05,14.8
16,Gain (Loss) on Sale of Investments,-4.1,-1.45,6.1,-8.23,1.14,8.57,3.48,0.94,0.44,-0.54,0.71,-
17,Gain (Loss) on Sale of Assets,0.27,0.09,-0,0.01,-0,-0,0,-,0.58,0,-0.01,-
18,Asset Writedown,-5.37,0.58,-0.58,-,-,-,-,-,-,-,-,-
19,Other Unusual Items,-9.01,4.87,4.13,8.66,0.23,-0.23,-,7.78,-0.17,0.17,-,0.56
20,Pretax Income,-5.04,-11.47,20.29,104.52,41.7,45.19,31.67,60.67,25.2,36.79,21.75,15.36
21,Income Tax Expense,-3.92,-5.4,1.4,11.73,2.1,4.13,2.43,6.42,1.72,3.66,1.23,1.44
22,Net Income,-1.11,-6.07,18.89,92.79,39.61,41.07,29.23,54.25,23.48,33.13,20.51,13.92
23,Net Income to Common,-1.11,-6.07,18.89,92.79,39.61,41.07,29.23,54.25,23.48,33.13,20.51,13.92
24,Net Income Growth,-,-,-35.39%,71.03%,68.66%,23.97%,42.51%,289.62%,-,-,-,-
25,Shares Outstanding (Basic),109,89,94,96,94,95,95,80,71,71,72,71
26,Shares Outstanding (Diluted),109,89,94,96,94,95,95,80,71,71,72,71
27,Shares Change (YoY),16.16%,-6.49%,-0.80%,20.27%,31.87%,33.08%,32.58%,11.73%,-,-,-,-
28,EPS (Basic),-0.01,-0.07,0.20,0.97,0.42,0.43,0.31,0.68,0.33,0.47,0.29,0.20
29,EPS (Diluted),-0.01,-0.07,0.20,0.97,0.42,0.43,0.31,0.68,0.33,0.47,0.29,0.19
30,EPS Growth,-,-,-34.87%,42.21%,27.90%,-6.85%,7.49%,252.55%,-,-,-,-
31,Free Cash Flow,-28.78,-26.15,-76.67,41.35,-39.83,13.88,-18,-13.75,18.35,42.5,11.1,-59.22
32,Free Cash Flow Per Share,-0.26,-0.30,-0.81,0.43,-0.42,0.15,-0.19,-0.17,0.26,0.60,0.15,-0.83
33,Dividend Per Share,-,-,-,0.571,-,-,-,0.600,-,-,-,-
34,Dividend Growth,-,-,-,-4.77%,-,-,-,-,-,-,-,-
35,Gross Margin,47.61%,35.42%,47.42%,46.52%,50.84%,44.40%,45.81%,43.70%,36.91%,41.66%,46.20%,44.35%
36,Operating Margin,1.93%,-21.20%,4.65%,19.71%,15.61%,14.73%,16.84%,19.73%,15.77%,21.22%,20.17%,16.75%
37,Profit Margin,-0.68%,-5.11%,13.23%,20.52%,18.46%,18.64%,22.03%,21.26%,15.30%,20.41%,18.94%,16.02%
38,Free Cash Flow Margin,-17.52%,-22.01%,-53.71%,9.14%,-18.56%,6.30%,-13.56%,-5.39%,11.96%,26.19%,10.25%,-68.14%
39,EBITDA,4.23,-24.2,7.69,90.18,34.24,33.45,23.09,51.08,24.79,35.08,22.42,15.06
40,EBITDA Margin,2.58%,-20.36%,5.39%,19.94%,15.95%,15.18%,17.40%,20.01%,16.15%,21.62%,20.70%,17.32%
41,D&A For EBITDA,1.06,0.99,1.06,1.06,0.74,0.99,0.74,0.74,0.58,0.65,0.58,0.5
42,EBIT,3.17,-25.19,6.64,89.13,33.5,32.46,22.35,50.34,24.21,34.43,21.84,14.56
43,EBIT Margin,1.93%,-21.20%,4.65%,19.71%,15.61%,14.73%,16.84%,19.73%,15.77%,21.22%,20.17%,16.75%
44,Effective Tax Rate,-,-,6.91%,11.22%,5.03%,9.14%,7.68%,10.58%,6.82%,9.94%,5.67%,9.36%
45,Revenue as Reported,164.25,118.84,142.73,452.28,214.6,220.36,132.71,255.2,153.45,162.29,108.31,86.91
