,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
9,P/OCF Ratio,27.41,-,9.31,15.24,16.48,-,94.75,-42.46,-52.91,-,-,-68.99,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,1.49,1.52,1.32,1.50,1.78,1.85,2.20,1.61,1.37,1.32,1.73,1.74,2.20,2.95,-,-,-,-,-,-
11,EV/EBITDA Ratio,14.69,15.48,13.31,14.00,14.69,16.80,19.41,13.87,12.17,13.44,17.79,18.37,24.10,28.86,-,-,-,-,-,-
12,EV/EBIT Ratio,17.29,17.63,15.07,15.61,16.06,18.26,21.06,15.04,13.17,14.77,19.51,20.14,26.55,32.00,-,-,-,-,-,-
13,EV/FCF Ratio,29.18,-,9.02,16.31,17.86,-,-,-35.56,-41.20,-,-,-48.88,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.05,0.05,0.05,0.10,0.11,0.11,0.11,0.12,0.12,0.13,0.11,0.09,0.08,0.08,0.11,0.13,0.13,0.13,0.20,0.27
15,Debt / EBITDA Ratio,0.39,0.47,0.57,1.30,0.50,1.14,0.80,0.72,0.51,1.12,0.73,0.45,0.56,0.67,0.55,0.59,0.93,0.93,0.39,-
16,Debt / FCF Ratio,0.78,-,0.28,0.96,0.89,-,-,-1.95,-2.53,-,-,-1.56,-,-,-,-,0.70,1.08,-,3.47
17,Asset Turnover,0.51,0.54,0.46,0.92,0.46,0.64,0.52,1.27,0.47,0.60,0.74,1.24,0.53,-,-,0.78,0.82,-,-,
18,Inventory Turnover,2.00,1.68,2.02,1.72,3.16,1.59,2.44,1.86,4.16,1.33,2.00,2.26,3.33,1.21,-,-,1.86,1.96,-,-
19,Quick Ratio,1.10,1.10,1.19,1.13,1.15,1.08,1.23,1.14,1.15,0.95,1.14,1.14,1.01,0.84,0.73,-,0.67,0.67,0.66,-
20,Current Ratio,1.72,1.72,1.75,1.64,1.66,1.66,1.68,1.63,1.61,1.66,1.72,1.69,1.63,1.67,1.42,-,1.31,1.31,1.28,-
21,Return on Equity (ROE),3.28%,6.28%,6.91%,20.17%,5.73%,12.43%,11.40%,24.05%,6.67%,12.48%,14.40%,16.31%,8.23%,17.41%,17.26%,13.18%,14.03%,40.17%,-,
22,Return on Assets (ROA),2.82%,2.07%,2.06%,6.19%,2.78%,4.01%,4.69%,6.88%,3.36%,4.27%,5.60%,3.89%,3.51%,-,-,2.85%,2.98%,-,-,
23,Return on Capital (ROIC),5.12%,3.81%,3.76%,11.12%,4.99%,7.22%,8.59%,12.48%,5.92%,7.63%,10.48%,7.41%,7.04%,9.97%,11.19%,6.71%,6.93%,26.38%,-,
24,Return on Capital Employed (ROCE),9.49%,9.49%,9.47%,10.73%,12.63%,13.22%,13.47%,13.45%,13.93%,12.12%,12.43%,12.21%,11.72%,10.61%,13.41%,-,13.57%,10.88%,9.30%,-
25,Earnings Yield,4.64%,4.28%,5.43%,5.77%,5.26%,4.74%,4.09%,5.76%,6.65%,5.83%,4.30%,4.17%,3.31%,2.69%,-,-,-,-,-,-
26,FCF Yield,3.20%,2.95%,9.79%,5.89%,5.41%,1.76%,0.67%,-2.76%,-2.38%,-4.60%,-5.11%,-1.86%,-5.00%,-2.95%,-,-,-,-,-,-
27,Dividend Yield,0.54%,-,-,-,0.47%,-,-,-,0.58%,-,-,-,0.89%,-,-,-,-,-,-,-
28,Payout Ratio,13.59%,121.08%,3.55%,3.17%,1.15%,76.51%,2.37%,2.65%,1.36%,4.90%,101.24%,1.52%,1.26%,2.90%,0.94%,2.68%,5.27%,5.27%,5.06%,-
29,Buyback Yield / Dilution,-1.59%,-2.96%,5.21%,0.03%,-8.81%,-1.67%,4.50%,0.00%,6.08%,-19.25%,-36.72%,-33.39%,-35.44%,-4.93%,-1.33%,-,-,-,-,-
30,Total Shareholder Return,-1.06%,-2.96%,5.21%,0.03%,-8.35%,-1.67%,4.50%,0.00%,6.66%,-19.25%,-36.72%,-33.39%,-34.56%,-4.93%,-1.33%,-,-,-,-,-
