,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
23,Long-Term Deferred Tax Liabilities,20.66,20.46,22.34,23.9,30.08,31.47,23.45,23.96,24.74,7.14,6.83,9.28,-,-,-,-,-,-,-,-
24,Other Long-Term Liabilities,-,0.17,0.17,0.17,0.17,0.17,-,-,-,0.26,0.26,0.26,-,-,-,-,-,0.06,-,0.3
25,Total Liabilities,4745,4799,4832,4931,5051,5015,4782,4825,4887,4213,3975,3773,2736,2702,2727,494.18,502.18,504.75,-,534.93
26,Common Stock,153.6,153.6,153.6,153.6,153.6,153.6,153.6,153.6,153.6,80.84,80.84,80.84,80.84,80.84,53.9,40.42,40.42,40.42,-,40.42
27,Additional Paid-In Capital,1189,1190,1190,1190,1190,1190,1190,1190,1190,1262,1262,1261,1258,1317,1341,728.45,725.31,722.17,-,715.9
28,Retained Earnings,2.79,-5.91,-6.95,-19.47,-25.41,-45.54,-50.22,-52.7,-26.33,-34.39,-59.56,-85.2,-44.6,-80.59,-47.32,176.03,144.77,125.04,-,107.63
29,Treasury Stock,-88.01,-88.01,-68.39,-38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30,Comprehensive Income & Other,0.49,0.49,0.43,0.45,0.44,0.44,0.39,0.39,0.33,0.34,0.38,0.38,-1.58,-1.58,-11.49,-11.49,-11.26,-11.24,-,-6.62
31,Total Common Equity,1257,1250,1268,1286,1318,1298,1293,1291,1317,1309,1284,1257,1293,1315,1336,933.41,899.25,876.39,857.33,857.33
32,Minority Interest,115.49,116.69,106.9,103.22,103.51,98.28,52.02,51.68,46.01,12.81,11.98,11.58,25.64,21.42,21.01,19.32,16.89,14.81,-,12.44
33,Shareholders' Equity,1373,1367,1375,1389,1422,1396,1345,1343,1363,1322,1296,1269,1319,1337,1357,952.73,916.14,891.2,869.77,869.77
34,Total Liabilities & Equity,6118,6166,6207,6321,6473,6412,6127,6168,6250,5535,5271,5043,4054,4038,4084,1447,1418,1396,-,1405
35,Total Debt,4030,4075,4081,4159,4231,4231,4141,4188,4277,3747,3521,3299,2297,2277,2326,7.51,7.46,4.9,8.15,8.15
36,Net Cash / Debt,-3542,-3581,-3619,-3790,-3686,-3649,-3416,-3387,-3302,-2739,-2505,-2223,-1018,-970.52,-1029,643.86,607.76,581.25,567.09,567.09
37,Net Cash Growth,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13.54%,-,-,-,-
38,Net Cash Per Share,-24.20,-23.72,-24.09,-25.37,-23.99,-27.76,-22.04,-21.97,-21.05,-17.74,-16.32,-16.34,-6.80,-5.84,-7.60,38.71,2.84,5.03,4.92,4.94
39,Filing Date Shares Outstanding,146.38,146.38,148.3,151.14,153.6,153.6,153.6,153.6,153.6,153.6,153.6,153.6,153.6,153.6,153.6,153.6,115.2,115.2,115.31,115.2
40,Total Common Shares Outstanding,146.38,146.38,148.3,151.14,153.6,153.6,153.6,153.6,153.6,153.6,153.6,153.6,153.6,153.6,153.6,115.2,115.2,115.2,115.31,115.2
41,Book Value Per Share,8.59,8.54,8.55,8.51,8.58,8.45,8.42,8.40,8.58,8.52,8.36,8.19,8.42,8.56,8.70,8.10,7.81,7.61,7.44,7.44
42,Tangible Book Value,1248,1240,1259,1277,1309,1289,1284,1281,1308,1308,1283,1256,1287,1309,1330,926.54,892.87,869.89,850.2,850.2
43,Tangible Book Value Per Share,8.52,8.47,8.49,8.45,8.52,8.39,8.36,8.34,8.52,8.52,8.35,8.18,8.38,8.52,8.66,8.04,7.75,7.55,7.38,7.38
44,Construction In Progress,-,37.71,-,31.65,-,122.68,-,93.1,-,233.89,-,72.61,-,11.89,-,2.32,-,7.24,-,2.07
