,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
15,Other Intangible Assets,30.21,30.34,30.75,30.18,29.79,29.93,30.22,7.83,-,8.06,7.79,7.89,7.89,7.95,-,8.09
16,Long-Term Deferred Tax Assets,11.07,10.02,7.64,8.51,7.35,7.18,7.71,8.52,-,2.71,1.8,1.22,1.22,1.06,-,1.16
17,Long-Term Deferred Charges,15.03,2.84,0.87,0.4,1.77,0.22,-,-,-,-,-,-,-,-,-,-
18,Other Long-Term Assets,14.49,20.21,12.4,10.13,10.07,6.22,2.53,2.56,-,0.15,0.24,0.23,0.23,0.27,-,-
19,Total Assets,856.99,846.07,867.1,855.54,837.03,842.9,838.93,857.07,-,815.88,830.29,826.2,826.2,431.35,-,383.78
20,Accounts Payable,43.45,33.66,35.83,34.87,22.24,26.43,25.25,29.04,-,25.78,22.86,37.59,37.59,40.84,-,26.2
21,Accrued Expenses,5.56,10.44,5.38,11.4,5.87,10.06,5.22,17.25,-,9.9,4.06,9.38,9.38,8.5,-,10.39
22,Current Portion of Leases,1.23,0.84,3.8,3.87,3.5,2.47,0.89,0.16,-,0.63,0.86,0.93,0.93,0.91,-,-
23,Current Income Taxes Payable,4.85,-0.9,3.18,0.2,4.03,0.7,10.75,9.85,-,5.22,9.57,5.09,5.09,3.55,-,0.3
24,Current Unearned Revenue,10.56,12.06,6.59,5.39,4.6,8.31,10.82,26.88,-,6.86,12,5.66,5.66,3.39,-,4.81
25,Other Current Liabilities,9.39,8.77,9.9,10.24,9.65,9.99,7.03,10.19,-,7.39,7.44,7.44,7.44,7.61,-,6.38
26,Total Current Liabilities,75.05,64.87,64.68,65.97,49.88,57.96,59.97,93.36,-,55.77,56.79,66.08,66.08,64.8,-,48.08
27,Long-Term Leases,1.87,-,9.97,10.09,9.7,10.37,0.85,-,-,-,-,0.16,0.16,0.63,-,-
28,Long-Term Unearned Revenue,0.86,1.05,1.27,1.28,1.52,4.15,4.62,5.04,-,7,7.75,7.45,7.45,8.96,-,9.21
29,Long-Term Deferred Tax Liabilities,-,-,-,-,-,-,-,-,-,2.39,1.84,1.66,1.66,2.82,-,3.07
30,Total Liabilities,77.78,65.92,75.93,77.33,61.11,72.48,65.44,98.39,-,65.16,66.38,75.34,75.34,77.21,-,60.37
31,Common Stock,160,160,160,160,160,160,160,160,-,160,160,160,160,120,-,120
32,Additional Paid-In Capital,406.94,406.94,406.94,406.94,406.94,406.94,406.94,406.94,-,406.94,406.94,406.94,406.94,77.23,-,76.67
33,Retained Earnings,206.94,208.34,220.97,209.23,206.22,200.54,206.55,191.73,-,183.78,196.97,183.91,183.91,156.91,-,126.73
34,Total Common Equity,773.88,775.28,787.91,776.17,773.16,767.48,773.49,758.67,-,750.72,763.91,750.85,750.85,354.15,323.41,323.41
35,Minority Interest,5.32,4.87,3.26,2.03,2.75,2.94,-0,-0,-,-,-,-,-,-,-,-
36,Shareholders' Equity,779.21,780.15,791.17,778.21,775.91,770.42,773.49,758.67,-,750.72,763.91,750.85,750.85,354.15,323.41,323.41
37,Total Liabilities & Equity,856.99,846.07,867.1,855.54,837.03,842.9,838.93,857.07,-,815.88,830.29,826.2,826.2,431.35,-,383.78
38,Total Debt,3.1,0.84,13.77,13.95,13.2,12.84,1.74,0.16,-,0.63,0.86,1.09,1.09,1.53,-,-
39,Net Cash (Debt),332.83,317.14,324.15,331.15,332,389.86,409.15,451.35,-,527.56,556.82,552.72,552.72,163.18,134.42,134.42
40,Net Cash Growth,0.25%,-18.65%,-20.78%,-26.63%,-,-26.10%,-26.52%,-18.34%,-,223.29%,314.24%,311.19%,-,-,-,-
41,Net Cash Per Share,2.08,2.08,1.93,2.15,2.03,2.50,2.49,2.88,-,3.37,3.40,4.67,4.67,1.30,1.18,1.11
42,Filing Date Shares Outstanding,160,160,160,160,160,160,160,160,159.8,160,160,160,160,120,114.21,120
43,Total Common Shares Outstanding,160,160,160,160,160,160,160,160,159.8,160,160,160,160,120,114.21,120
44,Working Capital,455.95,447.42,448.6,443.69,441.21,493.02,500.35,507.59,-,626.46,658.52,642.77,642.77,250.65,-,234.96
45,Book Value Per Share,4.84,4.85,4.92,4.85,4.83,4.80,4.83,4.74,-,4.69,4.77,4.69,4.69,2.95,2.70,2.70
46,Tangible Book Value,736.68,744.94,757.17,745.99,743.37,737.54,743.27,750.85,-,742.66,756.12,742.96,742.96,346.19,315.31,315.31
47,Tangible Book Value Per Share,4.60,4.66,4.73,4.66,4.65,4.61,4.65,4.69,-,4.64,4.73,4.64,4.64,2.88,2.63,2.63
48,Buildings,-,68.76,-,68.76,-,74.58,-,74.73,-,81.07,-,79.72,79.72,80.77,-,-
49,Machinery,-,78.18,-,78.07,-,78.8,-,78.59,-,90.86,-,93.14,93.14,99.35,-,-
50,Construction In Progress,-,-,-,0.72,-,0.72,-,0.72,-,0.5,-,-,-,-,-,-
