,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
23,Net Income,-1,3.37,11.74,3.01,5.69,9.99,14.82,2.31,5.65,12.37,13.1,13.5,13.5,19.9,10.28,16.88
24,Net Income to Common,-1,3.37,11.74,3.01,5.69,9.99,14.82,2.31,5.65,12.37,13.1,13.5,13.5,19.9,10.28,16.88
25,Net Income Growth,-,-66.30%,-20.78%,30.49%,0.65%,-19.23%,13.13%,-82.91%,-58.15%,-37.87%,27.41%,-20.03%,-,-,-,-
26,Shares Outstanding (Basic),160,152,168,154,163,156,165,157,160,156,164,118,118,126,114,121
27,Shares Outstanding (Diluted),160,152,168,154,163,156,165,157,160,156,164,118,118,126,114,121
28,Shares Change (YoY),-1.93%,-2.40%,1.86%,-1.62%,2.19%,-0.21%,0.56%,32.49%,35.14%,24.30%,43.34%,-1.96%,-,-,-,-
29,EPS (Basic),-0.01,0.02,0.07,0.02,0.03,0.06,0.09,0.01,0.04,0.08,0.08,0.11,0.11,0.16,0.09,0.14
30,EPS (Diluted),-0.01,0.02,0.07,0.02,0.03,0.06,0.09,0.01,0.04,0.08,0.08,0.11,0.11,0.16,0.09,0.14
31,EPS Growth,-,-65.48%,-22.22%,32.65%,-1.51%,-19.06%,12.50%,-87.10%,-69.03%,-50.01%,-11.11%,-18.43%,-,-,-,-
32,Free Cash Flow,-9.65,-26.79,-4.01,-1.31,-9.7,2.5,-42.89,53.61,-10.92,9.79,11.86,10.12,10.12,32.01,16.29,38.7
33,Free Cash Flow Per Share,-0.06,-0.18,-0.02,-0.01,-0.06,0.02,-0.26,0.34,-0.07,0.06,0.07,0.09,0.09,0.25,0.14,0.32
34,Dividend Per Share,-,-,-,0.100,-,-,-,0.100,-,-,-,-,-,-,-,-
35,Gross Margin,56.98%,57.40%,65.31%,67.85%,71.00%,64.92%,67.31%,65.30%,68.17%,65.95%,70.35%,68.78%,68.78%,71.99%,66.15%,64.64%
36,Operating Margin,-9.64%,-0.01%,10.79%,2.53%,3.82%,10.16%,16.59%,1.23%,3.56%,12.91%,17.91%,16.36%,16.36%,21.14%,13.71%,17.97%
37,Profit Margin,-1.31%,4.15%,16.49%,3.49%,9.61%,14.79%,18.68%,2.98%,7.86%,16.73%,21.76%,14.78%,14.78%,19.18%,16.22%,18.42%
38,Free Cash Flow Margin,-12.63%,-33.00%,-5.63%,-1.52%,-16.39%,3.70%,-54.08%,69.27%,-15.20%,13.25%,19.70%,11.08%,11.08%,30.85%,25.71%,42.24%
39,EBITDA,-4.75,2.62,10.29,4.79,5.09,9.5,15.98,3.78,6.08,12.42,14.3,18.48,18.48,25.45,11.54,19.88
40,EBITDA Margin,-6.22%,3.23%,14.45%,5.55%,8.59%,14.07%,20.15%,4.89%,8.46%,16.80%,23.76%,20.23%,20.23%,24.52%,18.21%,21.70%
41,D&A For EBITDA,2.61,2.63,2.61,2.61,2.83,2.64,2.83,2.83,3.52,2.87,3.52,3.53,3.53,3.51,2.85,3.42
42,EBIT,-7.36,-0.01,7.68,2.18,2.26,6.86,13.15,0.95,2.56,9.54,10.78,14.94,14.94,21.94,8.69,16.46
43,EBIT Margin,-9.64%,-0.01%,10.79%,2.53%,3.82%,10.16%,16.59%,1.23%,3.56%,12.91%,17.91%,16.36%,16.36%,21.14%,13.71%,17.97%
44,Effective Tax Rate,-,-,15.18%,1.04%,8.79%,13.99%,14.88%,-,2.72%,12.99%,9.96%,14.75%,14.75%,15.06%,11.55%,16.36%
45,Revenue as Reported,76.37,81.18,71.2,86.35,59.21,67.53,79.3,77.38,71.86,73.92,60.18,91.33,91.33,103.77,63.35,-
