,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
13,Currency Exchange Gain (Loss),-,3.42,-3.42,-,-4.1,2.83,-2.83,-,-0.73,0.15,-0.15,-,-0.27,-0.27,0.09,0.84
14,Other Non Operating Income (Expenses),3.09,-3.24,1.06,-1.16,2.82,-3.45,-1.09,0.1,1.44,-1.55,-0.33,-0.28,-0.25,-0.25,0.58,-0.18
15,EBT Excluding Unusual Items,14.42,47.45,24.99,50.36,-60.18,15.39,-1.9,0.47,-59.32,6.84,49.43,73.23,192.47,192.47,235.41,62.36
16,Gain (Loss) on Sale of Investments,12.8,44.96,-32.35,-25.41,9.2,-28.24,-20.22,46.34,20.09,29.47,-41.32,-42.13,94.07,94.07,0.12,0.64
17,Gain (Loss) on Sale of Assets,-0.02,0,-0.01,0.02,0.15,0.01,0.01,-,-0.06,0.04,-0.04,-,0,0,-,-
18,Asset Writedown,-2.69,2.69,-3.33,3.33,23.95,-23.95,-,-,5.25,-5.25,1.78,-1.78,-,-,0.51,-0.51
19,Other Unusual Items,0.08,-22.84,22.78,-0.02,5.44,-0.03,0.03,-,17.19,-0.05,0.05,-,2.39,2.39,-,-
20,Pretax Income,24.59,72.26,12.09,28.28,-21.44,-36.82,-22.09,46.81,-16.85,31.04,9.91,29.31,288.93,288.93,236.04,62.49
21,Income Tax Expense,0.69,3.94,-2.1,-0.55,-5.42,-4.35,-5.42,3.6,-5.94,5.39,-7.53,2.14,25.7,25.7,34.97,4.97
22,Net Income,23.91,68.32,14.19,28.83,-16.02,-32.47,-16.67,43.21,-10.91,25.65,17.44,27.17,263.22,263.22,201.08,57.52
23,Net Income to Common,23.91,68.32,14.19,28.83,-16.02,-32.47,-16.67,43.21,-10.91,25.65,17.44,27.17,263.22,263.22,201.08,57.52
24,Net Income Growth,-,-,-,-33.28%,-,-,-,59.05%,-,-90.26%,-91.32%,-52.77%,-,-,-,-
25,Shares Outstanding (Basic),398,411,370,412,400,1020,366,393,342,368,347,340,338,338,333,338
26,Shares Outstanding (Diluted),398,411,370,412,400,1020,366,393,342,368,347,340,338,338,333,338
27,Shares Change (YoY),-0.39%,-59.74%,1.34%,4.84%,16.73%,177.52%,5.41%,15.67%,1.31%,8.74%,4.03%,0.35%,-,-,-,-
28,EPS (Basic),0.06,0.17,0.04,0.07,-0.04,-0.03,-0.05,0.11,-0.03,0.07,0.05,0.08,0.78,0.78,0.60,0.17
29,EPS (Diluted),0.06,0.17,0.04,0.07,-0.04,-0.03,-0.05,0.11,-0.03,0.07,0.05,0.08,0.78,0.78,0.60,0.17
30,EPS Growth,-,-,-,-36.36%,-,-,-,37.50%,-,-91.04%,-91.66%,-52.94%,-,-,-,-
31,Free Cash Flow,-,61.14,56.1,65.58,104.42,-21.06,21.37,-117.17,-31.99,-75.08,-91.36,-164.51,96.27,96.27,173.63,-6.75
32,Free Cash Flow Per Share,-,0.15,0.15,0.16,0.26,-0.02,0.06,-0.30,-0.09,-0.20,-0.26,-0.48,0.28,0.28,0.52,-0.02
33,Dividend Per Share,-,-,-,-,0.250,-,-,-,0.450,-,-,-,-,-,-,-
34,Dividend Growth,-,-,-,-,-44.44%,-,-,-,-,-,-,-,-,-,-,-
35,Gross Margin,-21.74%,27.44%,35.34%,26.75%,-6.63%,23.07%,10.55%,21.86%,8.23%,41.82%,38.63%,52.81%,71.20%,71.20%,72.55%,51.09%
36,Operating Margin,18.12%,16.53%,3.54%,22.21%,-26.08%,-0.92%,-9.96%,-7.25%,-53.94%,4.08%,24.01%,32.65%,53.09%,53.09%,63.73%,36.36%
37,Profit Margin,9.13%,30.95%,6.36%,14.03%,-6.41%,-18.49%,-10.64%,32.84%,-8.48%,27.37%,8.78%,12.59%,91.69%,91.69%,54.96%,34.04%
38,Free Cash Flow Margin,-,27.70%,25.13%,31.92%,41.80%,-12.00%,13.64%,-89.05%,-24.86%,-80.13%,-45.98%,-76.27%,33.53%,33.53%,47.46%,-4.00%
39,EBITDA,49.9,38.93,11.28,48.06,-62.7,0.47,-13.36,-7.45,-67.34,6.15,50.04,71.97,153.95,153.95,234.63,62.54
40,EBITDA Margin,19.05%,17.64%,5.05%,23.39%,-25.10%,0.27%,-8.53%,-5.66%,-52.32%,6.57%,25.19%,33.37%,53.62%,53.62%,64.13%,37.01%
41,D&A For EBITDA,2.44,2.44,3.37,2.44,2.44,2.09,2.23,2.09,2.09,2.33,2.33,1.54,1.52,1.52,1.46,1.11
42,EBIT,47.46,36.49,7.91,45.62,-65.14,-1.62,-15.59,-9.54,-69.43,3.82,47.71,70.43,152.43,152.43,233.17,61.43
43,EBIT Margin,18.12%,16.53%,3.54%,22.21%,-26.08%,-0.92%,-9.96%,-7.25%,-53.94%,4.08%,24.01%,32.65%,53.09%,53.09%,63.73%,36.36%
44,Effective Tax Rate,2.80%,5.46%,-,-,-,-,-,7.70%,-,17.38%,-,7.31%,8.90%,8.90%,14.81%,7.95%
45,Revenue as Reported,-,220.75,223.26,205.43,249.8,175.56,156.63,131.58,128.71,93.7,198.68,215.7,287.09,287.09,365.86,168.98
