,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q1 2020
12,Other Intangible Assets,17.28,17.43,17.58,17.74,1.79,1.79,1.86,1.8,1.82,1.77,1.84,1.73,1.79,1.91,-,1.88,-
13,Long-Term Deferred Tax Assets,74.52,71.37,67.52,69.42,97.61,91.94,90.7,93.12,77.4,75.85,67.15,70.73,62.96,55.52,-,54.96,-
14,Long-Term Deferred Charges,0.79,0.91,1.1,1.25,1.83,2.02,1.72,1.78,0.85,0.93,0.86,0.92,0.77,0.48,-,0.65,-
15,Other Long-Term Assets,110.11,111.47,92.11,88.86,115.65,117.02,44.77,45.89,53.38,54.36,54.74,56.23,50.31,52.9,-,48.88,-
16,Total Assets,3313,3364,3316,3346,3174,3293,2566,2644,2482,2513,2405,2534,2073,2013,-,1912,-
17,Accounts Payable,972.41,1014,951.3,1062,904.6,992.14,865.43,1012,882.23,928.75,863.05,1030,880.81,870.56,-,849.82,-
18,Accrued Expenses,8.35,129.42,5.91,124.14,7.38,110.02,5.96,109.9,7.26,104.7,4.88,96.43,13.69,94.84,-,89.81,-
19,Short-Term Debt,415.09,391.61,401.08,319.32,356.69,401.45,301.3,246.77,291.53,262.36,245.34,202.38,204,186.34,-,150.27,-
20,Current Portion of Long-Term Debt,6.11,7.76,8.33,6.51,4.17,4.01,5.22,4.01,6.34,4.01,16.05,14.03,15.41,14.03,-,-,-
21,Current Portion of Leases,-,2.34,-,2.76,-,0.75,-,1.92,-,2.45,-,2.77,-,2.44,-,-,-
22,Current Income Taxes Payable,122.82,9.11,132.48,22.24,128.75,17.48,129.35,34.12,124.35,21.8,105.59,35.73,115.78,20.6,-,29.87,-
23,Current Unearned Revenue,35.97,36.33,54.17,49.23,25.78,21.33,45.58,42.94,32.99,29.22,29.08,27.31,29.3,27.87,-,30.97,-
24,Other Current Liabilities,96.26,111.9,81.53,83.4,61.9,69.86,64.19,67.71,33.38,62.39,59.74,69.01,49.55,51.01,-,63.03,-
25,Total Current Liabilities,1657,1702,1635,1670,1489,1617,1417,1519,1378,1416,1324,1478,1309,1268,-,1214,-
26,Long-Term Debt,454.67,494.4,493.62,488.61,455.75,447.06,6.01,6.01,8.01,8.01,10.02,10.02,12.02,12.02,-,24.05,-
27,Long-Term Leases,7.93,7.85,8.76,8.67,0.15,-,0.13,-,0.17,0.61,0.94,1.01,2.11,1.72,-,-,-
28,Long-Term Deferred Tax Liabilities,0.3,0.31,0.13,0.08,0.09,0.17,0.03,0.09,0.03,0.06,0.03,0.05,-,-,-,-,-
29,Other Long-Term Liabilities,1.2,0.99,1.1,1.27,0.11,0.02,0.08,0.08,0.08,-,-,-,0.01,0.01,-,0.3,-
30,Total Liabilities,2121,2206,2138,2168,1945,2064,1423,1526,1386,1424,1335,1489,1323,1281,-,1238,-
31,Common Stock,164.77,158.41,158.41,158.4,158.4,158.4,105.6,105.6,105.6,105.6,105.6,105.6,79.2,79.2,-,79.2,-
32,Additional Paid-In Capital,474.88,431.29,432.38,432.34,432.32,432.32,485.12,485.12,485.12,485.12,485.12,485.12,225.24,225.24,-,225.24,-
33,Retained Earnings,523.45,532.2,537.82,523.11,544,547.2,534.33,512.45,492.42,485.68,469.4,447.82,438.79,421.44,-,362.94,-
34,Treasury Stock,-25.79,-21,-15.92,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35,Comprehensive Income & Other,39.06,42.99,42.45,42.45,69.9,69.9,0.12,0.12,0.12,0.12,0.13,0.13,0.15,0.18,-,0.67,-
36,Total Common Equity,1176,1144,1155,1156,1205,1208,1125,1103,1083,1077,1060,1039,743.38,726.06,668.05,668.05,597.93
37,Minority Interest,15.66,14.13,22.19,21.95,23.82,20.85,17.56,14.69,12.39,11.8,10.4,6.52,6.73,5.71,-,6.15,-
38,Shareholders' Equity,1192,1158,1177,1178,1228,1229,1143,1118,1096,1088,1071,1045,750.12,731.76,674.2,674.2,604.15
39,Total Liabilities & Equity,3313,3364,3316,3346,3174,3293,2566,2644,2482,2513,2405,2534,2073,2013,-,1912,-
40,Total Debt,883.81,903.96,911.78,825.86,816.76,853.27,312.67,258.71,306.05,277.44,272.34,230.21,233.54,216.55,174.31,174.31,158.88
41,Net Cash (Debt),-559.92,-544.96,-470.86,-293.47,-344.33,-201.84,-164.69,-12.95,-81.3,-151.17,-117.18,102.27,-197.67,-137.31,-13.6,-13.6,31.43
42,Net Cash Per Share,-3.32,-3.78,-2.88,-2.83,-1.45,-1.29,-1.05,-0.08,-0.50,-0.98,-0.72,0.76,-1.67,-1.16,-0.11,-0.11,-
43,Filing Date Shares Outstanding,161.27,155.53,156.27,156.27,158.4,158.4,158.4,158.4,158.4,158.4,158.4,158.4,158.4,118.8,118.94,118.8,-
44,Total Common Shares Outstanding,161.27,155.53,156.27,158.4,158.4,158.4,158.4,158.4,158.4,158.4,158.4,158.4,118.8,118.8,118.94,118.8,-
45,Working Capital,1371,1388,1431,1431,1417,1411,957.64,932.54,925.09,919.65,920.02,908.91,630.14,616.63,-,577.81,-
46,Book Value Per Share,7.29,7.35,7.39,7.30,7.60,7.63,7.10,6.97,6.84,6.80,6.69,6.56,6.26,6.11,5.62,5.62,5.03
47,Tangible Book Value,1159,1126,1138,1139,1203,1206,1123,1101,1081,1075,1058,1037,741.59,724.15,666.17,666.17,595.66
48,Tangible Book Value Per Share,7.19,7.24,7.28,7.19,7.59,7.61,7.09,6.95,6.83,6.79,6.68,6.55,6.24,6.10,5.61,5.61,5.01
49,Buildings,-,25.84,-,25.84,-,25.84,-,25.84,-,23.04,-,16.59,-,16.59,-,16.59,-
50,Machinery,-,22.34,-,22.86,-,23.06,-,22.04,-,20.13,-,18.87,-,17.96,-,18.66,-
51,Construction In Progress,-,10.17,-,5.86,-,4.13,-,2.41,-,-,-,-,-,-,-,-,-
