,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q1 2020
10,Operating Income,-4.68,34.71,27.71,17,8.37,46.92,34.05,31.72,-0.81,38.84,33.73,16.27,25.14,31.63,56.05,22.66,28.72
11,Interest Expense,-9.75,-9.86,-9.56,-8.51,-12.39,-4.03,-3.06,-5.34,-3.05,-4.63,-3.73,-5.01,-2.19,-3.31,-3.62,-3.49,-
12,Interest & Investment Income,0.3,0.34,0.52,0.66,0.36,0.26,0.21,-,0.52,2.6,0.67,0.15,0.08,0.07,0.18,0.02,-
13,Other Non Operating Income (Expenses),1.79,-3.06,0,3.47,-0.64,-3.55,-0.02,4.95,2.56,-2.15,0.31,-6.05,1.18,-2.37,0.38,-4.43,-0.12
14,EBT Excluding Unusual Items,-12.34,22.12,18.67,12.62,-4.3,39.6,31.19,31.32,-0.78,34.65,30.99,5.36,24.21,26.01,52.99,14.77,28.6
15,Gain (Loss) on Sale of Investments,0,-0.57,-0.79,1.23,-0.89,-0.31,-0.03,-0.72,-,0.09,-0.09,0.22,-,-,-,-,-
16,Gain (Loss) on Sale of Assets,0.01,0.07,-,0.08,-0.63,-,-,-,0.01,-,0.01,0.01,-0,-0.01,0.03,-0.01,-
17,Asset Writedown,2.48,-0.18,0.33,0.24,-0.24,-1.36,1.36,-5.17,5.16,-0,-,-0.02,0.01,0.98,-0.99,-0.03,-
18,Legal Settlements,0.33,-0.33,-,-1.21,-0.06,0.06,-,-0.08,-,-,-,-,-,-,-,-,-
19,Other Unusual Items,0.74,-0.62,0.24,0.09,-,-,-,0.36,-1,1,-,0.53,0.57,-0.57,-,-0.38,-
20,Pretax Income,-8.78,20.47,18.44,13.05,-6.11,37.99,32.51,25.71,3.38,35.75,30.9,6.11,24.79,26.4,52.03,14.35,28.6
21,Income Tax Expense,-1.57,5.52,3.5,36.4,-5.88,11.27,7.77,3.37,-3.94,7.51,9.63,-2.72,6.43,7.54,12.84,2.84,7.34
22,Earnings From Continuing Operations,-7.21,14.95,14.95,-23.35,-0.23,26.72,24.74,22.34,7.33,28.24,21.26,8.83,18.36,18.86,39.2,11.51,21.26
23,Minority Interest in Earnings,-1.53,-5.05,-0.24,2.46,-2.97,-3.29,-2.87,-2.31,-0.59,-1.39,0.32,0.21,-1.03,-0.01,0.44,-0.49,0.22
24,Net Income,-8.74,9.91,14.7,-20.89,-3.2,23.43,21.87,20.03,6.74,26.85,21.58,9.04,17.34,18.85,39.64,11.02,21.48
25,Net Income to Common,-8.74,9.91,14.7,-20.89,-3.2,23.43,21.87,20.03,6.74,26.85,21.58,9.04,17.34,18.85,39.64,11.02,21.48
26,Net Income Growth,-,-57.71%,-32.78%,-,-,-12.71%,1.35%,121.56%,-61.14%,42.42%,-45.56%,-17.94%,-19.29%,-,-,-,-
27,Shares Outstanding (Basic),168,144,163,104,237,156,156,163,162,154,162,134,118,118,119,118,-
28,Shares Outstanding (Diluted),168,144,163,104,237,156,156,163,162,154,162,134,118,118,119,118,-
29,Shares Change (YoY),-28.85%,-7.64%,4.57%,-36.28%,46.57%,1.51%,-3.50%,21.18%,36.55%,30.19%,36.12%,13.39%,-,-,-,-,-
30,EPS (Basic),-0.05,0.07,0.09,-0.20,-0.01,0.15,0.14,0.12,0.04,0.17,0.13,0.07,0.15,0.16,0.33,0.09,-
31,EPS (Diluted),-0.05,0.07,0.09,-0.20,-0.01,0.15,0.14,0.12,0.04,0.17,0.13,0.07,0.15,0.16,0.33,0.09,-
32,EPS Growth,-,-54.22%,-35.71%,-,-,-14.01%,5.03%,82.84%,-71.54%,9.39%,-60.01%,-27.62%,-,-,-,-,-
33,Free Cash Flow,-30.48,-65.96,-143.49,77.95,-136.09,-85.89,-146.57,55.24,86.07,-21.84,-199.67,11.65,-56.28,-1.67,-100.07,133.57,-168.72
34,Free Cash Flow Per Share,-0.18,-0.46,-0.88,0.75,-0.57,-0.55,-0.94,0.34,0.53,-0.14,-1.23,0.09,-0.48,-0.01,-0.84,1.13,-
35,Dividend Per Share,-,-,-,0.100,-,-,-,0.067,-,-,-,0.067,-,-,-,-,-
36,Dividend Growth,-,-,-,49.93%,-,-,-,0%,-,-,-,-,-,-,-,-,-
37,Gross Margin,27.98%,30.66%,28.40%,31.84%,29.24%,29.39%,30.74%,30.78%,31.90%,36.94%,27.22%,25.73%,32.53%,29.20%,28.39%,28.07%,25.25%
38,Operating Margin,-3.15%,13.00%,19.86%,4.21%,5.17%,17.31%,21.02%,7.92%,-0.57%,13.58%,22.73%,5.98%,11.08%,10.91%,33.03%,7.34%,25.25%
39,Profit Margin,-5.88%,3.71%,10.54%,-5.17%,-1.98%,8.65%,13.50%,5.00%,4.77%,9.39%,14.54%,3.32%,7.64%,6.50%,23.36%,3.57%,18.89%
40,Free Cash Flow Margin,-20.51%,-24.70%,-102.85%,19.29%,-84.11%,-31.69%,-90.50%,13.80%,60.93%,-7.64%,-134.56%,4.28%,-24.82%,-0.58%,-58.97%,43.24%,-148.36%
41,EBITDA,-3.81,34.92,28.59,17.88,9.24,47.95,34.91,32.59,0.09,39.68,34.52,17.17,26.09,32.56,60.07,23.61,32.64
42,EBITDA Margin,-2.56%,13.08%,20.49%,4.42%,5.71%,17.69%,21.56%,8.14%,0.06%,13.87%,23.26%,6.31%,11.50%,11.23%,35.40%,7.64%,28.70%
43,D&A For EBITDA,0.87,0.21,0.87,0.87,0.87,1.03,0.87,0.87,0.9,0.85,0.79,0.9,0.95,0.93,4.02,0.95,3.93
44,EBIT,-4.68,34.71,27.71,17,8.37,46.92,34.05,31.72,-0.81,38.84,33.73,16.27,25.14,31.63,56.05,22.66,28.72
45,EBIT Margin,-3.15%,13.00%,19.86%,4.21%,5.17%,17.31%,21.02%,7.92%,-0.57%,13.58%,22.73%,5.98%,11.08%,10.91%,33.03%,7.34%,25.25%
46,Effective Tax Rate,-,26.96%,18.97%,278.98%,-,29.66%,23.91%,13.12%,-,21.02%,31.18%,-,25.93%,28.58%,24.67%,19.81%,25.65%
47,Revenue as Reported,148.59,267.05,139.52,404.21,161.8,271.03,161.96,400.34,141.27,286.03,148.39,272.03,226.79,289.89,169.71,308.87,-
