,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
17,Debt / FCF Ratio,1.81,1.81,2.47,-21.10,-16.24,-,-,3.24,1.60,0.92,0.95,0.30,0.30,-,0.33,-,-,-,-,-
18,Asset Turnover,0.19,0.20,0.23,0.23,0.26,0.26,0.32,0.29,0.45,0.41,0.58,-,-,-,-,-,-,1.49,-,
19,Inventory Turnover,1.01,0.99,0.96,1.13,1.08,1.02,1.06,1.28,1.37,1.89,2.15,3.14,-,-,-,-,-,-,2.23,-
20,Quick Ratio,6.78,6.78,8.02,6.87,5.90,4.96,4.63,3.70,3.70,4.37,4.65,6.08,5.91,-,1.74,-,1.58,-,1.71,1.71
21,Current Ratio,8.08,8.08,8.92,8.01,6.55,6.01,5.28,4.40,4.18,5.00,5.10,6.72,6.37,-,2.16,-,2.01,-,2.41,2.41
22,Return on Equity (ROE),-0.80%,0.21%,1.82%,-0.32%,1.28%,-2.85%,5.89%,-2.54%,11.50%,11.67%,21.31%,-,-,109.73%,115.11%,110.57%,90.61%,42.81%,-,
23,Return on Assets (ROA),-0.71%,-1.07%,-0.36%,-1.31%,-0.11%,-1.42%,1.91%,-0.80%,5.32%,5.95%,12.55%,-,-,-,-,-,-,19.51%,-,
24,Return on Capital (ROIC),-0.75%,-1.13%,-0.38%,-1.39%,-0.12%,-1.56%,2.12%,-0.90%,5.94%,6.64%,14.16%,-,-,76.27%,92.34%,80.29%,72.55%,31.06%,-,
25,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,5.90%,-,16.30%,18.82%,21.48%,22.46%,-,69.27%,-,59.71%,-,24.56%,12.28%
26,Earnings Yield,0.12%,0.16%,0.65%,-0.03%,0.58%,0.23%,1.33%,2.14%,2.89%,6.22%,3.88%,4.11%,2.56%,-,-,-,-,-,-,-
27,FCF Yield,1.90%,2.52%,1.92%,-0.22%,-0.34%,-0.10%,1.58%,1.51%,2.63%,5.51%,3.26%,4.17%,2.83%,-,-,-,-,-,-,-
28,Dividend Yield,1.75%,-,-,-,1.74%,-,-,-,1.67%,-,-,-,1.70%,-,-,-,-,-,-,-
29,Payout Ratio,1375.57%,-,6009.18%,4.64%,-,3.23%,-,-,-,0.19%,394.71%,-,-,-,-,-,-,-,79.39%,79.39%
30,Buyback Yield / Dilution,-5.75%,-11.98%,4.42%,-4.24%,-12.42%,13.37%,-4.98%,-0.97%,-12.29%,-12.24%,-10.61%,-10.56%,0.57%,-,0.02%,-0.46%,-,-,-,-
31,Total Shareholder Return,-4.00%,-11.98%,4.42%,-4.24%,-10.68%,13.37%,-4.98%,-0.97%,-10.62%,-12.24%,-10.61%,-10.56%,2.27%,-,0.02%,-0.46%,-,-,-,-
