,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q2 2020,Q1 2020,Q1 2019,Q1 2018
17,Shares Change (YoY),-,-,-,-,-0.01%,-,-,-,-4.55%,-,-,-,4.96%,-,1.89%,-0.25%,-,-,-,-
18,EPS (Basic),818.29,44.36,23.99,30.78,1352.79,-327.36,19.76,-,-418.58,-,-,-,122.35,-,175.00,194.00,143.00,139.00,108.00,190.00
19,EPS (Diluted),818.29,44.36,23.99,30.78,1352.79,-327.36,19.76,-,-418.58,-,-,-,122.35,-,175.00,194.00,143.00,139.00,108.00,190.00
20,EPS Growth,-39.51%,-,21.41%,-,-,-,-,-,-,-,-,-,-14.44%,-,62.04%,2.11%,-,-,-,-
21,Free Cash Flow,-3386,3067,-23031,-8645,-15162,-1840,-1641,-494.98,-4500,587.13,-,-2648,-15218,-3636,14306,14306,7205,1766,1761,2970
22,Free Cash Flow Per Share,-317.30,287.47,-2158.54,-810.20,-1421.05,-172.47,-153.83,-,-421.66,-,-,-,-1361.18,-,1339.85,1341.43,676.41,165.31,168.05,277.77
23,Gross Margin,36.09%,16.12%,23.48%,25.61%,27.13%,-,45.00%,-,-,100.00%,-,45.70%,22.77%,39.07%,45.05%,40.78%,32.39%,35.64%,31.14%,29.80%
24,Operating Margin,31.99%,5.88%,8.62%,11.70%,22.29%,-,-318.31%,-,-453.83%,61.66%,-,-15.58%,-5.20%,21.66%,25.69%,18.05%,17.49%,20.97%,16.91%,21.11%
25,Profit Margin,29.01%,4.74%,4.21%,6.46%,47.36%,-,70.28%,-,-616.31%,-42.70%,-,-20.10%,10.97%,17.89%,19.18%,21.92%,15.67%,15.00%,15.08%,18.16%
26,Free Cash Flow Margin,-11.25%,30.72%,-378.73%,-170.14%,-49.75%,-,-547.09%,-,-620.85%,16.78%,-,-78.89%,-122.06%,-32.41%,146.83%,151.57%,74.14%,17.84%,23.47%,26.55%
27,EBITDA,10085,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28,EBITDA Margin,33.51%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
29,D&A For EBITDA,458.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30,EBIT,9627,586.63,523.9,594.27,6793,-2990,-954.94,-1040,-3289,2158,-845.52,-522.91,-648.74,2430,2503,1704,1700,2077,1269,2361
31,EBIT Margin,31.99%,5.88%,8.62%,11.70%,22.29%,-,-,-,-,61.66%,-,-15.58%,-5.20%,21.66%,25.69%,18.05%,17.49%,20.97%,16.91%,21.11%
32,Effective Tax Rate,-,-,-,-,-,-,-,-,-,-,-,-,-,20.00%,20.20%,20.65%,9.54%,22.15%,20.04%,20.00%
33,Revenue as Reported,30097,9984,6081,5081,30476,-1040,300,-,724.75,3500,-,3357,12468,11219,9743,9438,9719,9903,7504,11184
