,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q2 2020,Q1 2020,Q1 2019,Q1 2018
15,Total Assets,157577,159629,150794,141450,136637,118274,114077,105333,105661,136800,141032,-,154296,-,148446,-,-,133789,129023,-
16,Accounts Payable,10643,9778,8523,18336,17308,8840,5481,4719,4719,4662,4662,-,9232,-,2625,-,-,1364,1947,-
17,Accrued Expenses,3202,3047,2582,3608,3415,5497,2387,3282,3291,2818,1872,-,4328,-,1542,-,-,1502,1186,-
18,Short-Term Debt,5386,7480,50855,6625,10470,5920,3870,1400,1050,700,1500,-,931.44,-,-,-,-,3071,-,-
19,Current Income Taxes Payable,-,-,486.49,-,426.21,-,-,-,-,-673.95,-650.08,-,4823,-,796.44,-,-,939.57,686.77,-
20,Other Current Liabilities,3618,7206,5056,8167,10220,15564,16098,5325,4920,4247,4611,-,4774,-,13966,-,-,3907,4408,-
21,Total Current Liabilities,22849,27510,67503,36735,41838,35822,27837,14726,13980,11753,11995,-,24088,-,18929,-,-,10783,8227,-
22,Long-Term Debt,42234,48355,-,21680,12000,7000,7000,-,-,-,2235,-,1842,-,2789,-,-,-,-,-
23,Other Long-Term Liabilities,-,-,-,-,-,-,-,11804,11804,11804,11804,-,11804,-,13731,-,-,5865,4062,-
24,Total Liabilities,65082,75865,67503,58416,53838,42822,34837,26530,25784,23557,26034,-,37734,-,35449,-,-,16648,12289,-
25,Common Stock,106697,106697,106697,106697,106697,106697,106697,106697,106697,106697,106697,-,106697,-,106697,-,-,106697,106697,-
26,Retained Earnings,-14203,-22933,-23407,-23663,-23899,-36249,-27457,-27894,-26820,6545,8300,-,9865,-,6300,-,-,10444,10038,-
27,Total Common Equity,92495,83764,83291,83035,82798,70448,79241,78803,79877,113243,114998,116563,116563,-,112997,-,117141,117141,116735,-
28,Minority Interest,-,-,-,-,-,5004,-,-,-,-,-,-,-,-,-,-,-,-,-,-
29,Shareholders' Equity,92495,83764,83291,83035,82798,75452,79241,78803,79877,113243,114998,116563,116563,-,112997,-,117141,117141,116735,-
30,Total Liabilities & Equity,157577,159629,150794,141450,136637,118274,114077,105333,105661,136800,141032,-,154296,-,148446,-,-,133789,129023,-
31,Total Debt,47620,55835,50855,28305,22470,12920,10870,1400,1050,700,3735,2773,2773,-,2789,-,3071,3071,-,-
32,Net Cash (Debt),-41969,-51841,-48184,-24840,-16196,-4660,-8893,98.14,593.12,850.35,-1062,2102,2102,-,4255,-,-128.66,-128.66,5996,-
33,Net Cash Growth,-,-,-,-,-,-,-,-95.33%,-71.79%,-,-,-,-,-,-29.04%,-,-,-,-,-
34,Net Cash Per Share,-3933.51,-4858.66,-4515.93,-2328.09,-1517.90,-436.77,-833.49,-,55.58,-,-,-,188.04,-,398.52,-,-12.08,-12.04,572.22,-
35,Filing Date Shares Outstanding,10.67,10.67,10.67,10.67,10.67,10.67,10.67,-,10.67,-,-,-,11.18,-,10.68,10.66,10.65,10.68,10.48,10.69
36,Total Common Shares Outstanding,10.67,10.67,10.67,10.67,10.67,10.67,10.67,-,10.67,-,-,-,11.18,-,10.68,10.66,10.65,10.68,10.48,10.69
37,Working Capital,30535,15556,-26808,14935,12830,11664,-1128,11897,12731,43804,43857,-,43674,-,42064,-,-,38418,34587,-
38,Book Value Per Share,8668.90,7850.61,7806.25,7782.26,7760.12,6602.59,7426.67,-,7485.41,-,-,10425.80,10425.80,-,10583.09,-,10963.52,10963.52,11139.51,-
39,Tangible Book Value,92495,83764,83291,83035,82798,68364,79241,78803,79877,113243,114998,116563,116563,-,95316,-,99460,99460,99054,-
40,Tangible Book Value Per Share,8668.90,7850.61,7806.25,7782.26,7760.12,6407.33,7426.67,-,7485.41,-,-,10425.80,10425.80,-,8927.15,-,9308.74,9308.74,9452.31,-
41,Buildings,71156,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
42,Machinery,11331,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
43,Construction In Progress,-,66419,51637,-,23071,10407,10407,9676,9676,9488,9488,-,9488,-,9867,-,-,1241,276.31,-
