,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q1 2015
16,Total Assets,3360,3328,3348,3382,3309,3095,2954,2944,3059,1813,-,1551,-,-,-,790.76
17,Accounts Payable,298.81,299.94,302.97,353.61,366.55,295.07,240.27,283.83,297.33,230.89,-,228.77,-,-,-,161.79
18,Accrued Expenses,38.34,28.46,15.49,40,22.97,22.38,10.63,41.69,18.02,15.43,-,18.05,-,-,-,15.63
19,Short-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80
20,Current Portion of Leases,-,-,-,-,-,-,-,-,-,-,-,0.21,-,-,-,-
21,Current Income Taxes Payable,31.37,17.49,8.42,8.59,7.51,5.86,12.03,7.91,12.27,11.48,-,8.19,-,-,-,1.43
22,Current Unearned Revenue,538.82,619,690.76,688.63,651.55,546.33,440.28,417.08,399.68,369.39,-,246.24,-,-,-,154.88
23,Other Current Liabilities,90.65,51.9,50.52,48.73,54.51,45.96,38.66,35.7,26.95,30.61,-,22.82,-,-,-,22.51
24,Total Current Liabilities,997.99,1017,1068,1140,1103,915.6,741.86,786.22,754.25,657.79,-,524.28,-,-,-,436.23
25,Long-Term Unearned Revenue,26.51,27.25,28,30.78,31.39,31.99,32.6,33.2,33.81,34.41,-,35.62,-,-,-,-
26,Long-Term Deferred Tax Liabilities,0.8,0.76,0.9,0.79,0.86,1.41,0.86,0.94,-,-,-,-,-,-,-,0.13
27,Other Long-Term Liabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14.95
28,Total Liabilities,1025,1045,1097,1171,1135,949,775.31,820.36,788.05,692.2,-,559.9,-,-,-,451.31
29,Common Stock,110,108,108,108,108,108,80,80,80,60,-,60,-,-,-,60
30,Additional Paid-In Capital,1326,1304,1304,1304,1304,1304,1332,1332,1332,252.04,-,252.04,-,-,-,252.98
31,Retained Earnings,888.83,861.47,829.19,790.03,753.55,726.74,759.33,705.03,853.07,803.02,-,674.53,-,-,-,25.91
32,Comprehensive Income & Other,10.49,9.62,9.28,8.63,8.3,7.62,7.1,6.37,6.02,5.46,-,4.84,-,-,-,0.56
33,Shareholders' Equity,2335,2283,2251,2211,2174,2146,2178,2123,2271,1121,991.41,991.41,-,-,850.44,339.44
34,Total Liabilities & Equity,3360,3328,3348,3382,3309,3095,2954,2944,3059,1813,-,1551,-,-,-,790.76
35,Total Debt,-,-,-,-,-,-,-,-,-,-,0.21,0.21,-,-,-,80
36,Net Cash (Debt),1362,1314,1337,1420,1297,1159,1166,1300,1494,527.95,472.94,472.94,-,-,491.34,-12.44
37,Net Cash Growth,5.02%,13.35%,14.65%,9.18%,-13.16%,119.53%,146.58%,174.97%,-,-,-3.74%,-,-,-,-,-
38,Net Cash Per Share,12.62,12.16,12.38,13.22,12.01,10.73,10.80,12.09,18.44,6.52,5.84,5.83,-,-,6.06,-0.16
39,Filing Date Shares Outstanding,110,108,108,108,108,108,108,108,108,81,81,81,80.84,81.09,81.09,81
40,Total Common Shares Outstanding,110,108,108,108,108,108,108,108,108,81,81,81,80.84,81.09,81.09,81
41,Working Capital,1671,1635,1640,1584,1600,1598,1648,1630,1834,696.8,-,639.04,-,-,-,33.15
42,Book Value Per Share,21.23,21.14,20.84,20.47,20.13,19.87,20.17,19.66,21.03,13.83,12.24,12.24,-,-,10.51,4.19
43,Tangible Book Value,2226,2174,2140,2099,2062,2033,2064,2008,2155,1003,885.08,885.08,-,-,752.59,227.76
44,Tangible Book Value Per Share,20.24,20.13,19.82,19.44,19.09,18.82,19.11,18.59,19.95,12.39,10.93,10.93,-,-,9.30,2.81
45,Buildings,-,319.82,-,319.82,-,266.72,-,266.72,-,202.25,-,202.25,-,-,-,172.04
46,Machinery,-,197.49,-,197.29,-,192.6,-,184.39,-,173.2,-,172.87,-,-,-,125.6
47,Construction In Progress,-,190.88,-,136.22,-,105.71,-,45.34,-,44.73,-,11.18,-,-,-,-
48,Order Backlog,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,523
