,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q1 2020
15,Long-Term Deferred Charges,12.27,12.48,12.35,13.59,13.43,13.99,14.19,14.87,-,12.1,11.95,11.29,11.01,12.03,-,10.52,-,-
16,Other Long-Term Assets,212.4,122.82,67.35,17.24,3.89,4.34,7.32,36.38,-,3.69,11.51,3.79,4.66,1.07,-,1.26,-,-
17,Total Assets,1953,1768,1645,1617,1192,1219,1146,1135,-,1053,1014,1010,622.33,609.81,-,569.9,-,-
18,Accounts Payable,277.63,236.57,200.62,193.75,156.77,167.93,170.69,173.08,-,157.89,144.6,127.26,116.58,109.44,-,100.71,-,-
19,Accrued Expenses,22.88,39.7,26,32.68,18.34,38.26,19.73,34.32,-,31.73,12.86,20.45,16.34,16.38,-,15.01,-,-
20,Short-Term Debt,110.03,60,44.07,78.92,74.08,109.9,65.96,75.86,-,30.01,10.06,34.96,5.01,6.94,-,-,-,-
21,Current Portion of Long-Term Debt,5.04,0.9,2.52,0.2,-,-,-,-,-,-,3.09,2.06,1.12,1.12,-,0.57,-,-
22,Current Portion of Leases,-,1.83,-,2.08,1.78,2.01,1.04,1.72,-,3.25,-,3.46,2.13,2.08,-,-,-,-
23,Current Income Taxes Payable,11.76,3.22,28.01,9.87,21.25,5.48,15.31,0.59,-,1.83,15.06,2.21,1.15,1.6,-,6.03,-,-
24,Current Unearned Revenue,0.83,4.75,2.63,0.46,0.96,0.8,1,0.45,-,-,1.03,0.84,0.88,1.51,-,1.89,-,-
25,Other Current Liabilities,11.97,12.51,9.26,7.5,11.08,8.99,25.27,8.11,-,12.27,8.3,1.11,2.73,3.01,-,2.31,-,-
26,Total Current Liabilities,440.13,359.5,313.11,325.46,284.25,333.38,299,294.13,-,236.97,195,192.34,145.93,142.08,-,126.52,-,-
27,Long-Term Debt,353.48,279.31,209.44,204.09,-,-,-,-,-,-,-,15.19,14.35,14.35,-,10.04,-,-
28,Long-Term Leases,20.61,7.67,7.99,8.38,8.58,8.7,0.68,0.79,-,1.26,2.29,2.28,2.02,2.58,-,-,-,-
29,Long-Term Unearned Revenue,13.83,14.15,14.56,15,1.94,2.18,2.42,2.67,-,3.2,3.5,3.8,3.85,4.15,-,4.73,-,-
30,Long-Term Deferred Tax Liabilities,27.12,25.17,25.52,25.99,6.3,6.62,1.35,1.58,-,1.53,1.79,1.79,1.92,2.05,-,2.32,-,-
31,Total Liabilities,855.18,685.8,570.62,578.93,301.07,350.89,303.44,299.17,-,242.95,202.57,215.39,168.07,165.21,-,143.61,-,-
32,Common Stock,106.62,106.62,106.62,106.1,106.1,106.1,106.1,106.1,-,106.1,106.1,106.1,79.57,79.57,-,79.57,-,-
33,Additional Paid-In Capital,504.81,5.96,503.61,487.41,493.08,487.41,488.82,487.41,-,487.41,487.41,487.41,187.53,187.53,-,187.53,-,-
34,Retained Earnings,370.92,354.32,347.65,320.62,291.36,270.35,247.32,242.47,-,216.5,218.07,200.76,187.16,177.49,-,159.19,-,-
35,Comprehensive Income & Other,115.73,614.49,115.74,123.27,-,3.54,-,-,-,-,-,-,-,-,-,-,-,-
36,Total Common Equity,1098,1081,1074,1037,890.53,867.4,842.25,835.98,-,810,811.57,794.27,454.26,444.59,426.29,426.29,-,372.86
37,Minority Interest,-,0.76,0.5,0.91,0.75,0.39,-,-,-,-,-,-,-,-,-,-,-,-
38,Shareholders' Equity,1098,1082,1074,1038,891.28,867.78,842.25,835.98,-,810,811.57,794.27,454.26,444.59,426.29,426.29,-,372.86
39,Total Liabilities & Equity,1953,1768,1645,1617,1192,1219,1146,1135,-,1053,1014,1010,622.33,609.81,-,569.9,-,-
40,Total Debt,489.16,349.72,264.02,293.67,84.44,120.62,67.68,78.37,-,34.52,15.43,57.95,24.63,27.07,10.61,10.61,-,-
41,Net Cash (Debt),-175.73,-35.63,135.4,322.99,95.39,131.02,169.99,233.52,-,243.13,187.24,363.49,-1.38,48.11,117.06,117.06,-,152.53
42,Net Cash Growth,-,-,-20.35%,38.31%,-,-46.11%,-9.21%,-35.76%,-,405.37%,59.95%,210.51%,-,-68.46%,-,-,-,-
43,Net Cash Per Share,-1.61,-0.34,1.27,3.11,0.91,1.19,1.64,2.12,-,2.35,1.75,4.21,-0.02,0.59,1.52,1.39,-,-
44,Filing Date Shares Outstanding,106.62,106.62,106.62,106.62,106.1,106.1,106.1,106.1,106.07,106.1,106.1,106.1,79.57,79.57,79.57,79.57,78.33,-
45,Total Common Shares Outstanding,106.62,106.62,106.62,106.1,106.1,106.1,106.1,106.1,106.07,106.1,106.1,106.1,79.57,79.57,79.57,79.57,78.33,-
46,Working Capital,556.8,605.38,726.39,786.89,455.62,462.63,456.67,461.07,-,529.12,550.76,580.09,250.02,244.15,-,236.31,-,-
47,Book Value Per Share,10.30,10.14,10.07,9.78,8.39,8.18,7.94,7.88,-,7.63,7.65,7.49,5.71,5.59,5.36,5.36,-,4.69
48,Tangible Book Value,1022,1006,997.84,963.27,822.41,798.62,773.05,796.91,-,779.89,781.06,764.07,423.74,413.61,396.46,396.46,-,342.55
49,Tangible Book Value Per Share,9.59,9.44,9.36,9.08,7.75,7.53,7.29,7.51,-,7.35,7.36,7.20,5.33,5.20,4.98,4.98,-,4.31
50,Buildings,-,115.73,-,115.14,-,114.72,-,114.53,-,82.23,-,82.23,78.59,78.61,-,76.4,-,-
51,Machinery,-,303.67,-,266.4,-,259.69,-,207.77,-,172.9,-,162.42,125.19,124.2,-,113.75,-,-
52,Construction In Progress,-,257.82,-,86.19,-,12.78,-,21.96,-,46.34,-,1.76,29.24,25.12,-,22.24,-,-
