,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q1 2020
14,Debt / Equity Ratio,0.45,0.45,0.32,0.25,0.28,0.09,0.14,0.08,0.09,-,0.04,0.02,0.07,0.05,0.06,0.02,0.02,-,-
15,Debt / EBITDA Ratio,3.24,3.14,2.83,1.69,1.81,0.59,1.40,0.56,1.63,-,1.31,0.18,0.64,0.42,0.53,0.15,0.06,-,-
16,Debt / FCF Ratio,-,-,-,-,-12.42,-,-,-,-0.80,-,-,-,-0.74,-,-0.72,-,0.40,-,-
17,Asset Turnover,0.61,0.61,0.65,0.80,0.80,0.71,0.69,-,-,0.64,0.63,0.87,0.88,-,-,-,-,-,
18,Inventory Turnover,4.30,4.13,4.57,4.89,5.17,4.18,3.84,3.51,-,-,3.37,3.24,3.68,3.36,-,-,-,-,-
19,Quick Ratio,1.72,1.72,2.09,2.55,2.90,1.96,1.85,1.93,2.00,-,2.46,2.49,3.25,1.72,1.88,-,2.17,-,-
20,Current Ratio,2.27,2.27,2.68,3.32,3.42,2.60,2.39,2.53,2.57,-,3.23,3.82,4.02,2.71,2.72,-,2.87,-,-
21,Return on Equity (ROE),6.09%,8.32%,10.08%,12.10%,9.49%,10.72%,8.38%,-,-,5.06%,8.01%,8.72%,8.60%,6.91%,10.12%,-,-,-,
22,Return on Assets (ROA),4.21%,3.15%,4.82%,5.38%,6.19%,2.64%,5.28%,-,-,-0.26%,4.31%,4.74%,3.96%,-,-,-,-,-,
23,Return on Capital (ROIC),5.19%,3.88%,5.88%,6.55%,7.60%,3.29%,6.60%,-,-,-0.32%,5.20%,5.81%,5.14%,4.66%,7.97%,-,-,-,
24,Return on Capital Employed (ROCE),7.49%,7.57%,8.02%,7.81%,7.48%,7.55%,6.18%,4.86%,4.10%,-,-,6.25%,5.83%,13.86%,15.08%,-,12.86%,-,-
25,Earnings Yield,3.75%,3.75%,4.30%,4.08%,3.11%,2.25%,2.36%,2.03%,2.36%,2.62%,1.68%,1.68%,1.07%,-,-,-,-,-,-
26,FCF Yield,-14.59%,-14.59%,-12.93%,-3.82%,-0.81%,-2.27%,-2.05%,-3.00%,-4.40%,-4.38%,-4.41%,-3.12%,-2.00%,-,-,-,-,-,-
27,Dividend Yield,0.63%,-,-,-,0.55%,-,-,-,0.58%,-,-,-,0.28%,-,-,-,-,-,-
28,Payout Ratio,20.79%,72.64%,29.15%,1.23%,2.97%,3.12%,61.16%,3.38%,11.40%,28.72%,50.50%,1.33%,1.74%,2.00%,0.32%,-,-,-,-
29,Buyback Yield / Dilution,0.98%,-4.12%,4.94%,-3.07%,5.68%,1.02%,-6.49%,3.53%,-27.70%,-31.66%,-26.04%,-39.22%,-2.25%,-2.85%,-,-,-,-,-
30,Total Shareholder Return,1.61%,-4.12%,4.94%,-3.07%,6.23%,1.02%,-6.49%,3.53%,-27.12%,-31.66%,-26.04%,-39.22%,-1.98%,-2.85%,-,-,-,-,-
