,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
21,Return on Equity (ROE),-24.90%,0.06%,-0.68%,-7.23%,-20.62%,-2.37%,13.33%,-1.78%,-3.71%,14.25%,18.20%,8.82%,13.15%,1.18%,19.45%,40.60%,-,-,28.56%,-,
22,Return on Assets (ROA),-,2.03%,-2.39%,-1.19%,-8.69%,1.55%,4.81%,0.12%,-1.03%,3.84%,5.27%,3.09%,1.71%,5.51%,6.53%,12.02%,-,-,-,-,
23,Return on Capital (ROIC),-14.12%,3.21%,-3.78%,-1.91%,-14.24%,2.53%,7.39%,0.18%,-1.46%,5.64%,8.23%,4.97%,2.79%,9.02%,11.46%,25.08%,-,-,19.18%,-,
24,Return on Capital Employed (ROCE),-,-,-9.09%,-,-,-,4.00%,5.27%,5.15%,-,8.25%,9.85%,10.20%,13.04%,14.61%,15.85%,31.69%,33.07%,-,16.17%,-
25,Earnings Yield,-4.61%,-5.10%,-4.67%,-5.40%,-2.32%,-1.07%,0.44%,1.79%,1.75%,2.10%,2.80%,1.94%,2.44%,2.11%,1.93%,2.13%,-,-,-,-,-
26,FCF Yield,-,-9.99%,-20.17%,-15.03%,-4.88%,-5.85%,-5.72%,-6.88%,-7.95%,-10.23%,-8.91%,-11.08%,-4.95%,-2.17%,0.31%,-,-,-,-,-,
27,Dividend Yield,0.00%,-,-,-,-,-,-,-,-,0.77%,-,-,-,0.34%,-,-,-,-,-,-,-
28,Payout Ratio,0.00%,-,1287.63%,-,-,-,-,106.51%,-,-,2.09%,38.44%,2.26%,1.26%,12.05%,1.32%,1.37%,1.54%,1.68%,1.86%,2.24%
29,Buyback Yield / Dilution,-0.07%,8.71%,-12.24%,-7.79%,9.14%,-0.13%,3.41%,6.83%,-6.57%,-0.99%,-1.17%,-30.90%,-34.60%,-35.47%,-32.99%,1.20%,-0.46%,-,-,-,-
30,Total Shareholder Return,-0.07%,8.71%,-12.24%,-7.79%,9.14%,-0.13%,3.41%,6.83%,-6.57%,-0.22%,-1.17%,-30.90%,-34.60%,-35.13%,-32.99%,1.20%,-0.46%,-,-,-,-
