,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
21,Return on Equity (ROE),-3.05%,-2.26%,-1.99%,0.81%,-1.60%,0.16%,1.83%,2.65%,2.53%,6.73%,10.25%,-,-,21.69%,17.26%,6.01%,6.10%,2.52%,-,
22,Return on Assets (ROA),-0.76%,-1.75%,-1.05%,-1.00%,-0.78%,-0.23%,0.84%,-0.26%,1.58%,4.04%,5.83%,-,-,-,-,3.22%,3.20%,1.43%,-,
23,Return on Capital (ROIC),-0.87%,-1.98%,-1.19%,-1.12%,-0.85%,-0.24%,0.90%,-0.28%,1.69%,4.28%,6.24%,-,-,12.39%,9.99%,3.62%,3.74%,1.74%,-,
24,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,2.63%,-,5.91%,7.97%,8.53%,21.08%,-,14.96%,-,5.23%,3.43%,1.70%,0.85%
25,Earnings Yield,-0.89%,-0.96%,-0.88%,-0.41%,0.17%,0.42%,0.85%,1.72%,2.58%,3.11%,3.09%,2.91%,-,-,-,-,-,-,-,-
26,FCF Yield,-7.07%,-7.64%,-10.75%,-11.07%,-12.29%,-10.63%,-8.51%,-5.64%,-0.70%,-0.96%,1.20%,0.78%,-,-,-,-,-,-,-,-
27,Dividend Yield,0.52%,-,-,-,0.51%,-,-,-,0.82%,-,-,-,-,-,-,-,-,-,-,-
28,Payout Ratio,0.00%,-,-,-,46.71%,-,3812.78%,7.28%,18.39%,7.73%,139.22%,11.96%,19.08%,16.56%,17.47%,20.05%,45.47%,45.47%,90.34%,90.34%
29,Buyback Yield / Dilution,-72.27%,-0.11%,25.49%,-6.73%,-147.30%,3.38%,-18.86%,-5.53%,-6.34%,-46.74%,-30.96%,-33.58%,-24.36%,-13.39%,4.07%,9.70%,-,-,-,-
30,Total Shareholder Return,-71.76%,-0.11%,25.49%,-6.73%,-146.79%,3.38%,-18.86%,-5.53%,-5.52%,-46.74%,-30.96%,-33.58%,-24.36%,-13.39%,4.07%,9.70%,-,-,-,-
