,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
20,Accrued Expenses,-,574.79,536.73,406.67,491.96,445.35,446.09,329.98,447.77,316.55,340.59,247.04,340.53,186.69,243.84,-,231.03
21,Short-Term Debt,-,620.88,600.75,491.39,183.64,135.45,68.21,-,-,-,-,-,6.01,50.03,69.03,-,167.58
22,Current Portion of Long-Term Debt,-,-,45.04,-,-,-,-,38.4,-,-,-,-,-,-,-,-,-
23,Current Portion of Leases,-,87.66,44.94,44.95,44.33,52.97,49.06,-,40.19,28.69,18.93,17.65,19.41,21.02,-,-,-
24,Current Income Taxes Payable,-,25.73,-,21.51,-,23.76,-,15.12,-,25.78,-,17.15,0,40.1,27.94,-,72.58
25,Current Unearned Revenue,-,665.12,753.17,752.87,746.95,916.97,1024,1030,1051,1051,1014,1106,1033,1120,1009,-,767.55
26,Other Current Liabilities,-,153,191.56,232.3,225.41,152.97,169.38,160.72,144.82,137.54,113.46,144.3,154.91,243.51,402.06,-,271.69
27,Total Current Liabilities,-,4319,4067,3907,3873,3594,3266,2970,3194,3024,2815,2773,2684,2602,2715,-,2377
28,Long-Term Debt,-,-,-,50.04,-,-,-,-,-,-,-,-,-,-,-,-,-
29,Long-Term Leases,-,42.72,50.6,56.77,65.96,91.93,92.81,77.3,85.11,57.58,37.33,42.05,44.58,41.7,27.58,-,0.12
30,Long-Term Unearned Revenue,-,316.49,315.27,317.83,320.95,333.27,281.63,258.17,234.58,214.73,212.14,214.55,209.54,167.63,150.6,-,148.48
31,Long-Term Deferred Tax Liabilities,-,0.04,-,1.78,2.28,-,-,-,-,14.5,12.75,7.9,2.35,2,0.23,-,0.25
32,Other Long-Term Liabilities,-,76.22,67.12,65.61,63.94,57.49,55.41,56.15,53.05,53.61,49.11,44.51,45.38,46.08,44.47,-,39.43
33,Total Liabilities,-,4754,4500,4399,4326,4077,3696,3362,3567,3364,3127,3082,2986,2860,2938,-,2566
34,Common Stock,-,119.99,119.99,120,120,120,120,120,120,120,120,90,90,90,90,-,90
35,Additional Paid-In Capital,-,4706,4691,4675,4658,4672,4659,4646,4633,4621,4608,1133,1121,1109,1103,-,1084
36,Retained Earnings,-,-84.31,-7.53,134.14,325.84,402.89,454.05,455.6,543.1,455.95,407.72,276.24,307.57,209.29,188.72,-,161.38
37,Treasury Stock,-,-470.33,-470.14,-402.24,-154.8,-101.63,-101.63,-,-,-,-,-,-,-,-,-,-
38,Comprehensive Income & Other,-,17.37,15.72,13.65,12.62,11.98,10.1,3.6,4.64,5.96,3.06,-0.12,0.31,0.69,0.43,-,0.7
39,Total Common Equity,4288,4288,4349,4541,4962,5105,5142,5225,5301,5202,5139,1500,1519,1409,1382,1336,1336
40,Minority Interest,-,74.73,39.09,39.87,40,-,-,-,-,-,-,-,-,-,-,-,-
41,Shareholders' Equity,4363,4363,4388,4580,5002,5105,5142,5225,5301,5202,5139,1500,1519,1409,1382,1336,1336
42,Total Liabilities & Equity,-,9118,8888,8979,9328,9182,8838,8587,8868,8567,8265,4581,4505,4269,4320,-,3902
43,Total Debt,751.25,751.25,741.33,643.15,293.94,280.35,210.08,115.7,125.3,86.27,56.26,59.7,70,112.75,96.61,167.7,167.7
44,Net Cash (Debt),1078,1078,1342,1865,2999,2687,3012,3322,3991,3814,4127,803.31,923.69,648.43,640.74,830.75,830.75
45,Net Cash Growth,-64.04%,-59.88%,-55.45%,-43.85%,-24.86%,-29.55%,-27.02%,313.51%,332.05%,488.23%,544.16%,-3.30%,11.19%,-,-,-,-
46,Net Cash Per Share,9.42,9.45,11.71,15.96,25.42,22.61,24.93,27.71,33.16,32.92,36.29,8.86,10.29,7.29,6.93,9.25,9.80
47,Filing Date Shares Outstanding,114.45,114.79,114.79,115.88,118.48,119.18,119.18,120,120,120,120,90,120,90,90,89.79,90
48,Total Common Shares Outstanding,114.79,114.79,114.79,115.88,118.48,119.18,119.18,120,120,120,120,90,90,90,90,89.79,90
49,Working Capital,-,1306,1547,2047,2783,3022,3199,3543,3760,3915,3993,602.29,683.29,612.81,648.46,-,727.82
50,Book Value Per Share,37.36,37.36,37.88,39.18,41.88,42.84,43.14,43.55,44.18,43.35,42.82,16.66,16.88,15.66,15.35,14.84,14.84
51,Tangible Book Value,3566,3566,3660,3892,4500,4660,4704,4805,4895,4892,4835,1213,1248,1138,1118,1077,1077
52,Tangible Book Value Per Share,31.07,31.07,31.88,33.58,37.98,39.10,39.47,40.04,40.80,40.76,40.29,13.48,13.87,12.65,12.43,11.97,11.97
53,Buildings,-,-,625.01,-,615.73,-,151.6,-,151.6,-,128.79,-,128.79,128.8,128.45,-,118.22
54,Machinery,-,-,628.78,-,581.12,-,494.98,-,439.15,-,324.98,-,282.61,257.38,233.47,-,181.9
55,Construction In Progress,-,-,348.08,-,173.09,-,533.46,-,386.91,-,232.16,-,173.39,110.52,57.78,-,27.38
