,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
15,EBT Excluding Unusual Items,-94.42,-32,-211.48,-206.48,-146.08,-31.27,-75.96,-104.37,-17.77,68.26,81.56,-76.57,52.33,18.82,-16.18,45.35,109.43
16,Gain (Loss) on Sale of Investments,-39.77,-6.3,20.66,25.41,13.04,0.73,13.25,3.44,12.51,15.06,31,36.52,1.49,9.88,-5.99,0.5,-8.43
17,Gain (Loss) on Sale of Assets,-0.27,1.29,-1,-0.02,-0.89,0.44,0.05,-0.02,0.46,0.09,-0.09,-,-1.25,-0.05,-0.09,-,-0.15
18,Asset Writedown,41.33,-41.33,23.52,-23.52,75.32,-75.32,31.89,-31.89,41.17,-41.17,12.59,-12.59,31.21,-31.21,21.65,-21.65,-0.18
19,Other Unusual Items,-,-12.48,12.48,-,42.13,3.11,-3.11,-,39.93,-1.99,1.99,-,25.95,11.99,-11.99,-,-2
20,Pretax Income,-93.13,-90.82,-155.83,-204.6,-16.47,-102.31,-33.88,-132.84,76.3,40.25,127.05,-52.64,109.73,9.43,-12.61,24.2,98.66
21,Income Tax Expense,5.66,-17.79,-13.39,-12.77,60.58,-51.16,-32.33,-45.33,-11.04,-7.98,-4.84,-20.91,11.45,-11.14,-7.62,-8.12,1.56
22,Earnings From Continuing Operations,-98.78,-73.03,-142.45,-191.83,-77.05,-51.16,-1.55,-87.5,87.34,48.23,131.88,-31.73,98.28,20.57,-4.98,32.33,97.1
23,Minority Interest in Earnings,2.84,-3.74,0.77,0.13,0,-,-,-,-,-,-,-,-,-,-,-,-
24,Net Income,-95.94,-76.78,-141.68,-191.7,-77.05,-51.16,-1.55,-87.5,87.34,48.23,131.88,-31.73,98.28,20.57,-4.98,32.33,97.1
25,Net Income to Common,-95.94,-76.78,-141.68,-191.7,-77.05,-51.16,-1.55,-87.5,87.34,48.23,131.88,-31.73,98.28,20.57,-4.98,32.33,97.1
26,Net Income Growth,-,-,-,-,-,-,-,-,-11.14%,134.51%,-,-,1.22%,-,-,-,-
27,Shares Outstanding (Basic),114,114,115,117,118,119,121,120,120,116,114,91,90,89,92,90,85
28,Shares Outstanding (Diluted),114,114,115,117,118,119,121,120,120,116,114,91,90,89,92,90,85
29,Shares Change (YoY),-2.98%,-3.96%,-5.13%,-2.48%,-1.97%,2.56%,6.23%,32.22%,34.04%,30.32%,22.98%,0.96%,5.89%,-,-,-,-
30,EPS (Basic),-0.84,-0.67,-1.24,-1.64,-0.65,-0.43,-0.01,-0.73,0.73,0.42,1.16,-0.35,1.09,0.23,-0.05,0.36,1.15
31,EPS (Diluted),-0.84,-0.67,-1.24,-1.64,-0.65,-0.43,-0.01,-0.73,0.73,0.42,1.16,-0.35,1.09,0.23,-0.05,0.36,1.15
32,EPS Growth,-,-,-,-,-,-,-,-,-33.71%,79.95%,-,-,-4.41%,-,-,-,-
33,Free Cash Flow,-,-293.1,-461.53,-717.36,256.14,-428.8,-161.33,-646.44,188.93,-274.76,-111.73,-153.65,278.3,17.25,-29.44,-127.13,121.49
34,Free Cash Flow Per Share,-,-2.57,-4.03,-6.14,2.17,-3.61,-1.34,-5.39,1.57,-2.37,-0.98,-1.69,3.10,0.19,-0.32,-1.42,1.43
35,Gross Margin,236.62%,25.52%,18.80%,24.68%,16.96%,31.68%,23.31%,26.43%,24.98%,31.10%,30.40%,23.80%,28.61%,31.52%,27.02%,32.01%,33.06%
36,Operating Margin,-2.95%,-2.66%,-19.50%,-24.84%,-9.00%,-3.99%,-12.70%,-16.76%,-2.43%,3.09%,4.41%,-10.70%,4.93%,2.30%,-1.94%,6.85%,10.82%
37,Profit Margin,-4.81%,-5.05%,-12.45%,-21.56%,-4.24%,-4.41%,-0.16%,-11.84%,6.59%,4.70%,13.71%,-4.48%,8.40%,2.88%,-0.77%,4.44%,8.73%
38,Free Cash Flow Margin,-,-19.30%,-40.57%,-80.66%,14.08%,-36.92%,-16.84%,-87.48%,14.26%,-26.77%,-11.62%,-21.68%,23.77%,2.42%,-4.54%,-17.45%,10.92%
39,EBITDA,-38.47,-20.08,-193.93,-200.57,-143.44,-31.84,-100.3,-109.39,-17.67,42.17,55.57,-65.46,68.08,36.76,-3.46,57.42,127.31
40,EBITDA Margin,-1.93%,-1.32%,-17.05%,-22.55%,-7.89%,-2.74%,-10.47%,-14.80%,-1.33%,4.11%,5.78%,-9.24%,5.82%,5.15%,-0.53%,7.88%,11.44%
41,D&A For EBITDA,20.3,20.3,27.93,20.3,20.3,14.48,21.37,14.48,14.48,10.41,13.13,10.41,10.4,20.37,9.11,7.51,6.86
42,EBIT,-58.76,-40.37,-221.85,-220.87,-163.73,-46.32,-121.67,-123.87,-32.15,31.75,42.44,-75.87,57.68,16.39,-12.58,49.9,120.45
43,EBIT Margin,-2.95%,-2.66%,-19.50%,-24.84%,-9.00%,-3.99%,-12.70%,-16.76%,-2.43%,3.09%,4.41%,-10.70%,4.93%,2.30%,-1.94%,6.85%,10.82%
44,Effective Tax Rate,-,-,-,-,-,-,-,-,-,-,-,-,10.43%,-,-,-,1.58%
45,Revenue as Reported,-,1519,1138,889.35,1819,1161,958.26,738.99,1325,1026,961.62,708.8,1171,713.97,649.2,728.58,1113
