,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
9,P/FCF Ratio,-,-,176.34,-,-,26.39,23.25,44.71,-,68.57,-,36.44,-,-,63.72,-,-,-,-,-,-
10,P/OCF Ratio,-,-,23.93,28.32,-,17.51,18.58,28.34,33.52,29.46,-,17.85,27.53,25.27,31.05,-,-,-,-,-,-
11,EV/Sales Ratio,2.24,1.93,2.34,1.80,2.54,2.32,2.91,3.65,3.87,3.73,2.26,2.41,2.43,2.78,3.49,-,-,-,-,-,-
12,EV/EBITDA Ratio,13.75,11.81,16.04,12.33,17.13,15.22,19.05,23.63,23.72,23.48,15.40,17.78,19.05,23.80,31.46,-,-,-,-,-,-
13,EV/EBIT Ratio,15.33,13.20,18.23,13.97,19.34,17.04,21.27,26.44,26.36,26.23,17.35,20.26,21.81,27.78,37.54,-,-,-,-,-,-
14,EV/FCF Ratio,-,-,173.77,-,-,23.09,20.88,40.80,-,63.27,-,31.27,-,-,67.92,-,-,-,-,-,-
15,Debt / Equity Ratio,0.32,0.32,0.32,0.66,0.34,0.52,0.28,0.29,0.32,0.51,0.19,0.55,0.06,0.42,0.06,1.01,1.04,1.04,-,0.29,0.29
16,Debt / EBITDA Ratio,1.29,0.96,1.23,3.13,1.75,2.43,1.09,1.27,1.36,2.46,0.78,2.36,0.31,3.02,0.31,2.23,3.90,7.33,-,0.80,0.80
17,Debt / FCF Ratio,-,-,15.98,-,-,3.56,1.39,2.22,-,6.65,-,5.16,-,-,0.91,-,7.27,-,-,5.10,10.19
18,Asset Turnover,-,0.69,0.64,0.58,0.64,0.70,0.66,0.62,0.64,0.67,0.59,0.62,0.63,0.79,-,-,-,-,0.77,-,
19,Inventory Turnover,-,-,1.94,1.86,1.72,1.87,1.94,1.85,1.73,1.73,1.73,1.50,1.65,1.76,1.97,-,-,-,-,1.61,-
20,Quick Ratio,-,-,0.96,0.95,1.04,1.04,1.00,0.95,1.00,0.98,0.96,0.94,1.02,1.02,1.03,0.64,-,0.60,-,0.61,0.61
21,Current Ratio,-,-,1.42,1.43,1.50,1.52,1.48,1.43,1.48,1.49,1.51,1.48,1.60,1.52,1.54,1.17,-,1.17,-,1.16,1.16
22,Return on Equity (ROE),23.39%,20.73%,18.60%,16.94%,20.86%,22.58%,21.91%,19.69%,20.95%,22.25%,19.79%,16.69%,17.69%,20.85%,37.96%,14.66%,-,-,24.37%,-,
23,Return on Assets (ROA),-,6.10%,4.60%,4.67%,5.12%,6.32%,5.07%,5.84%,5.19%,6.29%,5.84%,4.98%,3.17%,5.40%,-,-,-,-,5.89%,-,
24,Return on Capital (ROIC),14.45%,10.01%,7.29%,7.51%,8.45%,11.86%,9.38%,9.62%,8.65%,10.50%,9.94%,8.84%,5.84%,10.86%,13.26%,6.45%,-,-,14.33%,-,
25,Return on Capital Employed (ROCE),-,-,18.51%,19.24%,17.96%,19.32%,19.76%,19.81%,18.80%,18.09%,16.86%,16.08%,15.26%,13.59%,12.18%,22.69%,-,22.87%,-,14.51%,7.26%
26,Earnings Yield,5.21%,5.95%,5.40%,6.05%,4.93%,5.16%,4.25%,3.53%,3.47%,3.52%,5.67%,4.37%,4.37%,3.06%,2.57%,-,-,-,-,-,-
27,FCF Yield,-,0.57%,0.47%,2.77%,3.79%,4.30%,2.24%,1.39%,1.46%,-2.13%,2.74%,0.74%,1.79%,1.57%,-,-,-,-,-,-,
28,Dividend Yield,2.97%,-,-,-,-,3.30%,-,-,-,1.84%,-,-,-,1.59%,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,3.35%,265.38%,4.76%,22.66%,2.91%,156.52%,3.62%,2.54%,8.84%,121.72%,0.51%,0.52%,0.80%,1.44%,0.47%,2.66%,2.69%,4.94%,4.94%
30,Buyback Yield / Dilution,0.22%,0.84%,-0.01%,0.04%,-0.02%,0.38%,0.01%,-0.01%,0.01%,-3.38%,-34.41%,-33.35%,-33.31%,-26.27%,-1.49%,1.47%,1.47%,-,-,-,-
31,Total Shareholder Return,3.18%,0.84%,-0.01%,0.04%,-0.02%,3.68%,0.01%,-0.01%,0.01%,-1.53%,-34.41%,-33.35%,-33.31%,-24.69%,-1.49%,1.47%,1.47%,-,-,-,-
