,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
10,P/OCF Ratio,22.32,22.32,25.19,20.30,21.86,22.25,27.94,26.49,31.30,35.12,27.23,42.43,28.02,35.02,42.94,52.31,-,-,-,-,-
11,PEG Ratio,0.83,0.96,1.13,1.15,1.11,1.28,1.36,1.50,1.86,1.86,1.86,1.86,1.86,1.86,1.86,2.57,-,-,-,-,-
12,EV/Sales Ratio,6.97,8.00,6.92,5.96,5.85,6.22,6.69,7.02,8.35,8.14,6.78,8.74,7.16,10.14,11.99,16.09,-,-,-,-,-
13,EV/EBITDA Ratio,26.70,31.14,27.10,24.30,26.00,27.04,28.93,29.69,35.41,35.35,31.03,40.45,33.84,46.19,52.15,69.93,-,-,-,-,-
14,EV/EBIT Ratio,29.18,33.52,29.11,26.34,28.48,29.71,31.89,32.78,39.27,39.35,34.77,45.70,38.31,52.06,58.44,77.94,-,-,-,-,-
15,EV/FCF Ratio,26.89,30.89,35.10,25.25,29.19,29.62,38.75,38.92,45.32,56.15,46.52,78.61,43.19,48.24,55.84,67.77,-,-,-,-,-
16,Debt / Equity Ratio,0.86,0.86,0.99,0.86,0.54,0.53,0.76,0.74,0.64,0.66,0.54,0.53,0.39,0.19,0.11,0.10,0.20,0.25,-,-,0.15
17,Debt / EBITDA Ratio,1.61,2.24,1.43,1.15,1.17,1.51,1.64,1.37,1.40,2.13,1.19,1.03,0.81,1.04,0.27,0.24,0.24,0.88,-,-,0.26
18,Debt / FCF Ratio,1.62,1.62,2.31,1.89,1.54,1.42,2.49,2.31,2.16,2.70,2.22,2.77,1.29,0.54,0.33,0.30,0.32,0.68,-,-,-
19,Asset Turnover,0.62,0.97,1.02,0.91,0.71,0.90,0.90,0.81,0.67,0.94,0.98,0.96,0.78,1.09,1.34,1.52,-,-,-,-,
20,Inventory Turnover,10.70,10.17,23.89,21.00,15.68,13.92,23.64,19.33,15.27,11.71,15.83,13.68,12.64,12.25,16.79,16.12,14.29,-,-,-,-
21,Quick Ratio,0.74,0.74,0.76,0.85,1.04,0.97,0.90,0.88,0.68,0.98,0.82,0.88,0.76,0.69,1.03,1.34,0.77,0.65,-,-,-
22,Current Ratio,0.86,0.86,0.84,0.92,1.13,1.09,1.04,0.99,1.05,1.08,1.04,1.00,0.89,0.83,1.18,1.51,1.00,0.92,-,-,-
23,Return on Equity (ROE),33.66%,55.47%,60.72%,39.90%,24.99%,38.38%,44.48%,37.46%,22.29%,35.74%,39.16%,33.54%,19.03%,30.63%,40.62%,65.62%,-,-,-,-,
24,Return on Assets (ROA),7.55%,14.92%,18.00%,12.21%,8.08%,11.22%,12.64%,11.83%,7.17%,12.45%,13.58%,12.93%,4.55%,13.83%,17.60%,23.94%,-,-,-,-,
25,Return on Capital (ROIC),11.37%,21.22%,25.91%,18.19%,11.77%,15.83%,17.92%,16.67%,10.14%,17.72%,20.59%,20.51%,6.91%,20.57%,27.75%,42.44%,-,-,-,-,
26,Return on Capital Employed (ROCE),48.27%,48.27%,50.52%,41.29%,33.95%,35.37%,35.74%,37.28%,33.83%,34.09%,32.04%,32.16%,33.10%,31.05%,31.73%,28.59%,46.16%,44.87%,-,-,-
27,Earnings Yield,2.90%,2.57%,2.85%,3.08%,2.95%,2.79%,2.64%,2.59%,2.07%,2.02%,2.40%,1.86%,2.23%,1.64%,1.37%,1.04%,-,-,-,-,-
28,FCF Yield,3.58%,3.17%,2.76%,3.74%,3.29%,3.24%,2.48%,2.52%,2.15%,1.73%,2.07%,1.23%,2.25%,2.02%,1.72%,1.46%,-,-,-,-,-
29,Dividend Yield,2.25%,2.01%,-,2.34%,-,1.40%,-,-,-,1.16%,-,-,-,1.72%,-,0.84%,-,-,-,-,-
30,Payout Ratio,61.66%,116.19%,29.89%,96.85%,0.99%,1.51%,7.50%,124.66%,0.54%,-,14.55%,127.59%,22.69%,4.86%,190.24%,1.10%,1.24%,170.98%,1.47%,126.86%,1.89%
31,Buyback Yield / Dilution,0.00%,0.01%,-0.01%,-0.00%,0.01%,-0.01%,0.01%,-0.00%,-0.01%,0.02%,-0.01%,-7.14%,-11.11%,-10.40%,-11.85%,-3.71%,-,-,-,-,-
32,Total Shareholder Return,2.25%,2.02%,-0.01%,2.34%,0.01%,1.38%,0.01%,-0.00%,-0.01%,1.18%,-0.01%,-7.14%,-11.11%,-8.68%,-11.85%,-2.87%,-,-,-,-,-
