,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
33,EPS Growth,-,-,-,-,-,-92.15%,-,-68.40%,25.30%,-33.28%,-1.08%,-,-,-,-
34,Free Cash Flow,-4.47,-25.33,-22.36,23.58,-26.26,-4.27,69.57,20.96,-61.08,0.52,-73.52,46.14,-58.49,23.83,23.83
35,Free Cash Flow Per Share,-0.06,-0.35,-0.31,0.31,-0.39,-0.06,0.94,0.29,-1.13,0.01,-1.35,0.86,-1.08,0.44,0.44
36,Dividend Per Share,-,0.200,-,-,-,-,-,0.400,-,-,-,-,-,-,-
37,Gross Margin,28.60%,23.60%,23.46%,1.51%,23.33%,23.69%,14.65%,23.02%,29.26%,27.19%,26.46%,23.56%,27.07%,28.13%,28.13%
38,Operating Margin,4.89%,-6.56%,-4.14%,-24.31%,-2.19%,-2.68%,-8.93%,-3.08%,11.12%,5.64%,9.49%,2.84%,11.05%,12.22%,12.22%
39,Profit Margin,2.56%,-0.32%,-3.12%,-25.22%,-3.17%,0.94%,-8.31%,2.91%,10.66%,7.91%,9.85%,6.00%,10.82%,10.53%,10.53%
40,Free Cash Flow Margin,-1.78%,-14.06%,-13.72%,15.07%,-13.47%,-2.32%,48.65%,9.86%,-17.21%,0.24%,-29.01%,19.07%,-20.87%,9.95%,9.95%
41,EBITDA,18.74,-4.53,-0.25,-31.53,0.68,1.48,-7.81,-1.58,42.48,15.95,27.08,9.89,32.94,31.23,31.23
42,EBITDA Margin,7.48%,-2.52%,-0.15%,-20.16%,0.35%,0.80%,-5.46%,-0.74%,11.97%,7.47%,10.68%,4.09%,11.75%,13.04%,13.04%
43,D&A For EBITDA,6.5,7.28,6.5,6.5,4.96,6.4,4.96,4.96,3.02,3.9,3.02,3.02,1.98,1.98,1.98
44,EBIT,12.24,-11.82,-6.75,-38.03,-4.28,-4.92,-12.77,-6.54,39.46,12.05,24.06,6.87,30.96,29.26,29.26
45,EBIT Margin,4.89%,-6.56%,-4.14%,-24.31%,-2.19%,-2.68%,-8.93%,-3.08%,11.12%,5.64%,9.49%,2.84%,11.05%,12.22%,12.22%
46,Effective Tax Rate,22.10%,-,-,-,-,-,-,-,18.96%,-,3.38%,-,6.43%,5.20%,5.20%
47,Revenue as Reported,250.52,180.2,162.96,156.45,195,183.73,143.01,212.48,354.87,213.65,253.45,241.91,280.29,239.52,239.52
